DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,20:21:47:409,02556,----,
2025-07-28,20:21:47:485,02556,----,
2025-07-28,20:21:47:591,02556,----,
2025-07-28,20:21:47:700,02557,----,
2025-07-28,20:21:47:807,02557,----,
2025-07-28,20:21:47:914,02569,----,
2025-07-28,20:21:48:022,02570,----,
2025-07-28,20:21:48:146,02571,----,
2025-07-28,20:21:48:268,02585,----,
2025-07-28,20:21:48:364,02585,----,
2025-07-28,20:21:48:485,02585,----,
2025-07-28,20:21:48:594,02587,----,
2025-07-28,20:21:48:703,02545,----,
2025-07-28,20:21:48:811,02545,----,
2025-07-28,20:21:48:920,02228,----,
2025-07-28,20:21:49:029,02157,----,
2025-07-28,20:21:49:138,02175,----,
2025-07-28,20:21:49:467,02138,----,
2025-07-28,20:21:49:572,02024,----,
2025-07-28,20:21:49:679,01997,----,
2025-07-28,20:21:49:789,01975,----,
2025-07-28,20:21:49:898,01906,----,
2025-07-28,20:21:50:007,01890,----,
2025-07-28,20:21:50:117,01826,----,
2025-07-28,20:21:50:224,01792,----,
2025-07-28,20:21:50:347,01759,----,
2025-07-28,20:21:50:455,01759,----,
2025-07-28,20:21:50:564,01758,----,
2025-07-28,20:21:50:674,01105,----,
2025-07-28,20:21:50:782,00893,----,
2025-07-28,20:21:50:889,00844,----,
2025-07-28,20:21:50:996,00818,----,
2025-07-28,20:21:51:107,00853,----,
2025-07-28,20:21:51:215,01192,----,
2025-07-28,20:21:51:323,01298,----,
2025-07-28,20:21:51:434,00955,----,
2025-07-28,20:21:51:541,00868,----,
2025-07-28,20:21:51:650,01171,----,
2025-07-28,20:21:51:760,01289,----,
2025-07-28,20:21:51:868,01319,----,
2025-07-28,20:21:51:978,01350,----,
2025-07-28,20:21:52:087,00954,----,
2025-07-28,20:21:52:197,00878,----,
2025-07-28,20:21:52:304,00814,----,
2025-07-28,20:21:52:412,00792,----,
2025-07-28,20:21:52:520,00792,----,
2025-07-28,20:21:52:646,00792,----,
2025-07-28,20:21:52:739,00792,----,
2025-07-28,20:21:52:863,00791,----,
2025-07-28,20:21:52:958,00791,----,
2025-07-28,20:21:53:080,00791,----,
2025-07-28,20:21:53:189,00807,----,
2025-07-28,20:21:53:298,00821,----,
2025-07-28,20:21:53:406,01147,----,
2025-07-28,20:21:53:515,01316,----,
2025-07-28,20:21:53:624,01400,----,
2025-07-28,20:21:53:733,01474,----,
2025-07-28,20:21:53:842,01539,----,
2025-07-28,20:21:53:949,01567,----,
2025-07-28,20:21:54:057,01583,----,
2025-07-28,20:21:54:165,01596,----,
2025-07-28,20:21:54:275,01515,----,
2025-07-28,20:21:54:383,01483,----,
2025-07-28,20:21:54:489,01504,----,
2025-07-28,20:21:54:613,01515,----,
2025-07-28,20:21:54:716,00898,----,
2025-07-28,20:21:54:830,01048,----,
2025-07-28,20:21:54:937,01245,----,
2025-07-28,20:21:55:045,01312,----,
2025-07-28,20:21:55:153,00941,----,
2025-07-28,20:21:55:264,00982,----,
2025-07-28,20:21:55:371,01208,----,
2025-07-28,20:21:55:480,01290,----,
2025-07-28,20:21:55:589,01323,----,
2025-07-28,20:21:55:695,00978,----,
2025-07-28,20:21:55:804,00912,----,
2025-07-28,20:21:55:913,00899,----,
2025-07-28,20:21:56:020,00899,----,
2025-07-28,20:21:56:143,00899,----,
2025-07-28,20:21:56:251,00887,----,
2025-07-28,20:21:56:359,00886,----,
2025-07-28,20:21:56:461,00858,----,
2025-07-28,20:21:56:578,00839,----,
2025-07-28,20:21:56:687,00838,----,
2025-07-28,20:21:56:797,00838,----,
2025-07-28,20:21:56:904,00837,----,
2025-07-28,20:21:57:008,00837,----,
2025-07-28,20:21:57:122,00837,----,
2025-07-28,20:21:57:230,00853,----,
2025-07-28,20:21:57:337,00853,----,
2025-07-28,20:21:57:446,00866,----,
2025-07-28,20:21:57:555,01141,----,
2025-07-28,20:21:57:661,01293,----,
2025-07-28,20:21:57:784,01389,----,
2025-07-28,20:21:57:892,01467,----,
2025-07-28,20:21:57:999,01529,----,
2025-07-28,20:21:58:108,01564,----,
2025-07-28,20:21:58:217,01620,----,
2025-07-28,20:21:58:326,01644,----,
2025-07-28,20:21:58:434,01660,----,
2025-07-28,20:21:58:543,01660,----,
2025-07-28,20:21:58:652,01619,----,
2025-07-28,20:21:58:760,01543,----,
2025-07-28,20:21:58:867,01543,----,
2025-07-28,20:21:58:975,00957,----,
2025-07-28,20:21:59:084,00859,----,
2025-07-28,20:21:59:207,01063,----,
2025-07-28,20:21:59:314,01263,----,
2025-07-28,20:21:59:421,01292,----,
2025-07-28,20:21:59:529,00881,----,
2025-07-28,20:21:59:637,01065,----,
2025-07-28,20:21:59:743,01222,----,
2025-07-28,20:21:59:852,01256,----,
2025-07-28,20:21:59:961,01318,----,
2025-07-28,20:22:00:069,01075,----,
2025-07-28,20:22:00:177,00970,----,
2025-07-28,20:22:00:286,00952,----,
2025-07-28,20:22:00:409,00951,----,
2025-07-28,20:22:00:517,00951,----,
2025-07-28,20:22:00:624,00931,----,
2025-07-28,20:22:00:734,00909,----,
2025-07-28,20:22:00:842,00878,----,
2025-07-28,20:22:00:952,00828,----,
2025-07-28,20:22:01:058,00828,----,
2025-07-28,20:22:01:166,00827,----,
