DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,16:49:00:431,04621,----,
2025-07-13,16:49:00:534,04623,----,
2025-07-13,16:49:00:647,04625,----,
2025-07-13,16:49:00:751,04629,----,
2025-07-13,16:49:00:865,04629,----,
2025-07-13,16:49:00:970,04671,----,
2025-07-13,16:49:01:081,04672,----,
2025-07-13,16:49:01:191,04675,----,
2025-07-13,16:49:01:299,04680,----,
2025-07-13,16:49:01:410,04680,----,
2025-07-13,16:49:01:523,04723,----,
2025-07-13,16:49:01:628,04724,----,
2025-07-13,16:49:01:744,04725,----,
2025-07-13,16:49:01:843,04727,----,
2025-07-13,16:49:01:957,04727,----,
2025-07-13,16:49:02:074,04675,----,
2025-07-13,16:49:02:174,02983,----,
2025-07-13,16:49:02:287,03000,----,
2025-07-13,16:49:02:394,03000,----,
2025-07-13,16:49:02:507,02931,----,
2025-07-13,16:49:02:609,03553,----,
2025-07-13,16:49:02:723,03484,----,
2025-07-13,16:49:02:830,03360,----,
2025-07-13,16:49:02:943,03360,----,
2025-07-13,16:49:03:054,02474,----,
2025-07-13,16:49:03:159,02487,----,
2025-07-13,16:49:03:273,02482,----,
2025-07-13,16:49:03:376,02411,----,
2025-07-13,16:49:03:491,02411,----,
2025-07-13,16:49:03:593,02414,----,
2025-07-13,16:49:03:706,02418,----,
2025-07-13,16:49:03:821,02439,----,
2025-07-13,16:49:03:923,02439,----,
2025-07-13,16:49:04:037,02431,----,
2025-07-13,16:49:04:140,02413,----,
2025-07-13,16:49:04:257,02068,----,
2025-07-13,16:49:04:358,02056,----,
2025-07-13,16:49:04:473,02056,----,
2025-07-13,16:49:04:576,02034,----,
2025-07-13,16:49:04:691,01787,----,
2025-07-13,16:49:04:805,01781,----,
2025-07-13,16:49:04:911,01775,----,
2025-07-13,16:49:05:022,01775,----,
2025-07-13,16:49:05:125,01714,----,
2025-07-13,16:49:05:239,01713,----,
2025-07-13,16:49:05:343,01710,----,
2025-07-13,16:49:05:458,01710,----,
2025-07-13,16:49:05:570,01706,----,
2025-07-13,16:49:05:675,01689,----,
2025-07-13,16:49:05:787,01710,----,
2025-07-13,16:49:05:889,01746,----,
2025-07-13,16:49:06:003,01746,----,
2025-07-13,16:49:06:110,02508,----,
2025-07-13,16:49:06:221,02503,----,
2025-07-13,16:49:06:336,02486,----,
2025-07-13,16:49:06:441,02486,----,
2025-07-13,16:49:06:553,02349,----,
2025-07-13,16:49:06:656,02353,----,
2025-07-13,16:49:06:771,02361,----,
2025-07-13,16:49:06:883,02464,----,
2025-07-13,16:49:06:985,02464,----,
2025-07-13,16:49:07:098,02467,----,
2025-07-13,16:49:07:203,02472,----,
2025-07-13,16:49:07:318,02533,----,
2025-07-13,16:49:07:421,02533,----,
2025-07-13,16:49:07:533,02535,----,
2025-07-13,16:49:07:647,02539,----,
2025-07-13,16:49:07:749,02587,----,
2025-07-13,16:49:07:862,02573,----,
2025-07-13,16:49:07:976,02573,----,
2025-07-13,16:49:08:079,02543,----,
2025-07-13,16:49:08:197,02586,----,
2025-07-13,16:49:08:297,02517,----,
2025-07-13,16:49:08:413,02517,----,
2025-07-13,16:49:08:514,02436,----,
2025-07-13,16:49:08:628,01667,----,
2025-07-13,16:49:08:741,01664,----,
2025-07-13,16:49:08:845,01660,----,
2025-07-13,16:49:08:958,01660,----,
2025-07-13,16:49:09:074,01630,----,
2025-07-13,16:49:09:174,01630,----,
2025-07-13,16:49:09:288,01631,----,
2025-07-13,16:49:09:392,01632,----,
2025-07-13,16:49:09:508,01632,----,
2025-07-13,16:49:09:610,01632,----,
2025-07-13,16:49:09:725,01647,----,
2025-07-13,16:49:09:829,01684,----,
2025-07-13,16:49:09:942,01684,----,
2025-07-13,16:49:10:056,02124,----,
2025-07-13,16:49:10:157,02133,----,
2025-07-13,16:49:10:270,02150,----,
2025-07-13,16:49:10:373,02356,----,
2025-07-13,16:49:10:486,02356,----,
2025-07-13,16:49:10:600,02362,----,
2025-07-13,16:49:10:702,02372,----,
2025-07-13,16:49:10:814,02497,----,
2025-07-13,16:49:10:929,02497,----,
2025-07-13,16:49:11:030,02501,----,
2025-07-13,16:49:11:145,02509,----,
2025-07-13,16:49:11:257,02610,----,
2025-07-13,16:49:11:358,02615,----,
2025-07-13,16:49:11:472,02615,----,
2025-07-13,16:49:11:584,02627,----,
2025-07-13,16:49:11:689,02788,----,
2025-07-13,16:49:11:803,02779,----,
2025-07-13,16:49:11:907,02725,----,
2025-07-13,16:49:12:017,02725,----,
2025-07-13,16:49:12:131,02022,----,
2025-07-13,16:49:12:236,02005,----,
2025-07-13,16:49:12:348,01976,----,
2025-07-13,16:49:12:455,01976,----,
2025-07-13,16:49:12:564,01677,----,
2025-07-13,16:49:12:678,01674,----,
2025-07-13,16:49:12:781,01671,----,
2025-07-13,16:49:12:896,01650,----,
2025-07-13,16:49:13:008,01650,----,
2025-07-13,16:49:13:110,01651,----,
2025-07-13,16:49:13:224,01652,----,
2025-07-13,16:49:13:329,01653,----,
2025-07-13,16:49:13:437,01653,----,
2025-07-13,16:49:13:551,01654,----,
2025-07-13,16:49:13:654,01660,----,
2025-07-13,16:49:13:768,01689,----,
2025-07-13,16:49:13:882,02186,----,
2025-07-13,16:49:13:993,02186,----,
