DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:31:06:991,02111,----,
2025-06-24,21:31:07:098,02087,----,
2025-06-24,21:31:07:212,02050,----,
2025-06-24,21:31:07:315,02008,----,
2025-06-24,21:31:07:435,02001,----,
2025-06-24,21:31:07:544,02024,----,
2025-06-24,21:31:07:641,02024,----,
2025-06-24,21:31:07:753,02008,----,
2025-06-24,21:31:07:866,02001,----,
2025-06-24,21:31:07:975,02008,----,
2025-06-24,21:31:08:080,02035,----,
2025-06-24,21:31:08:200,02790,----,
2025-06-24,21:31:08:304,03879,----,
2025-06-24,21:31:08:420,04149,----,
2025-06-24,21:31:08:516,04387,----,
2025-06-24,21:31:08:626,04531,----,
2025-06-24,21:31:08:745,04688,----,
2025-06-24,21:31:08:850,04823,----,
2025-06-24,21:31:08:962,04824,----,
2025-06-24,21:31:09:063,04518,----,
2025-06-24,21:31:09:176,04401,----,
2025-06-24,21:31:09:291,04290,----,
2025-06-24,21:31:09:400,03883,----,
2025-06-24,21:31:09:502,02551,----,
2025-06-24,21:31:09:617,02420,----,
2025-06-24,21:31:09:729,02321,----,
2025-06-24,21:31:09:833,02330,----,
2025-06-24,21:31:09:943,02358,----,
2025-06-24,21:31:10:055,02344,----,
2025-06-24,21:31:10:157,02325,----,
2025-06-24,21:31:10:271,02249,----,
2025-06-24,21:31:10:386,02146,----,
2025-06-24,21:31:10:488,02090,----,
2025-06-24,21:31:10:600,02042,----,
2025-06-24,21:31:10:706,02033,----,
2025-06-24,21:31:10:819,02042,----,
2025-06-24,21:31:10:923,02048,----,
2025-06-24,21:31:11:036,02057,----,
2025-06-24,21:31:11:148,02066,----,
2025-06-24,21:31:11:251,02082,----,
2025-06-24,21:31:11:366,02082,----,
2025-06-24,21:31:11:477,02863,----,
2025-06-24,21:31:11:582,03798,----,
2025-06-24,21:31:11:695,04133,----,
2025-06-24,21:31:11:799,04354,----,
2025-06-24,21:31:11:910,04515,----,
2025-06-24,21:31:12:024,04665,----,
2025-06-24,21:31:12:125,04793,----,
2025-06-24,21:31:12:240,04890,----,
2025-06-24,21:31:12:354,05011,----,
2025-06-24,21:31:12:456,05102,----,
2025-06-24,21:31:12:569,05180,----,
2025-06-24,21:31:12:682,05268,----,
2025-06-24,21:31:12:783,05276,----,
2025-06-24,21:31:12:896,05149,----,
2025-06-24,21:31:13:001,04311,----,
2025-06-24,21:31:13:113,03981,----,
2025-06-24,21:31:13:220,02746,----,
2025-06-24,21:31:13:331,02579,----,
2025-06-24,21:31:13:438,02488,----,
2025-06-24,21:31:13:547,02383,----,
2025-06-24,21:31:13:666,02345,----,
2025-06-24,21:31:13:773,02269,----,
2025-06-24,21:31:13:890,02141,----,
2025-06-24,21:31:13:988,02132,----,
2025-06-24,21:31:14:097,02099,----,
2025-06-24,21:31:14:210,02060,----,
2025-06-24,21:31:14:315,02052,----,
2025-06-24,21:31:14:433,02083,----,
2025-06-24,21:31:14:547,02133,----,
2025-06-24,21:31:14:648,02159,----,
2025-06-24,21:31:14:755,02125,----,
2025-06-24,21:31:14:862,02107,----,
2025-06-24,21:31:14:974,02073,----,
2025-06-24,21:31:15:086,02225,----,
2025-06-24,21:31:15:197,03325,----,
2025-06-24,21:31:15:300,03962,----,
2025-06-24,21:31:15:417,04231,----,
