DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:43:58:750,06664,----,
2025-06-24,21:43:58:863,06715,----,
2025-06-24,21:43:58:975,06742,----,
2025-06-24,21:43:59:085,06792,----,
2025-06-24,21:43:59:196,06816,----,
2025-06-24,21:43:59:299,06846,----,
2025-06-24,21:43:59:406,06872,----,
2025-06-24,21:43:59:517,06898,----,
2025-06-24,21:43:59:629,06926,----,
2025-06-24,21:43:59:740,06974,----,
2025-06-24,21:43:59:850,06749,----,
2025-06-24,21:43:59:963,06941,----,
2025-06-24,21:44:00:064,06930,----,
2025-06-24,21:44:00:180,06064,----,
2025-06-24,21:44:00:287,06147,----,
2025-06-24,21:44:00:399,05987,----,
2025-06-24,21:44:00:503,05857,----,
2025-06-24,21:44:00:616,05834,----,
2025-06-24,21:44:00:726,05789,----,
2025-06-24,21:44:00:829,05934,----,
2025-06-24,21:44:00:944,02817,----,
2025-06-24,21:44:01:054,02196,----,
2025-06-24,21:44:01:158,02112,----,
2025-06-24,21:44:01:270,01988,----,
2025-06-24,21:44:01:378,01957,----,
2025-06-24,21:44:01:492,01964,----,
2025-06-24,21:44:01:605,01977,----,
2025-06-24,21:44:01:707,01971,----,
2025-06-24,21:44:01:817,01890,----,
2025-06-24,21:44:01:932,01858,----,
2025-06-24,21:44:02:043,01853,----,
2025-06-24,21:44:02:142,01852,----,
2025-06-24,21:44:02:256,01858,----,
2025-06-24,21:44:02:368,01872,----,
2025-06-24,21:44:02:478,01886,----,
2025-06-24,21:44:02:580,01900,----,
2025-06-24,21:44:02:695,02280,----,
2025-06-24,21:44:02:807,03750,----,
2025-06-24,21:44:02:911,04188,----,
2025-06-24,21:44:03:023,04467,----,
2025-06-24,21:44:03:133,04727,----,
2025-06-24,21:44:03:245,04912,----,
2025-06-24,21:44:03:345,05051,----,
2025-06-24,21:44:03:457,05030,----,
2025-06-24,21:44:03:566,05197,----,
2025-06-24,21:44:03:680,05238,----,
2025-06-24,21:44:03:782,05253,----,
2025-06-24,21:44:03:896,05475,----,
2025-06-24,21:44:04:007,04183,----,
2025-06-24,21:44:04:110,02270,----,
2025-06-24,21:44:04:224,02164,----,
2025-06-24,21:44:04:329,02072,----,
2025-06-24,21:44:04:439,02032,----,
2025-06-24,21:44:04:550,02028,----,
2025-06-24,21:44:04:663,02002,----,
2025-06-24,21:44:04:765,01964,----,
2025-06-24,21:44:04:878,01963,----,
2025-06-24,21:44:04:992,01971,----,
2025-06-24,21:44:05:104,01993,----,
2025-06-24,21:44:05:206,02000,----,
2025-06-24,21:44:05:320,02008,----,
2025-06-24,21:44:05:422,02123,----,
2025-06-24,21:44:05:545,03137,----,
2025-06-24,21:44:05:643,03981,----,
2025-06-24,21:44:05:756,04283,----,
2025-06-24,21:44:05:861,04600,----,
2025-06-24,21:44:05:972,04798,----,
2025-06-24,21:44:06:084,04963,----,
2025-06-24,21:44:06:196,05100,----,
2025-06-24,21:44:06:300,05260,----,
2025-06-24,21:44:06:412,05366,----,
2025-06-24,21:44:06:522,05476,----,
2025-06-24,21:44:06:632,05497,----,
2025-06-24,21:44:06:743,05518,----,
2025-06-24,21:44:06:845,05477,----,
2025-06-24,21:44:06:958,05387,----,
2025-06-24,21:44:07:064,05431,----,
2025-06-24,21:44:07:178,05216,----,
2025-06-24,21:44:07:287,02391,----,
2025-06-24,21:44:07:402,02238,----,
2025-06-24,21:44:07:502,02068,----,
2025-06-24,21:44:07:612,02045,----,
2025-06-24,21:44:07:729,02043,----,
2025-06-24,21:44:07:829,02011,----,
2025-06-24,21:44:07:941,01973,----,
2025-06-24,21:44:08:056,01944,----,
2025-06-24,21:44:08:156,01965,----,
2025-06-24,21:44:08:276,01980,----,
2025-06-24,21:44:08:378,01988,----,
2025-06-24,21:44:08:487,02337,----,
2025-06-24,21:44:08:598,03561,----,
2025-06-24,21:44:08:711,04123,----,
2025-06-24,21:44:08:823,04458,----,
2025-06-24,21:44:08:924,04683,----,
2025-06-24,21:44:09:034,04861,----,
2025-06-24,21:44:09:146,05011,----,
2025-06-24,21:44:09:258,05167,----,
2025-06-24,21:44:09:360,05282,----,
2025-06-24,21:44:09:475,05344,----,
2025-06-24,21:44:09:587,05405,----,
2025-06-24,21:44:09:698,05443,----,
2025-06-24,21:44:09:802,04973,----,
2025-06-24,21:44:09:913,05036,----,
2025-06-24,21:44:10:026,04942,----,
2025-06-24,21:44:10:127,02670,----,
2025-06-24,21:44:10:239,02325,----,
2025-06-24,21:44:10:344,02175,----,
2025-06-24,21:44:10:463,02041,----,
2025-06-24,21:44:10:565,01996,----,
2025-06-24,21:44:10:679,02003,----,
2025-06-24,21:44:10:783,01931,----,
2025-06-24,21:44:10:894,01899,----,
2025-06-24,21:44:11:009,01898,----,
2025-06-24,21:44:11:109,01910,----,
2025-06-24,21:44:11:225,01933,----,
2025-06-24,21:44:11:332,01952,----,
2025-06-24,21:44:11:439,01973,----,
2025-06-24,21:44:11:551,02793,----,
2025-06-24,21:44:11:665,03835,----,
2025-06-24,21:44:11:776,04237,----,
2025-06-24,21:44:11:877,04514,----,
2025-06-24,21:44:11:991,04696,----,
2025-06-24,21:44:12:106,04904,----,
2025-06-24,21:44:12:206,05040,----,
2025-06-24,21:44:12:318,05144,----,
