DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:17:54:912,04939,----,
2025-07-13,23:17:55:019,04954,----,
2025-07-13,23:17:55:132,05145,----,
2025-07-13,23:17:55:235,05145,----,
2025-07-13,23:17:55:348,05151,----,
2025-07-13,23:17:55:452,05162,----,
2025-07-13,23:17:55:564,05298,----,
2025-07-13,23:17:55:677,05302,----,
2025-07-13,23:17:55:781,05302,----,
2025-07-13,23:17:55:889,05309,----,
2025-07-13,23:17:56:007,05401,----,
2025-07-13,23:17:56:111,05404,----,
2025-07-13,23:17:56:224,05404,----,
2025-07-13,23:17:56:327,05410,----,
2025-07-13,23:17:56:440,05483,----,
2025-07-13,23:17:56:554,05485,----,
2025-07-13,23:17:56:658,05490,----,
2025-07-13,23:17:56:773,05490,----,
2025-07-13,23:17:56:878,05555,----,
2025-07-13,23:17:56:992,05557,----,
2025-07-13,23:17:57:093,05562,----,
2025-07-13,23:17:57:208,05562,----,
2025-07-13,23:17:57:321,05617,----,
2025-07-13,23:17:57:423,05619,----,
2025-07-13,23:17:57:536,05622,----,
2025-07-13,23:17:57:640,05628,----,
2025-07-13,23:17:57:753,05628,----,
2025-07-13,23:17:57:866,05666,----,
2025-07-13,23:17:57:969,05463,----,
2025-07-13,23:17:58:082,05182,----,
2025-07-13,23:17:58:195,02686,----,
2025-07-13,23:17:58:298,02686,----,
2025-07-13,23:17:58:411,02675,----,
2025-07-13,23:17:58:524,02660,----,
2025-07-13,23:17:58:628,03342,----,
2025-07-13,23:17:58:741,03342,----,
2025-07-13,23:17:58:844,03126,----,
2025-07-13,23:17:58:957,02911,----,
2025-07-13,23:17:59:071,00989,----,
2025-07-13,23:17:59:173,01004,----,
2025-07-13,23:17:59:286,01004,----,
2025-07-13,23:17:59:401,00986,----,
2025-07-13,23:17:59:502,00749,----,
2025-07-13,23:17:59:614,00746,----,
2025-07-13,23:17:59:719,00740,----,
2025-07-13,23:17:59:833,00740,----,
2025-07-13,23:17:59:936,00739,----,
2025-07-13,23:18:00:049,00734,----,
2025-07-13,23:18:00:164,00732,----,
2025-07-13,23:18:00:266,00732,----,
2025-07-13,23:18:00:380,00729,----,
2025-07-13,23:18:00:483,00728,----,
2025-07-13,23:18:00:594,00764,----,
2025-07-13,23:18:00:707,00836,----,
2025-07-13,23:18:00:811,00836,----,
2025-07-13,23:18:00:925,01685,----,
2025-07-13,23:18:01:038,01699,----,
2025-07-13,23:18:01:141,01722,----,
2025-07-13,23:18:01:253,01722,----,
2025-07-13,23:18:01:366,01986,----,
2025-07-13,23:18:01:469,01992,----,
2025-07-13,23:18:01:583,02003,----,
2025-07-13,23:18:01:686,01985,----,
2025-07-13,23:18:01:800,01985,----,
2025-07-13,23:18:01:913,01978,----,
2025-07-13,23:18:02:016,02029,----,
2025-07-13,23:18:02:130,01982,----,
2025-07-13,23:18:02:233,01886,----,
2025-07-13,23:18:02:345,01886,----,
2025-07-13,23:18:02:458,01779,----,
2025-07-13,23:18:02:570,00828,----,
2025-07-13,23:18:02:673,00825,----,
2025-07-13,23:18:02:790,00825,----,
2025-07-13,23:18:02:889,00817,----,
2025-07-13,23:18:03:001,00700,----,
2025-07-13,23:18:03:113,00695,----,
2025-07-13,23:18:03:226,00686,----,
2025-07-13,23:18:03:328,00686,----,
2025-07-13,23:18:03:440,00585,----,
2025-07-13,23:18:03:552,00584,----,
2025-07-13,23:18:03:663,00582,----,
2025-07-13,23:18:03:773,00582,----,
2025-07-13,23:18:03:875,00566,----,
2025-07-13,23:18:03:992,00567,----,
2025-07-13,23:18:04:097,00569,----,
2025-07-13,23:18:04:210,00571,----,
2025-07-13,23:18:04:320,00571,----,
2025-07-13,23:18:04:421,00598,----,
2025-07-13,23:18:04:534,00620,----,
2025-07-13,23:18:04:645,00684,----,
2025-07-13,23:18:04:757,01472,----,
2025-07-13,23:18:04:859,01472,----,
2025-07-13,23:18:04:971,01488,----,
2025-07-13,23:18:05:082,01515,----,
2025-07-13,23:18:05:194,01842,----,
2025-07-13,23:18:05:297,01842,----,
2025-07-13,23:18:05:408,01848,----,
2025-07-13,23:18:05:521,01858,----,
2025-07-13,23:18:05:624,01939,----,
2025-07-13,23:18:05:736,01931,----,
2025-07-13,23:18:05:848,01931,----,
2025-07-13,23:18:05:961,01915,----,
2025-07-13,23:18:06:064,01645,----,
2025-07-13,23:18:06:176,01747,----,
2025-07-13,23:18:06:289,01747,----,
2025-07-13,23:18:06:393,01675,----,
2025-07-13,23:18:06:507,00813,----,
2025-07-13,23:18:06:611,00811,----,
2025-07-13,23:18:06:723,00806,----,
2025-07-13,23:18:06:836,00806,----,
2025-07-13,23:18:06:939,00718,----,
2025-07-13,23:18:07:054,00715,----,
2025-07-13,23:18:07:156,00708,----,
2025-07-13,23:18:07:272,00708,----,
2025-07-13,23:18:07:374,00609,----,
2025-07-13,23:18:07:486,00606,----,
2025-07-13,23:18:07:599,00600,----,
2025-07-13,23:18:07:701,00540,----,
2025-07-13,23:18:07:815,00540,----,
2025-07-13,23:18:07:929,00539,----,
2025-07-13,23:18:08:032,00538,----,
2025-07-13,23:18:08:146,00538,----,
2025-07-13,23:18:08:248,00540,----,
2025-07-13,23:18:08:362,00540,----,
2025-07-13,23:18:08:475,00542,----,
