DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:16:41:942,06539,----,
2025-06-24,21:16:42:056,06566,----,
2025-06-24,21:16:42:157,06595,----,
2025-06-24,21:16:42:271,06620,----,
2025-06-24,21:16:42:385,06647,----,
2025-06-24,21:16:42:487,06654,----,
2025-06-24,21:16:42:600,06680,----,
2025-06-24,21:16:42:713,06709,----,
2025-06-24,21:16:42:816,06735,----,
2025-06-24,21:16:42:930,06738,----,
2025-06-24,21:16:43:032,06762,----,
2025-06-24,21:16:43:144,06769,----,
2025-06-24,21:16:43:258,06798,----,
2025-06-24,21:16:43:360,06868,----,
2025-06-24,21:16:43:472,02977,----,
2025-06-24,21:16:43:587,02569,----,
2025-06-24,21:16:43:690,02483,----,
2025-06-24,21:16:43:802,02473,----,
2025-06-24,21:16:43:912,02486,----,
2025-06-24,21:16:44:019,02498,----,
2025-06-24,21:16:44:135,02489,----,
2025-06-24,21:16:44:243,02405,----,
2025-06-24,21:16:44:346,02330,----,
2025-06-24,21:16:44:460,02260,----,
2025-06-24,21:16:44:562,02160,----,
2025-06-24,21:16:44:676,02093,----,
2025-06-24,21:16:44:791,02069,----,
2025-06-24,21:16:44:892,02153,----,
2025-06-24,21:16:45:005,02233,----,
2025-06-24,21:16:45:120,02283,----,
2025-06-24,21:16:45:222,02291,----,
2025-06-24,21:16:45:335,02234,----,
2025-06-24,21:16:45:438,02202,----,
2025-06-24,21:16:45:552,02193,----,
2025-06-24,21:16:45:666,03502,----,
2025-06-24,21:16:45:768,04334,----,
2025-06-24,21:16:45:880,04633,----,
2025-06-24,21:16:45:987,04864,----,
2025-06-24,21:16:46:099,05028,----,
2025-06-24,21:16:46:212,05192,----,
2025-06-24,21:16:46:315,05347,----,
2025-06-24,21:16:46:429,05447,----,
2025-06-24,21:16:46:532,05548,----,
2025-06-24,21:16:46:646,05608,----,
2025-06-24,21:16:46:751,05668,----,
2025-06-24,21:16:46:860,05763,----,
2025-06-24,21:16:46:975,05035,----,
2025-06-24,21:16:47:078,02608,----,
2025-06-24,21:16:47:193,02580,----,
2025-06-24,21:16:47:305,02516,----,
2025-06-24,21:16:47:407,02530,----,
2025-06-24,21:16:47:521,02513,----,
2025-06-24,21:16:47:625,02463,----,
2025-06-24,21:16:47:738,02380,----,
2025-06-24,21:16:47:852,02307,----,
2025-06-24,21:16:47:953,02184,----,
2025-06-24,21:16:48:065,02146,----,
2025-06-24,21:16:48:178,02134,----,
2025-06-24,21:16:48:281,02217,----,
2025-06-24,21:16:48:394,02325,----,
2025-06-24,21:16:48:507,02365,----,
2025-06-24,21:16:48:610,02320,----,
2025-06-24,21:16:48:725,02269,----,
2025-06-24,21:16:48:828,02226,----,
2025-06-24,21:16:48:939,02916,----,
2025-06-24,21:16:49:055,04109,----,
2025-06-24,21:16:49:156,04464,----,
2025-06-24,21:16:49:275,04728,----,
2025-06-24,21:16:49:375,04927,----,
2025-06-24,21:16:49:488,05044,----,
2025-06-24,21:16:49:603,05177,----,
2025-06-24,21:16:49:705,05304,----,
2025-06-24,21:16:49:819,05377,----,
2025-06-24,21:16:49:922,05439,----,
2025-06-24,21:16:50:034,05513,----,
2025-06-24,21:16:50:147,05606,----,
2025-06-24,21:16:50:259,05689,----,
2025-06-24,21:16:50:362,05752,----,
2025-06-24,21:16:50:477,05812,----,
2025-06-24,21:16:50:579,05873,----,
2025-06-24,21:16:50:693,05970,----,
2025-06-24,21:16:50:807,02821,----,
2025-06-24,21:16:50:907,02605,----,
2025-06-24,21:16:51:020,02509,----,
2025-06-24,21:16:51:134,02467,----,
2025-06-24,21:16:51:237,02485,----,
2025-06-24,21:16:51:350,02473,----,
2025-06-24,21:16:51:454,02411,----,
2025-06-24,21:16:51:566,02339,----,
2025-06-24,21:16:51:680,02253,----,
2025-06-24,21:16:51:782,02220,----,
2025-06-24,21:16:51:895,02196,----,
2025-06-24,21:16:52:008,02247,----,
2025-06-24,21:16:52:111,02343,----,
2025-06-24,21:16:52:224,02375,----,
2025-06-24,21:16:52:338,02329,----,
2025-06-24,21:16:52:440,02269,----,
2025-06-24,21:16:52:554,02260,----,
2025-06-24,21:16:52:668,03168,----,
2025-06-24,21:16:52:782,04061,----,
2025-06-24,21:16:52:875,04519,----,
2025-06-24,21:16:52:989,04704,----,
2025-06-24,21:16:53:096,04900,----,
2025-06-24,21:16:53:216,05032,----,
2025-06-24,21:16:53:314,05165,----,
2025-06-24,21:16:53:429,05274,----,
2025-06-24,21:16:53:532,05388,----,
2025-06-24,21:16:53:645,05444,----,
2025-06-24,21:16:53:763,05531,----,
2025-06-24,21:16:53:865,05614,----,
2025-06-24,21:16:53:970,05673,----,
2025-06-24,21:16:54:084,05594,----,
2025-06-24,21:16:54:197,02792,----,
2025-06-24,21:16:54:299,02623,----,
2025-06-24,21:16:54:407,02569,----,
2025-06-24,21:16:54:518,02519,----,
2025-06-24,21:16:54:628,02528,----,
2025-06-24,21:16:54:744,02489,----,
2025-06-24,21:16:54:848,02381,----,
2025-06-24,21:16:54:960,02317,----,
2025-06-24,21:16:55:068,02214,----,
2025-06-24,21:16:55:177,02113,----,
2025-06-24,21:16:55:282,02082,----,
2025-06-24,21:16:55:399,02130,----,
2025-06-24,21:16:55:508,02260,----,
