DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:21:23:642,01112,----,
2025-07-13,23:21:23:756,01487,----,
2025-07-13,23:21:23:859,01487,----,
2025-07-13,23:21:23:971,01497,----,
2025-07-13,23:21:24:086,01516,----,
2025-07-13,23:21:24:190,01752,----,
2025-07-13,23:21:24:305,01758,----,
2025-07-13,23:21:24:407,01758,----,
2025-07-13,23:21:24:521,01770,----,
2025-07-13,23:21:24:624,01927,----,
2025-07-13,23:21:24:738,01930,----,
2025-07-13,23:21:24:851,01930,----,
2025-07-13,23:21:24:954,01928,----,
2025-07-13,23:21:25:069,01340,----,
2025-07-13,23:21:25:172,01278,----,
2025-07-13,23:21:25:285,01211,----,
2025-07-13,23:21:25:398,01211,----,
2025-07-13,23:21:25:503,00625,----,
2025-07-13,23:21:25:617,00620,----,
2025-07-13,23:21:25:721,00613,----,
2025-07-13,23:21:25:833,00540,----,
2025-07-13,23:21:25:936,00540,----,
2025-07-13,23:21:26:049,00541,----,
2025-07-13,23:21:26:157,00541,----,
2025-07-13,23:21:26:268,00540,----,
2025-07-13,23:21:26:383,00540,----,
2025-07-13,23:21:26:490,00539,----,
2025-07-13,23:21:26:600,00538,----,
2025-07-13,23:21:26:702,00524,----,
2025-07-13,23:21:26:816,00524,----,
2025-07-13,23:21:26:929,00524,----,
2025-07-13,23:21:27:031,00524,----,
2025-07-13,23:21:27:146,00526,----,
2025-07-13,23:21:27:249,00545,----,
2025-07-13,23:21:27:363,00545,----,
2025-07-13,23:21:27:476,00994,----,
2025-07-13,23:21:27:578,01012,----,
2025-07-13,23:21:27:690,01041,----,
2025-07-13,23:21:27:802,01392,----,
2025-07-13,23:21:27:915,01392,----,
2025-07-13,23:21:28:017,01400,----,
2025-07-13,23:21:28:130,01416,----,
2025-07-13,23:21:28:242,01606,----,
2025-07-13,23:21:28:344,01612,----,
2025-07-13,23:21:28:456,01612,----,
2025-07-13,23:21:28:568,01623,----,
2025-07-13,23:21:28:671,01749,----,
2025-07-13,23:21:28:784,01741,----,
2025-07-13,23:21:28:897,01741,----,
2025-07-13,23:21:28:999,01727,----,
2025-07-13,23:21:29:113,00908,----,
2025-07-13,23:21:29:226,00890,----,
2025-07-13,23:21:29:327,00866,----,
2025-07-13,23:21:29:441,00866,----,
2025-07-13,23:21:29:555,00642,----,
2025-07-13,23:21:29:658,00639,----,
2025-07-13,23:21:29:773,00631,----,
2025-07-13,23:21:29:874,00551,----,
2025-07-13,23:21:29:988,00551,----,
2025-07-13,23:21:30:102,00551,----,
2025-07-13,23:21:30:204,00550,----,
2025-07-13,23:21:30:316,00548,----,
2025-07-13,23:21:30:430,00548,----,
2025-07-13,23:21:30:532,00551,----,
2025-07-13,23:21:30:647,00629,----,
2025-07-13,23:21:30:750,00626,----,
2025-07-13,23:21:30:862,00622,----,
2025-07-13,23:21:30:976,00622,----,
2025-07-13,23:21:31:078,00594,----,
2025-07-13,23:21:31:191,00597,----,
2025-07-13,23:21:31:304,00629,----,
2025-07-13,23:21:31:407,00629,----,
2025-07-13,23:21:31:520,01128,----,
2025-07-13,23:21:31:623,01142,----,
2025-07-13,23:21:31:738,01168,----,
2025-07-13,23:21:31:845,01489,----,
2025-07-13,23:21:31:953,01489,----,
2025-07-13,23:21:32:068,01497,----,
2025-07-13,23:21:32:171,01511,----,
2025-07-13,23:21:32:283,01694,----,
2025-07-13,23:21:32:397,01694,----,
2025-07-13,23:21:32:501,01699,----,
2025-07-13,23:21:32:614,01708,----,
2025-07-13,23:21:32:719,01811,----,
2025-07-13,23:21:32:830,01804,----,
2025-07-13,23:21:32:944,01804,----,
2025-07-13,23:21:33:047,01785,----,
2025-07-13,23:21:33:159,00849,----,
