DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-14,15:04:18:975,05594,----,
2025-07-14,15:04:19:078,05595,----,
2025-07-14,15:04:19:192,05595,----,
2025-07-14,15:04:19:305,05598,----,
2025-07-14,15:04:19:407,05601,----,
2025-07-14,15:04:19:521,05643,----,
2025-07-14,15:04:19:625,05644,----,
2025-07-14,15:04:19:735,05644,----,
2025-07-14,15:04:19:853,05645,----,
2025-07-14,15:04:19:955,05648,----,
2025-07-14,15:04:20:069,05651,----,
2025-07-14,15:04:20:173,05651,----,
2025-07-14,15:04:20:289,05685,----,
2025-07-14,15:04:20:393,05605,----,
2025-07-14,15:04:20:506,05511,----,
2025-07-14,15:04:20:614,04779,----,
2025-07-14,15:04:20:726,04779,----,
2025-07-14,15:04:20:830,04781,----,
2025-07-14,15:04:20:943,04784,----,
2025-07-14,15:04:21:051,04808,----,
2025-07-14,15:04:21:166,04808,----,
2025-07-14,15:04:21:268,04808,----,
2025-07-14,15:04:21:382,04809,----,
2025-07-14,15:04:21:486,04808,----,
2025-07-14,15:04:21:600,04804,----,
2025-07-14,15:04:21:704,04804,----,
2025-07-14,15:04:21:816,04472,----,
2025-07-14,15:04:21:930,04465,----,
2025-07-14,15:04:22:034,04458,----,
2025-07-14,15:04:22:149,04458,----,
2025-07-14,15:04:22:252,04394,----,
2025-07-14,15:04:22:365,04396,----,
2025-07-14,15:04:22:469,04399,----,
2025-07-14,15:04:22:583,04403,----,
2025-07-14,15:04:22:687,04403,----,
2025-07-14,15:04:22:801,04464,----,
2025-07-14,15:04:22:914,04473,----,
2025-07-14,15:04:23:017,04486,----,
2025-07-14,15:04:23:135,04576,----,
2025-07-14,15:04:23:236,04576,----,
2025-07-14,15:04:23:350,04594,----,
2025-07-14,15:04:23:453,04634,----,
2025-07-14,15:04:23:567,05046,----,
2025-07-14,15:04:23:670,05046,----,
2025-07-14,15:04:23:784,05066,----,
2025-07-14,15:04:23:898,05033,----,
2025-07-14,15:04:24:002,02582,----,
2025-07-14,15:04:24:117,02657,----,
2025-07-14,15:04:24:221,02657,----,
2025-07-14,15:04:24:334,02761,----,
2025-07-14,15:04:24:437,03366,----,
2025-07-14,15:04:24:552,03374,----,
2025-07-14,15:04:24:664,03385,----,
2025-07-14,15:04:24:767,03385,----,
2025-07-14,15:04:24:880,03505,----,
2025-07-14,15:04:24:984,03508,----,
2025-07-14,15:04:25:097,03513,----,
2025-07-14,15:04:25:213,03513,----,
2025-07-14,15:04:25:314,03561,----,
2025-07-14,15:04:25:430,03563,----,
2025-07-14,15:04:25:530,03566,----,
2025-07-14,15:04:25:648,03619,----,
2025-07-14,15:04:25:750,03619,----,
2025-07-14,15:04:25:866,03620,----,
2025-07-14,15:04:25:968,03430,----,
2025-07-14,15:04:26:081,01280,----,
2025-07-14,15:04:26:196,01280,----,
2025-07-14,15:04:26:299,01272,----,
2025-07-14,15:04:26:413,01253,----,
2025-07-14,15:04:26:517,01062,----,
2025-07-14,15:04:26:631,01064,----,
2025-07-14,15:04:26:734,01064,----,
2025-07-14,15:04:26:852,01091,----,
2025-07-14,15:04:26:960,01809,----,
2025-07-14,15:04:27:063,01768,----,
2025-07-14,15:04:27:181,01768,----,
2025-07-14,15:04:27:281,01729,----,
2025-07-14,15:04:27:395,02040,----,
2025-07-14,15:04:27:508,02076,----,
2025-07-14,15:04:27:613,02138,----,
2025-07-14,15:04:27:725,02138,----,
2025-07-14,15:04:27:830,03004,----,
2025-07-14,15:04:27:941,03031,----,
2025-07-14,15:04:28:054,03037,----,
2025-07-14,15:04:28:157,03040,----,
2025-07-14,15:04:28:273,03040,----,
2025-07-14,15:04:28:374,03042,----,
2025-07-14,15:04:28:489,03038,----,
2025-07-14,15:04:28:603,02952,----,
2025-07-14,15:04:28:705,02864,----,
2025-07-14,15:04:28:812,02864,----,
2025-07-14,15:04:28:927,02708,----,
2025-07-14,15:04:29:036,01347,----,
2025-07-14,15:04:29:139,01333,----,
2025-07-14,15:04:29:250,01333,----,
2025-07-14,15:04:29:359,01312,----,
2025-07-14,15:04:29:469,01121,----,
2025-07-14,15:04:29:582,01122,----,
2025-07-14,15:04:29:695,01122,----,
2025-07-14,15:04:29:798,01139,----,
2025-07-14,15:04:29:911,01184,----,
2025-07-14,15:04:30:014,01395,----,
2025-07-14,15:04:30:131,01381,----,
2025-07-14,15:04:30:242,01381,----,
2025-07-14,15:04:30:343,01359,----,
2025-07-14,15:04:30:454,01668,----,
2025-07-14,15:04:30:566,01701,----,
2025-07-14,15:04:30:683,01753,----,
2025-07-14,15:04:30:783,01753,----,
2025-07-14,15:04:30:896,02328,----,
2025-07-14,15:04:30:999,02339,----,
2025-07-14,15:04:31:114,02358,----,
2025-07-14,15:04:31:228,02358,----,
2025-07-14,15:04:31:328,02586,----,
2025-07-14,15:04:31:441,02588,----,
2025-07-14,15:04:31:553,02585,----,
2025-07-14,15:04:31:655,02202,----,
2025-07-14,15:04:31:769,02202,----,
2025-07-14,15:04:31:881,02133,----,
2025-07-14,15:04:31:984,02043,----,
2025-07-14,15:04:32:096,01149,----,
2025-07-14,15:04:32:211,01149,----,
2025-07-14,15:04:32:314,01138,----,
2025-07-14,15:04:32:428,01128,----,
2025-07-14,15:04:32:539,01110,----,
