DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:41:23:398,06700,04998,05397,06890,
2025-07-27,19:41:23:658,06701,05002,05399,06890,
2025-07-27,19:41:23:906,06702,05007,05402,06891,
2025-07-27,19:41:24:156,06703,05010,05403,06891,
2025-07-27,19:41:24:404,06705,05012,05405,06892,
2025-07-27,19:41:24:652,06706,05016,05408,06892,
2025-07-27,19:41:24:900,06707,05019,05410,06893,
2025-07-27,19:41:25:148,06708,05022,05411,06893,
2025-07-27,19:41:25:410,06709,05024,05413,06894,
2025-07-27,19:41:25:661,06709,05027,05415,06894,
2025-07-27,19:41:25:909,06710,05030,05418,06894,
2025-07-27,19:41:26:159,06710,05033,05420,06894,
2025-07-27,19:41:26:407,06710,05035,05420,06895,
2025-07-27,19:41:26:657,06717,05038,05422,06897,
2025-07-27,19:41:26:903,06725,05042,05422,06898,
2025-07-27,19:41:27:152,06726,05044,05422,06898,
2025-07-27,19:41:27:400,06726,05047,05423,06899,
2025-07-27,19:41:27:646,06727,05050,05423,06900,
2025-07-27,19:41:27:909,06726,05052,05426,06900,
2025-07-27,19:41:28:156,06716,05052,05428,06899,
2025-07-27,19:41:28:404,06714,05055,05431,06900,
2025-07-27,19:41:28:651,06714,05057,05433,06901,
2025-07-27,19:41:28:902,06697,05058,05440,06901,
2025-07-27,19:41:29:148,05611,05050,05594,06902,
2025-07-27,19:41:29:397,05606,05014,05601,06905,
2025-07-27,19:41:29:647,05597,05014,05644,06875,
2025-07-27,19:41:29:911,05556,05000,05573,06268,
2025-07-27,19:41:30:158,04953,04934,05571,06206,
2025-07-27,19:41:30:406,04707,04925,05478,05927,
2025-07-27,19:41:30:653,04761,04886,05491,05978,
2025-07-27,19:41:30:900,05233,04893,05590,06395,
2025-07-27,19:41:31:160,05249,04936,05585,06401,
2025-07-27,19:41:31:409,05360,04935,05467,06411,
2025-07-27,19:41:31:658,05367,04933,05472,06423,
2025-07-27,19:41:31:908,05374,04932,05502,06536,
2025-07-27,19:41:32:158,05418,04927,05493,06573,
2025-07-27,19:41:32:406,05394,04237,05163,06579,
2025-07-27,19:41:32:654,05244,04173,04971,06587,
2025-07-27,19:41:32:901,05529,03027,03969,06750,
2025-07-27,19:41:33:153,05525,03018,03932,06761,
2025-07-27,19:41:33:403,05646,02969,03938,06841,
2025-07-27,19:41:33:650,05611,02972,04453,06882,
2025-07-27,19:41:33:901,05482,03565,04514,06883,
2025-07-27,19:41:34:151,05585,03617,04981,06887,
2025-07-27,19:41:34:401,05589,04036,05264,06891,
2025-07-27,19:41:34:649,05594,04293,05269,06897,
2025-07-27,19:41:34:897,05642,04299,05392,06900,
2025-07-27,19:41:35:147,05647,04446,05401,06907,
2025-07-27,19:41:35:411,05651,04457,05474,06913,
2025-07-27,19:41:35:658,05681,04554,05530,06917,
2025-07-27,19:41:35:906,05682,04633,05532,06921,
2025-07-27,19:41:36:157,05683,04635,05539,06922,
2025-07-27,19:41:36:406,05686,04694,05584,06925,
2025-07-27,19:41:36:654,05688,04699,05589,06927,
2025-07-27,19:41:36:898,05690,04743,05620,06929,
2025-07-27,19:41:37:149,05694,04745,05622,06931,
2025-07-27,19:41:37:397,05699,04788,05627,06931,
2025-07-27,19:41:37:661,05703,04791,05657,06933,
2025-07-27,19:41:37:908,05707,04825,05659,06934,
2025-07-27,19:41:38:284,05707,04825,05662,06936,
2025-07-27,19:41:38:529,05713,04832,05663,06909,
2025-07-27,19:41:38:776,05576,04808,05525,06165,
2025-07-27,19:41:39:026,05275,04804,05533,06202,
2025-07-27,19:41:39:286,05294,04805,05591,06497,
2025-07-27,19:41:39:533,05472,04846,05596,06550,
2025-07-27,19:41:39:783,05495,04846,05511,06546,
2025-07-27,19:41:40:032,05490,04843,05438,06543,
2025-07-27,19:41:40:281,05487,04837,05416,06540,
2025-07-27,19:41:40:530,05174,04536,04479,06430,
2025-07-27,19:41:40:777,05161,04372,04344,06464,
2025-07-27,19:41:41:026,05190,02938,03962,06698,
2025-07-27,19:41:41:274,05453,02903,03808,06714,
2025-07-27,19:41:41:523,05467,02899,03830,06849,
2025-07-27,19:41:41:771,05675,02890,04150,06861,
2025-07-27,19:41:42:035,05482,02901,04215,06931,
2025-07-27,19:41:42:284,05496,03296,04714,06933,
2025-07-27,19:41:42:531,05611,03773,05100,06935,
2025-07-27,19:41:42:779,05614,03813,05122,06936,
2025-07-27,19:41:43:028,05666,04102,05287,06938,
2025-07-27,19:41:43:278,05669,04115,05299,06939,
2025-07-27,19:41:43:528,05673,04273,05396,06941,
2025-07-27,19:41:43:774,05676,04388,05465,06942,
2025-07-27,19:41:44:024,05702,04398,05467,06945,
2025-07-27,19:41:44:285,05704,04476,05516,06949,
2025-07-27,19:41:44:531,05707,04483,05520,06951,
2025-07-27,19:41:44:782,05712,04545,05566,06954,
2025-07-27,19:41:45:032,05715,04596,05569,06958,
2025-07-27,19:41:45:280,05720,04600,05572,06960,
2025-07-27,19:41:45:529,05725,04638,05605,06962,
2025-07-27,19:41:45:776,05728,04642,05608,06963,
2025-07-27,19:41:46:026,05732,04683,05614,06965,
2025-07-27,19:41:46:272,05733,04686,05643,06966,
2025-07-27,19:41:46:522,05736,04718,05644,06958,
2025-07-27,19:41:46:785,05728,04719,05639,05739,
2025-07-27,19:41:47:033,05286,04708,05367,05730,
2025-07-27,19:41:47:281,04609,04604,05350,05481,
2025-07-27,19:41:47:529,04629,04608,05374,05545,
2025-07-27,19:41:47:776,05141,04675,05390,06116,
2025-07-27,19:41:48:023,05182,04677,05533,06141,
2025-07-27,19:41:48:272,05446,04719,05544,06458,
2025-07-27,19:41:48:534,05457,04721,05578,06520,
2025-07-27,19:41:48:780,05502,04726,05575,06536,
2025-07-27,19:41:49:028,05558,04754,05577,06667,
2025-07-27,19:41:49:276,05549,04753,05553,06655,
2025-07-27,19:41:49:525,05512,04655,04335,06487,
2025-07-27,19:41:49:773,05096,03514,04296,06523,
2025-07-27,19:41:50:022,05496,03023,04292,06763,
2025-07-27,19:41:50:285,05519,03020,04265,06871,
2025-07-27,19:41:50:536,05554,02994,04188,06873,
2025-07-27,19:41:50:783,05506,03021,04783,06878,
2025-07-27,19:41:51:030,05509,03531,04825,06885,
2025-07-27,19:41:51:280,05609,04007,05197,06913,
2025-07-27,19:41:51:530,05614,04016,05219,06914,
2025-07-27,19:41:51:783,05662,04236,05398,06916,
2025-07-27,19:41:52:030,05665,04252,05511,06918,
2025-07-27,19:41:52:278,05699,04387,05513,06918,
2025-07-27,19:41:52:528,05751,04506,05393,06917,
2025-07-27,19:41:52:777,06240,04509,05396,06916,
2025-07-27,19:41:53:025,06374,04593,05435,06914,
2025-07-27,19:41:53:273,06377,04600,05438,06911,
