DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:42:03:531,06630,05038,05623,06949,
2025-07-27,19:42:03:778,06632,05042,05625,06949,
2025-07-27,19:42:04:025,06633,05046,05626,06950,
2025-07-27,19:42:04:271,06634,05049,05628,06951,
2025-07-27,19:42:04:532,06635,05051,05630,06951,
2025-07-27,19:42:04:778,06637,05053,05632,06951,
2025-07-27,19:42:05:023,06637,05056,05634,06952,
2025-07-27,19:42:05:279,06638,05059,05635,06952,
2025-07-27,19:42:05:527,06584,05059,05643,06953,
2025-07-27,19:42:05:778,06093,05058,05706,06953,
2025-07-27,19:42:06:021,06093,05056,05710,06954,
2025-07-27,19:42:06:283,06084,05048,05505,06764,
2025-07-27,19:42:06:521,04960,04882,05507,05558,
2025-07-27,19:42:06:782,04968,04882,05574,06052,
2025-07-27,19:42:07:027,05535,04932,05587,06069,
2025-07-27,19:42:07:271,05561,04936,05632,06388,
2025-07-27,19:42:07:529,05827,04967,05637,06413,
2025-07-27,19:42:07:770,05934,04971,05686,06598,
2025-07-27,19:42:08:026,05939,04993,05690,06681,
2025-07-27,19:42:08:283,05940,04993,05673,06675,
2025-07-27,19:42:08:529,05903,04915,04442,06591,
2025-07-27,19:42:08:775,05628,03670,04383,06612,
2025-07-27,19:42:09:030,05900,03088,04053,06771,
2025-07-27,19:42:09:280,05946,03084,04039,06834,
2025-07-27,19:42:09:522,06050,03042,04289,06837,
2025-07-27,19:42:09:783,06025,03067,04347,06886,
2025-07-27,19:42:10:028,05924,03606,04869,06889,
2025-07-27,19:42:10:271,06015,04010,04899,06895,
2025-07-27,19:42:10:533,06017,04020,05151,06926,
2025-07-27,19:42:10:778,06023,04290,05358,06926,
2025-07-27,19:42:11:028,06063,04309,05362,06928,
2025-07-27,19:42:11:272,06242,04467,05370,06924,
2025-07-27,19:42:11:535,06283,04476,05376,06920,
2025-07-27,19:42:11:782,06507,04598,05430,06918,
2025-07-27,19:42:12:022,06514,04684,05433,06915,
2025-07-27,19:42:12:282,06567,04691,05437,06913,
2025-07-27,19:42:12:526,06572,04751,05476,06913,
2025-07-27,19:42:12:775,06603,04754,05481,06919,
2025-07-27,19:42:13:022,06605,04800,05515,06922,
2025-07-27,19:42:13:281,06607,04806,05519,06927,
2025-07-27,19:42:13:524,06560,04841,05527,06931,
2025-07-27,19:42:13:797,06136,04842,05612,06935,
2025-07-27,19:42:14:044,06136,04844,05619,06938,
2025-07-27,19:42:14:292,06135,04849,05644,06870,
2025-07-27,19:42:14:540,05994,04784,05454,05713,
2025-07-27,19:42:14:803,05135,04780,05463,05770,
2025-07-27,19:42:15:057,05540,04785,05597,06222,
2025-07-27,19:42:15:315,05575,04833,05603,06510,
2025-07-27,19:42:15:565,05806,04835,05656,06517,
2025-07-27,19:42:15:811,05830,04879,05650,06627,
2025-07-27,19:42:16:056,05911,04880,05649,06632,
2025-07-27,19:42:16:314,05901,04880,05634,06623,
2025-07-27,19:42:16:557,05742,04827,05373,06544,
2025-07-27,19:42:16:802,05723,03699,03893,06561,
2025-07-27,19:42:17:068,05932,03562,03909,06779,
2025-07-27,19:42:17:325,06014,02987,04120,06915,
2025-07-27,19:42:17:571,06018,03074,04164,06921,
2025-07-27,19:42:17:833,05987,03133,04574,06962,
2025-07-27,19:42:18:076,05993,03727,05087,06960,
2025-07-27,19:42:18:321,06034,03786,05116,06955,
2025-07-27,19:42:18:585,06037,04185,05324,06951,
2025-07-27,19:42:18:836,06062,04373,05338,06948,
2025-07-27,19:42:19:095,06061,04387,05449,06946,
2025-07-27,19:42:19:345,06063,04498,05523,06946,
2025-07-27,19:42:19:588,06064,04508,05529,06952,
2025-07-27,19:42:19:834,06069,04592,05577,06957,
2025-07-27,19:42:20:094,06074,04656,05581,06962,
2025-07-27,19:42:20:335,06081,04661,05628,06967,
2025-07-27,19:42:20:591,06084,04707,05630,06969,
2025-07-27,19:42:20:834,06057,04708,05622,06902,
2025-07-27,19:42:21:098,05763,04708,05593,06644,
2025-07-27,19:42:21:337,05769,04712,05588,06659,
2025-07-27,19:42:21:599,05782,04717,05591,06755,
2025-07-27,19:42:21:858,05910,04759,05570,06681,
2025-07-27,19:42:22:106,05895,04755,05376,06679,
2025-07-27,19:42:22:355,05768,04672,05362,06668,
2025-07-27,19:42:22:610,05564,04587,04903,06666,
2025-07-27,19:42:22:851,05555,03942,04566,06671,
2025-07-27,19:42:23:110,05627,03879,04484,06681,
2025-07-27,19:42:23:357,05661,03024,04266,06833,
2025-07-27,19:42:23:613,05907,03084,04275,06915,
2025-07-27,19:42:23:861,05866,03095,04456,06921,
2025-07-27,19:42:24:102,05870,03412,04840,06952,
2025-07-27,19:42:24:354,05876,03444,04869,06952,
2025-07-27,19:42:24:600,05947,03823,05088,06955,
2025-07-27,19:42:24:857,05997,04111,05115,06958,
2025-07-27,19:42:25:106,06000,04137,05356,06958,
2025-07-27,19:42:25:363,06009,04334,05362,06957,
2025-07-27,19:42:25:608,06427,04350,05372,06956,
2025-07-27,19:42:25:849,06438,04483,05429,06954,
2025-07-27,19:42:26:106,06523,04577,05433,06952,
