DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:58:28:926,06125,----,
2025-07-13,20:58:29:036,06126,----,
2025-07-13,20:58:29:139,06128,----,
2025-07-13,20:58:29:252,06130,----,
2025-07-13,20:58:29:367,06132,----,
2025-07-13,20:58:29:471,06132,----,
2025-07-13,20:58:29:583,06133,----,
2025-07-13,20:58:29:696,06135,----,
2025-07-13,20:58:29:799,06137,----,
2025-07-13,20:58:29:913,06137,----,
2025-07-13,20:58:30:015,06138,----,
2025-07-13,20:58:30:128,06140,----,
2025-07-13,20:58:30:239,06142,----,
2025-07-13,20:58:30:351,06143,----,
2025-07-13,20:58:30:454,06143,----,
2025-07-13,20:58:30:571,06145,----,
2025-07-13,20:58:30:679,06147,----,
2025-07-13,20:58:30:787,06149,----,
2025-07-13,20:58:30:898,06151,----,
2025-07-13,20:58:31:004,06151,----,
2025-07-13,20:58:31:114,06153,----,
2025-07-13,20:58:31:218,06153,----,
2025-07-13,20:58:31:332,06154,----,
2025-07-13,20:58:31:438,06154,----,
2025-07-13,20:58:31:548,06153,----,
2025-07-13,20:58:31:661,06150,----,
2025-07-13,20:58:31:764,06027,----,
2025-07-13,20:58:31:880,02740,----,
2025-07-13,20:58:31:991,02740,----,
2025-07-13,20:58:32:093,02787,----,
2025-07-13,20:58:32:205,02810,----,
2025-07-13,20:58:32:321,02675,----,
2025-07-13,20:58:32:423,02675,----,
2025-07-13,20:58:32:535,02671,----,
2025-07-13,20:58:32:641,02762,----,
2025-07-13,20:58:32:752,04481,----,
2025-07-13,20:58:32:867,04297,----,
2025-07-13,20:58:32:968,04297,----,
2025-07-13,20:58:33:082,03874,----,
2025-07-13,20:58:33:194,02097,----,
2025-07-13,20:58:33:297,02282,----,
2025-07-13,20:58:33:409,02282,----,
2025-07-13,20:58:33:525,02546,----,
2025-07-13,20:58:33:625,05355,----,
2025-07-13,20:58:33:739,05507,----,
2025-07-13,20:58:33:852,05688,----,
2025-07-13,20:58:33:954,05688,----,
2025-07-13,20:58:34:068,07521,----,
2025-07-13,20:58:34:181,07419,----,
2025-07-13,20:58:34:281,07430,----,
2025-07-13,20:58:34:394,07952,----,
2025-07-13,20:58:34:506,07952,----,
2025-07-13,20:58:34:609,07843,----,
2025-07-13,20:58:34:725,07798,----,
2025-07-13,20:58:34:837,07641,----,
2025-07-13,20:58:34:940,07662,----,
2025-07-13,20:58:35:053,07662,----,
2025-07-13,20:58:35:170,07653,----,
2025-07-13,20:58:35:265,07582,----,
2025-07-13,20:58:35:379,07578,----,
2025-07-13,20:58:35:486,07578,----,
2025-07-13,20:58:35:602,07438,----,
2025-07-13,20:58:35:702,05851,----,
2025-07-13,20:58:35:813,05850,----,
2025-07-13,20:58:35:926,05850,----,
2025-07-13,20:58:36:035,05854,----,
2025-07-13,20:58:36:145,05862,----,
2025-07-13,20:58:36:255,05892,----,
2025-07-13,20:58:36:366,05890,----,
2025-07-13,20:58:36:467,05890,----,
2025-07-13,20:58:36:579,05888,----,
2025-07-13,20:58:36:692,05888,----,
2025-07-13,20:58:36:800,05890,----,
2025-07-13,20:58:36:913,05893,----,
2025-07-13,20:58:37:024,05893,----,
2025-07-13,20:58:37:125,05942,----,
2025-07-13,20:58:37:238,05942,----,
2025-07-13,20:58:37:351,05928,----,
2025-07-13,20:58:37:454,05928,----,
2025-07-13,20:58:37:563,05767,----,
2025-07-13,20:58:37:675,03101,----,
2025-07-13,20:58:37:787,03097,----,
2025-07-13,20:58:37:891,03054,----,
2025-07-13,20:58:38:001,03054,----,
2025-07-13,20:58:38:114,03345,----,
2025-07-13,20:58:38:226,03286,----,
2025-07-13,20:58:38:328,03218,----,
2025-07-13,20:58:38:442,03218,----,
2025-07-13,20:58:38:554,02678,----,
2025-07-13,20:58:38:657,02606,----,
2025-07-13,20:58:38:771,02473,----,
2025-07-13,20:58:38:876,03613,----,
2025-07-13,20:58:38:988,03613,----,
2025-07-13,20:58:39:101,03787,----,
2025-07-13,20:58:39:204,04008,----,
2025-07-13,20:58:39:318,05131,----,
2025-07-13,20:58:39:422,05150,----,
2025-07-13,20:58:39:535,05150,----,
2025-07-13,20:58:39:647,05192,----,
2025-07-13,20:58:39:749,05646,----,
2025-07-13,20:58:39:862,05650,----,
2025-07-13,20:58:39:975,05650,----,
2025-07-13,20:58:40:077,05661,----,
2025-07-13,20:58:40:192,05795,----,
2025-07-13,20:58:40:302,05802,----,
2025-07-13,20:58:40:405,05813,----,
2025-07-13,20:58:40:519,05813,----,
2025-07-13,20:58:40:630,05956,----,
2025-07-13,20:58:40:748,05966,----,
2025-07-13,20:58:40:871,05979,----,
2025-07-13,20:58:40:968,06072,----,
2025-07-13,20:58:41:081,06072,----,
2025-07-13,20:58:41:203,06073,----,
2025-07-13,20:58:41:298,06076,----,
2025-07-13,20:58:41:410,06080,----,
2025-07-13,20:58:41:522,06131,----,
2025-07-13,20:58:41:624,06131,----,
2025-07-13,20:58:41:738,06109,----,
2025-07-13,20:58:41:851,05821,----,
2025-07-13,20:58:41:954,02992,----,
2025-07-13,20:58:42:067,02992,----,
2025-07-13,20:58:42:179,02963,----,
2025-07-13,20:58:42:282,03057,----,
2025-07-13,20:58:42:396,02687,----,
2025-07-13,20:58:42:500,02684,----,
