DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:29:01:454,06804,----,
2025-07-13,20:29:01:567,06805,----,
2025-07-13,20:29:01:678,06806,----,
2025-07-13,20:29:01:780,06806,----,
2025-07-13,20:29:01:893,06806,----,
2025-07-13,20:29:02:006,06808,----,
2025-07-13,20:29:02:109,06809,----,
2025-07-13,20:29:02:224,06810,----,
2025-07-13,20:29:02:327,06810,----,
2025-07-13,20:29:02:441,06812,----,
2025-07-13,20:29:02:556,06815,----,
2025-07-13,20:29:02:659,06817,----,
2025-07-13,20:29:02:771,06817,----,
2025-07-13,20:29:02:875,06818,----,
2025-07-13,20:29:02:987,06818,----,
2025-07-13,20:29:03:099,06817,----,
2025-07-13,20:29:03:202,06817,----,
2025-07-13,20:29:03:317,06817,----,
2025-07-13,20:29:03:430,06816,----,
2025-07-13,20:29:03:533,06816,----,
2025-07-13,20:29:03:648,06816,----,
2025-07-13,20:29:03:758,06816,----,
2025-07-13,20:29:03:861,06816,----,
2025-07-13,20:29:03:972,06817,----,
2025-07-13,20:29:04:085,06816,----,
2025-07-13,20:29:04:196,06815,----,
2025-07-13,20:29:04:305,06814,----,
2025-07-13,20:29:04:407,06814,----,
2025-07-13,20:29:04:518,06813,----,
2025-07-13,20:29:04:629,06814,----,
2025-07-13,20:29:04:741,06815,----,
2025-07-13,20:29:04:853,06815,----,
2025-07-13,20:29:04:953,06816,----,
2025-07-13,20:29:05:064,06817,----,
2025-07-13,20:29:05:178,06819,----,
2025-07-13,20:29:05:286,06820,----,
2025-07-13,20:29:05:399,06820,----,
2025-07-13,20:29:05:500,06822,----,
2025-07-13,20:29:05:611,06824,----,
2025-07-13,20:29:05:723,06826,----,
2025-07-13,20:29:05:835,06826,----,
2025-07-13,20:29:05:938,06825,----,
2025-07-13,20:29:06:048,06784,----,
2025-07-13,20:29:06:160,04749,----,
2025-07-13,20:29:06:271,04717,----,
2025-07-13,20:29:06:373,04717,----,
2025-07-13,20:29:06:486,04692,----,
2025-07-13,20:29:06:599,03917,----,
2025-07-13,20:29:06:701,03886,----,
2025-07-13,20:29:06:814,03886,----,
2025-07-13,20:29:06:927,03847,----,
2025-07-13,20:29:07:030,03522,----,
2025-07-13,20:29:07:144,03524,----,
2025-07-13,20:29:07:258,03528,----,
2025-07-13,20:29:07:361,03528,----,
2025-07-13,20:29:07:475,03571,----,
2025-07-13,20:29:07:577,03572,----,
2025-07-13,20:29:07:690,03574,----,
2025-07-13,20:29:07:805,03574,----,
2025-07-13,20:29:07:906,03579,----,
2025-07-13,20:29:08:019,03628,----,
2025-07-13,20:29:08:123,03629,----,
2025-07-13,20:29:08:237,03632,----,
2025-07-13,20:29:08:350,03632,----,
2025-07-13,20:29:08:453,03635,----,
2025-07-13,20:29:08:564,03675,----,
2025-07-13,20:29:08:673,03676,----,
2025-07-13,20:29:08:783,03678,----,
2025-07-13,20:29:08:895,03678,----,
2025-07-13,20:29:09:007,03681,----,
2025-07-13,20:29:09:110,03710,----,
2025-07-13,20:29:09:224,03712,----,
2025-07-13,20:29:09:328,03712,----,
2025-07-13,20:29:09:440,03714,----,
2025-07-13,20:29:09:554,03717,----,
2025-07-13,20:29:09:656,03753,----,
2025-07-13,20:29:09:769,03754,----,
2025-07-13,20:29:09:885,03754,----,
2025-07-13,20:29:09:983,03755,----,
2025-07-13,20:29:10:095,03757,----,
2025-07-13,20:29:10:209,03750,----,
2025-07-13,20:29:10:312,02969,----,
2025-07-13,20:29:10:425,02969,----,
2025-07-13,20:29:10:538,03050,----,
2025-07-13,20:29:10:641,03136,----,
2025-07-13,20:29:10:752,03042,----,
2025-07-13,20:29:10:869,03042,----,
2025-07-13,20:29:10:970,03075,----,
2025-07-13,20:29:11:083,03149,----,
2025-07-13,20:29:11:186,04218,----,
2025-07-13,20:29:11:299,04259,----,
2025-07-13,20:29:11:417,04259,----,
2025-07-13,20:29:11:517,04400,----,
2025-07-13,20:29:11:628,05543,----,
2025-07-13,20:29:11:742,05581,----,
2025-07-13,20:29:11:847,05581,----,
2025-07-13,20:29:11:957,05650,----,
2025-07-13,20:29:12:071,06353,----,
2025-07-13,20:29:12:173,06355,----,
2025-07-13,20:29:12:286,06354,----,
2025-07-13,20:29:12:389,06354,----,
2025-07-13,20:29:12:502,06344,----,
2025-07-13,20:29:12:616,06341,----,
2025-07-13,20:29:12:721,06372,----,
2025-07-13,20:29:12:836,06372,----,
2025-07-13,20:29:12:938,06420,----,
2025-07-13,20:29:13:050,06815,----,
2025-07-13,20:29:13:163,06783,----,
2025-07-13,20:29:13:271,06741,----,
2025-07-13,20:29:13:373,06741,----,
2025-07-13,20:29:13:486,06451,----,
2025-07-13,20:29:13:598,06417,----,
2025-07-13,20:29:13:702,06223,----,
2025-07-13,20:29:13:816,06867,----,
2025-07-13,20:29:13:928,06867,----,
2025-07-13,20:29:14:032,06738,----,
2025-07-13,20:29:14:145,06723,----,
2025-07-13,20:29:14:257,06394,----,
2025-07-13,20:29:14:360,06394,----,
2025-07-13,20:29:14:480,05967,----,
2025-07-13,20:29:14:585,05873,----,
2025-07-13,20:29:14:688,05923,----,
2025-07-13,20:29:14:801,06019,----,
2025-07-13,20:29:14:915,06019,----,
2025-07-13,20:29:15:017,06421,----,
