DeviceNo,,[25071720],[25071721],[25071722],[25071723],[25071724],[--------],
DeviceInfo,,[],[],[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],[20M次],[--],
2025-07-25,21:26:22:281,01800,02227,02014,02164,19354,----,
2025-07-25,21:26:22:592,01831,02301,02124,02165,20642,----,
2025-07-25,21:26:22:905,02048,02305,02167,02169,20779,----,
2025-07-25,21:26:23:212,02140,02335,02170,02183,21672,----,
2025-07-25,21:26:23:521,02187,02349,02164,02285,16442,----,
2025-07-25,21:26:23:846,01837,02240,01720,04497,14352,----,
2025-07-25,21:26:24:159,00252,01687,01738,02127,14442,----,
2025-07-25,21:26:24:466,00495,02265,02056,02131,16861,----,
2025-07-25,21:26:24:777,01896,02359,02139,02163,19584,----,
2025-07-25,21:26:25:098,02057,02364,02181,02166,19096,----,
2025-07-25,21:26:25:408,02131,02402,02183,02185,19261,----,
2025-07-25,21:26:25:709,00301,02110,02158,02461,18638,----,
2025-07-25,21:26:26:027,00287,00840,01554,03344,16662,----,
2025-07-25,21:26:26:337,00784,01068,02067,02197,21577,----,
2025-07-25,21:26:26:647,01922,02259,02076,02198,21548,----,
2025-07-25,21:26:26:971,01939,02367,02145,02202,21987,----,
2025-07-25,21:26:27:281,02075,02419,02186,02213,22416,----,
2025-07-25,21:26:27:591,02136,02423,02213,02215,19836,----,
2025-07-25,21:26:27:901,01260,02375,02123,02321,18835,----,
2025-07-25,21:26:28:209,01055,00893,01498,03047,12546,----,
2025-07-25,21:26:28:524,00366,02155,01955,02276,16988,----,
2025-07-25,21:26:28:835,01772,02186,01974,02247,18345,----,
2025-07-25,21:26:29:160,02000,02380,02105,02248,18873,----,
2025-07-25,21:26:29:469,02011,02444,02159,02251,21458,----,
2025-07-25,21:26:29:776,02096,02480,02195,02300,18697,----,
2025-07-25,21:26:30:084,00950,02334,02124,04236,17645,----,
2025-07-25,21:26:30:409,00246,01432,01709,04046,12878,----,
2025-07-25,21:26:30:709,00510,02364,02069,02269,18807,----,
2025-07-25,21:26:31:027,01878,02458,02147,02273,18469,----,
2025-07-25,21:26:31:336,02042,02462,02152,02275,18497,----,
2025-07-25,21:26:31:662,02114,02499,02194,02278,18790,----,
2025-07-25,21:26:31:971,02134,04758,02088,02211,14729,----,
2025-07-25,21:26:32:283,03156,OVLD,02099,01685,26471,----,
2025-07-25,21:26:32:594,02112,02576,02175,02067,26858,----,
2025-07-25,21:26:32:904,02194,02594,02215,02136,25041,----,
2025-07-25,21:26:33:213,02198,02705,02219,02139,21935,----,
2025-07-25,21:26:33:536,02230,02736,02224,02127,10260,----,
2025-07-25,21:26:33:843,01767,OVLD,01927,01826,11154,----,
2025-07-25,21:26:34:151,01827,26012,01970,02109,28053,----,
2025-07-25,21:26:34:462,02162,02734,02196,02115,26131,----,
2025-07-25,21:26:34:773,02222,02814,02231,02158,26735,----,
2025-07-25,21:26:35:098,02226,02817,02235,02181,26681,----,
2025-07-25,21:26:35:408,02252,03778,02254,02173,21625,----,
2025-07-25,21:26:35:720,02239,OVLD,02148,02143,14191,----,
2025-07-25,21:26:36:032,02149,26867,02236,02138,OVLD,----,
2025-07-25,21:26:36:338,02236,02740,02239,02171,29947,----,
2025-07-25,21:26:36:648,02268,02844,02265,02173,29032,----,
2025-07-25,21:26:36:958,02269,02872,02268,02194,29278,----,
2025-07-25,21:26:37:284,02273,02873,02287,02195,15254,----,
2025-07-25,21:26:37:594,02292,05845,02264,01677,16048,----,
2025-07-25,21:26:37:901,14707,29374,02473,01737,20764,----,
2025-07-25,21:26:38:210,02306,02799,02274,02069,OVLD,----,
2025-07-25,21:26:38:522,02309,02811,02279,02124,OVLD,----,
2025-07-25,21:26:38:848,02329,02884,02303,02155,OVLD,----,
2025-07-25,21:26:39:159,02331,02913,02305,02149,OVLD,----,
2025-07-25,21:26:39:469,14456,06992,02327,01868,16689,----,
2025-07-25,21:26:39:781,12431,29483,02265,01900,OVLD,----,
2025-07-25,21:26:40:092,02296,02846,02301,02100,OVLD,----,
2025-07-25,21:26:40:400,02342,02858,02303,02153,OVLD,----,
2025-07-25,21:26:40:709,02345,02936,02324,02158,OVLD,----,
2025-07-25,21:26:41:033,02360,02960,02326,02164,29879,----,
2025-07-25,21:26:41:345,02162,02578,00946,00748,15121,----,
2025-07-25,21:26:41:655,00780,00305,01117,01892,21841,----,
2025-07-25,21:26:41:963,01970,02549,02103,01912,22692,----,
2025-07-25,21:26:42:273,02135,02766,02180,02051,28985,----,
2025-07-25,21:26:42:585,02142,02773,02235,02112,29770,----,
2025-07-25,21:26:42:908,02119,02689,02060,00835,11994,----,
2025-07-25,21:26:43:219,00562,00353,00978,00959,13022,----,
2025-07-25,21:26:43:530,00747,02455,02053,01863,16903,----,
2025-07-25,21:26:43:838,01941,02486,02141,02012,25714,----,
2025-07-25,21:26:44:148,02104,02700,02147,02021,29898,----,
2025-07-25,21:26:44:460,02174,02775,02204,02085,29900,----,
2025-07-25,21:26:44:772,02139,00328,01006,01851,12788,----,
2025-07-25,21:26:45:096,00677,00432,02019,01243,18790,----,
2025-07-25,21:26:45:407,01785,02282,02032,01917,25169,----,
2025-07-25,21:26:45:715,02040,02634,02123,02031,25557,----,
2025-07-25,21:26:46:024,02051,02743,02187,02037,28838,----,
2025-07-25,21:26:46:339,02142,02748,02191,02011,17046,----,
2025-07-25,21:26:46:655,00912,00896,01202,00683,16247,----,
2025-07-25,21:26:46:965,01251,01559,01576,00821,16804,----,
2025-07-25,21:26:47:277,01360,02505,02072,01798,17701,----,
2025-07-25,21:26:47:584,01961,02527,02079,01955,28429,----,
2025-07-25,21:26:47:910,02087,02681,02154,02024,26156,----,
2025-07-25,21:26:48:220,02145,02744,02207,02029,26158,----,
2025-07-25,21:26:48:532,02093,02641,00859,01637,09228,----,
2025-07-25,21:26:48:837,00713,00317,00915,01065,21031,----,
2025-07-25,21:26:49:160,01710,02179,02034,01852,17205,----,
2025-07-25,21:26:49:470,01987,02590,02113,01867,18936,----,
2025-07-25,21:26:49:779,01999,02606,02176,01988,27000,----,
2025-07-25,21:26:50:089,02093,02731,02181,02045,25004,----,
2025-07-25,21:26:50:399,02139,02782,02227,02084,24695,----,
2025-07-25,21:26:50:710,02166,02817,02261,02087,24428,----,
