DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:04:44:437,00878,----,
2025-07-13,23:04:44:549,00888,----,
2025-07-13,23:04:44:665,01035,----,
2025-07-13,23:04:44:774,01035,----,
2025-07-13,23:04:44:875,01035,----,
2025-07-13,23:04:44:986,01037,----,
2025-07-13,23:04:45:098,01040,----,
2025-07-13,23:04:45:210,01074,----,
2025-07-13,23:04:45:313,01077,----,
2025-07-13,23:04:45:424,01077,----,
2025-07-13,23:04:45:537,01086,----,
2025-07-13,23:04:45:648,01144,----,
2025-07-13,23:04:45:749,01118,----,
2025-07-13,23:04:45:861,01118,----,
2025-07-13,23:04:45:971,01306,----,
2025-07-13,23:04:46:081,01440,----,
2025-07-13,23:04:46:193,01385,----,
2025-07-13,23:04:46:295,01282,----,
2025-07-13,23:04:46:407,01282,----,
2025-07-13,23:04:46:520,00306,----,
2025-07-13,23:04:46:633,00305,----,
2025-07-13,23:04:46:736,00304,----,
2025-07-13,23:04:46:850,00304,----,
2025-07-13,23:04:46:953,00293,----,
2025-07-13,23:04:47:068,00294,----,
2025-07-13,23:04:47:171,00299,----,
2025-07-13,23:04:47:284,00529,----,
2025-07-13,23:04:47:398,00529,----,
2025-07-13,23:04:47:501,00840,----,
2025-07-13,23:04:47:614,00863,----,
2025-07-13,23:04:47:717,00807,----,
2025-07-13,23:04:47:830,00807,----,
2025-07-13,23:04:47:944,00814,----,
2025-07-13,23:04:48:047,00826,----,
2025-07-13,23:04:48:161,00969,----,
2025-07-13,23:04:48:269,00972,----,
2025-07-13,23:04:48:378,00972,----,
2025-07-13,23:04:48:491,00978,----,
2025-07-13,23:04:48:595,01053,----,
2025-07-13,23:04:48:708,01055,----,
2025-07-13,23:04:48:813,01058,----,
2025-07-13,23:04:48:925,01058,----,
2025-07-13,23:04:49:039,00930,----,
2025-07-13,23:04:49:149,00903,----,
2025-07-13,23:04:49:252,00930,----,
2025-07-13,23:04:49:365,00930,----,
2025-07-13,23:04:49:470,01040,----,
2025-07-13,23:04:49:577,01052,----,
2025-07-13,23:04:49:691,00979,----,
2025-07-13,23:04:49:798,00296,----,
2025-07-13,23:04:49:912,00296,----,
2025-07-13,23:04:50:024,00295,----,
