DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,17:33:28:649,03239,----,
2025-07-28,17:33:28:756,03227,----,
2025-07-28,17:33:28:866,03203,----,
2025-07-28,17:33:28:975,03221,----,
2025-07-28,17:33:29:096,03221,----,
2025-07-28,17:33:29:206,03222,----,
2025-07-28,17:33:29:314,03241,----,
2025-07-28,17:33:29:424,03258,----,
2025-07-28,17:33:29:534,03258,----,
2025-07-28,17:33:29:643,03259,----,
2025-07-28,17:33:29:751,03279,----,
2025-07-28,17:33:29:858,03298,----,
2025-07-28,17:33:29:964,03298,----,
2025-07-28,17:33:30:075,03299,----,
2025-07-28,17:33:30:184,03311,----,
2025-07-28,17:33:30:292,03013,----,
2025-07-28,17:33:30:400,03142,----,
2025-07-28,17:33:30:508,03142,----,
2025-07-28,17:33:30:616,03163,----,
2025-07-28,17:33:30:738,03178,----,
2025-07-28,17:33:30:848,03178,----,
2025-07-28,17:33:30:954,03178,----,
2025-07-28,17:33:31:056,03200,----,
2025-07-28,17:33:31:165,03182,----,
2025-07-28,17:33:31:277,03100,----,
2025-07-28,17:33:31:385,03051,----,
2025-07-28,17:33:31:496,02982,----,
2025-07-28,17:33:31:603,02119,----,
2025-07-28,17:33:31:711,00888,----,
2025-07-28,17:33:31:819,00965,----,
2025-07-28,17:33:31:928,01001,----,
2025-07-28,17:33:32:038,01066,----,
2025-07-28,17:33:32:148,01067,----,
2025-07-28,17:33:32:257,01086,----,
2025-07-28,17:33:32:365,01126,----,
2025-07-28,17:33:32:473,01151,----,
2025-07-28,17:33:32:596,01174,----,
2025-07-28,17:33:32:705,01248,----,
2025-07-28,17:33:32:815,01531,----,
2025-07-28,17:33:32:921,01713,----,
2025-07-28,17:33:33:030,01823,----,
2025-07-28,17:33:33:139,01904,----,
2025-07-28,17:33:33:250,01488,----,
2025-07-28,17:33:33:355,01167,----,
2025-07-28,17:33:33:464,01167,----,
2025-07-28,17:33:33:572,01167,----,
2025-07-28,17:33:33:680,01182,----,
2025-07-28,17:33:33:789,01182,----,
2025-07-28,17:33:33:897,01201,----,
2025-07-28,17:33:34:005,01222,----,
2025-07-28,17:33:34:129,01240,----,
2025-07-28,17:33:34:237,01256,----,
2025-07-28,17:33:34:346,01256,----,
2025-07-28,17:33:34:454,01257,----,
2025-07-28,17:33:34:563,01257,----,
2025-07-28,17:33:34:662,01257,----,
2025-07-28,17:33:34:782,01271,----,
2025-07-28,17:33:34:889,01272,----,
2025-07-28,17:33:34:997,01272,----,
2025-07-28,17:33:35:105,01271,----,
2025-07-28,17:33:35:211,01271,----,
2025-07-28,17:33:35:321,01354,----,
2025-07-28,17:33:35:430,01596,----,
2025-07-28,17:33:35:541,01750,----,
2025-07-28,17:33:35:650,01859,----,
2025-07-28,17:33:35:757,01949,----,
2025-07-28,17:33:35:867,02025,----,
2025-07-28,17:33:35:974,02065,----,
2025-07-28,17:33:36:084,02160,----,
2025-07-28,17:33:36:199,02194,----,
2025-07-28,17:33:36:313,02132,----,
2025-07-28,17:33:36:421,02132,----,
2025-07-28,17:33:36:528,02133,----,
2025-07-28,17:33:36:638,02162,----,
2025-07-28,17:33:36:747,02178,----,
2025-07-28,17:33:36:855,02195,----,
2025-07-28,17:33:36:961,02211,----,
2025-07-28,17:33:37:069,01306,----,
2025-07-28,17:33:37:178,01206,----,
2025-07-28,17:33:37:287,01192,----,
2025-07-28,17:33:37:396,01242,----,
2025-07-28,17:33:37:521,01294,----,
2025-07-28,17:33:37:630,01601,----,
2025-07-28,17:33:37:739,01749,----,
2025-07-28,17:33:37:861,01840,----,
2025-07-28,17:33:37:970,01927,----,
2025-07-28,17:33:38:077,01380,----,
2025-07-28,17:33:38:185,01176,----,
2025-07-28,17:33:38:292,01176,----,
2025-07-28,17:33:38:397,01176,----,
2025-07-28,17:33:38:511,01201,----,
2025-07-28,17:33:38:620,01216,----,
2025-07-28,17:33:38:729,01217,----,
2025-07-28,17:33:38:838,01229,----,
2025-07-28,17:33:38:945,01246,----,
2025-07-28,17:33:39:055,01264,----,
2025-07-28,17:33:39:164,01264,----,
2025-07-28,17:33:39:273,01265,----,
2025-07-28,17:33:39:381,01265,----,
2025-07-28,17:33:39:504,01277,----,
2025-07-28,17:33:39:613,01277,----,
2025-07-28,17:33:39:721,01277,----,
2025-07-28,17:33:39:830,01262,----,
2025-07-28,17:33:39:934,01262,----,
2025-07-28,17:33:40:050,01276,----,
2025-07-28,17:33:40:159,01385,----,
2025-07-28,17:33:40:267,01606,----,
2025-07-28,17:33:40:376,01753,----,
2025-07-28,17:33:40:484,01881,----,
2025-07-28,17:33:40:594,01989,----,
2025-07-28,17:33:40:701,02070,----,
2025-07-28,17:33:40:809,02148,----,
2025-07-28,17:33:40:918,02177,----,
2025-07-28,17:33:41:028,02245,----,
2025-07-28,17:33:41:135,02275,----,
2025-07-28,17:33:41:244,02334,----,
2025-07-28,17:33:41:351,02356,----,
2025-07-28,17:33:41:462,02402,----,
2025-07-28,17:33:41:571,02425,----,
2025-07-28,17:33:41:681,02449,----,
2025-07-28,17:33:41:789,02475,----,
2025-07-28,17:33:41:897,02506,----,
2025-07-28,17:33:42:005,02504,----,
2025-07-28,17:33:42:114,01258,----,
2025-07-28,17:33:42:224,01184,----,
