DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:08:25:838,03769,----,
2025-07-07,15:08:25:955,03775,----,
2025-07-07,15:08:26:056,03780,----,
2025-07-07,15:08:26:168,03768,----,
2025-07-07,15:08:26:280,03769,----,
2025-07-07,15:08:26:392,03770,----,
2025-07-07,15:08:26:503,03771,----,
2025-07-07,15:08:26:602,03785,----,
2025-07-07,15:08:26:711,03789,----,
2025-07-07,15:08:26:822,03707,----,
2025-07-07,15:08:26:939,03744,----,
2025-07-07,15:08:27:042,03760,----,
2025-07-07,15:08:27:154,03763,----,
2025-07-07,15:08:27:266,03766,----,
2025-07-07,15:08:27:378,03738,----,
2025-07-07,15:08:27:489,03696,----,
2025-07-07,15:08:27:585,03710,----,
2025-07-07,15:08:27:698,03723,----,
2025-07-07,15:08:27:807,03682,----,
2025-07-07,15:08:27:923,02920,----,
2025-07-07,15:08:28:025,03228,----,
2025-07-07,15:08:28:137,03348,----,
2025-07-07,15:08:28:249,03426,----,
2025-07-07,15:08:28:362,03456,----,
2025-07-07,15:08:28:474,03458,----,
2025-07-07,15:08:28:570,03483,----,
2025-07-07,15:08:28:689,03507,----,
2025-07-07,15:08:28:791,03510,----,
2025-07-07,15:08:28:908,03551,----,
2025-07-07,15:08:29:010,03594,----,
2025-07-07,15:08:29:128,03607,----,
2025-07-07,15:08:29:241,03610,----,
2025-07-07,15:08:29:337,03652,----,
2025-07-07,15:08:29:449,03680,----,
2025-07-07,15:08:29:554,03694,----,
2025-07-07,15:08:29:672,03708,----,
2025-07-07,15:08:29:781,03722,----,
2025-07-07,15:08:29:885,03737,----,
2025-07-07,15:08:29:993,03740,----,
2025-07-07,15:08:30:104,03746,----,
2025-07-07,15:08:30:216,03737,----,
2025-07-07,15:08:30:328,03661,----,
2025-07-07,15:08:30:440,03690,----,
2025-07-07,15:08:30:545,03718,----,
2025-07-07,15:08:30:657,03731,----,
2025-07-07,15:08:30:757,03736,----,
2025-07-07,15:08:30:872,03740,----,
2025-07-07,15:08:30:978,03754,----,
2025-07-07,15:08:31:090,03760,----,
2025-07-07,15:08:31:201,03768,----,
2025-07-07,15:08:31:312,03774,----,
2025-07-07,15:08:31:425,03779,----,
2025-07-07,15:08:31:528,03783,----,
2025-07-07,15:08:31:635,03787,----,
2025-07-07,15:08:31:748,03790,----,
2025-07-07,15:08:31:855,03794,----,
2025-07-07,15:08:31:970,03796,----,
2025-07-07,15:08:32:073,03799,----,
2025-07-07,15:08:32:184,03801,----,
2025-07-07,15:08:32:296,03804,----,
2025-07-07,15:08:32:409,03806,----,
2025-07-07,15:08:32:520,03808,----,
2025-07-07,15:08:32:617,03810,----,
2025-07-07,15:08:32:727,03811,----,
2025-07-07,15:08:32:840,03813,----,
2025-07-07,15:08:32:953,03814,----,
2025-07-07,15:08:33:062,03816,----,
2025-07-07,15:08:33:172,03817,----,
2025-07-07,15:08:33:283,03818,----,
2025-07-07,15:08:33:395,03820,----,
2025-07-07,15:08:33:492,03821,----,
2025-07-07,15:08:33:601,03823,----,
2025-07-07,15:08:33:711,03824,----,
2025-07-07,15:08:33:821,03825,----,
2025-07-07,15:08:33:938,03826,----,
2025-07-07,15:08:34:042,03827,----,
2025-07-07,15:08:34:153,03828,----,
2025-07-07,15:08:34:264,03829,----,
2025-07-07,15:08:34:374,03830,----,
2025-07-07,15:08:34:486,03831,----,
2025-07-07,15:08:34:586,03832,----,
2025-07-07,15:08:34:695,03832,----,
2025-07-07,15:08:34:809,03833,----,
2025-07-07,15:08:34:922,03834,----,
2025-07-07,15:08:35:026,03833,----,
2025-07-07,15:08:35:138,03805,----,
2025-07-07,15:08:35:250,03802,----,
2025-07-07,15:08:35:360,03800,----,
2025-07-07,15:08:35:472,03762,----,
2025-07-07,15:08:35:585,03423,----,
2025-07-07,15:08:35:689,03500,----,
2025-07-07,15:08:35:793,03464,----,
2025-07-07,15:08:35:906,03550,----,
2025-07-07,15:08:36:008,03576,----,
2025-07-07,15:08:36:125,03615,----,
2025-07-07,15:08:36:237,03663,----,
2025-07-07,15:08:36:349,03689,----,
2025-07-07,15:08:36:445,03676,----,
2025-07-07,15:08:36:561,03709,----,
2025-07-07,15:08:36:672,03734,----,
2025-07-07,15:08:36:773,03748,----,
2025-07-07,15:08:36:891,03750,----,
2025-07-07,15:08:36:996,03756,----,
2025-07-07,15:08:37:109,03762,----,
2025-07-07,15:08:37:220,03770,----,
2025-07-07,15:08:37:332,03776,----,
2025-07-07,15:08:37:429,03782,----,
2025-07-07,15:08:37:545,03785,----,
2025-07-07,15:08:37:656,03786,----,
2025-07-07,15:08:37:772,03787,----,
2025-07-07,15:08:37:869,03768,----,
2025-07-07,15:08:37:977,03781,----,
2025-07-07,15:08:38:090,03767,----,
2025-07-07,15:08:38:202,03739,----,
2025-07-07,15:08:38:315,03766,----,
2025-07-07,15:08:38:427,03780,----,
2025-07-07,15:08:38:522,03779,----,
2025-07-07,15:08:38:640,03776,----,
2025-07-07,15:08:38:749,03760,----,
2025-07-07,15:08:38:852,03727,----,
2025-07-07,15:08:38:961,03123,----,
2025-07-07,15:08:39:071,02937,----,
2025-07-07,15:08:39:184,03382,----,
2025-07-07,15:08:39:296,03451,----,
2025-07-07,15:08:39:406,03478,----,
2025-07-07,15:08:39:517,03490,----,
2025-07-07,15:08:39:620,03504,----,
2025-07-07,15:08:39:726,03519,----,
2025-07-07,15:08:39:836,03523,----,
2025-07-07,15:08:39:954,03548,----,
2025-07-07,15:08:40:055,03547,----,
2025-07-07,15:08:40:167,03574,----,
2025-07-07,15:08:40:280,03600,----,
2025-07-07,15:08:40:392,03625,----,
2025-07-07,15:08:40:505,03652,----,
2025-07-07,15:08:40:605,03683,----,
2025-07-07,15:08:40:713,03710,----,
2025-07-07,15:08:40:824,03724,----,
2025-07-07,15:08:40:937,03727,----,
2025-07-07,15:08:41:040,03734,----,
2025-07-07,15:08:41:153,03742,----,
2025-07-07,15:08:41:263,03750,----,
2025-07-07,15:08:41:376,03755,----,
2025-07-07,15:08:41:488,03600,----,
2025-07-07,15:08:41:588,03513,----,
2025-07-07,15:08:41:701,03631,----,
2025-07-07,15:08:41:814,03674,----,
2025-07-07,15:08:41:921,03689,----,
2025-07-07,15:08:42:037,03702,----,
2025-07-07,15:08:42:148,03717,----,
2025-07-07,15:08:42:260,03744,----,
2025-07-07,15:08:42:372,03748,----,
2025-07-07,15:08:42:483,03755,----,
2025-07-07,15:08:42:588,03762,----,
2025-07-07,15:08:42:706,03768,----,
2025-07-07,15:08:42:807,03773,----,
2025-07-07,15:08:42:920,03778,----,
2025-07-07,15:08:43:024,03782,----,
2025-07-07,15:08:43:136,03786,----,
2025-07-07,15:08:43:246,03789,----,
2025-07-07,15:08:43:358,03792,----,
2025-07-07,15:08:43:470,03795,----,
2025-07-07,15:08:43:573,03798,----,
2025-07-07,15:08:43:693,03800,----,
2025-07-07,15:08:43:804,03802,----,
2025-07-07,15:08:43:921,03805,----,
2025-07-07,15:08:44:024,03807,----,
