DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:30:17:214,04679,----,
2025-06-24,21:30:17:317,04796,----,
2025-06-24,21:30:17:422,04861,----,
2025-06-24,21:30:17:536,04968,----,
2025-06-24,21:30:17:647,05071,----,
2025-06-24,21:30:17:760,05158,----,
2025-06-24,21:30:17:859,05172,----,
2025-06-24,21:30:17:972,05099,----,
2025-06-24,21:30:18:086,04667,----,
2025-06-24,21:30:18:199,04300,----,
2025-06-24,21:30:18:300,02859,----,
2025-06-24,21:30:18:412,02409,----,
2025-06-24,21:30:18:525,02372,----,
2025-06-24,21:30:18:627,02323,----,
2025-06-24,21:30:18:743,02320,----,
2025-06-24,21:30:18:850,02370,----,
2025-06-24,21:30:18:962,02336,----,
2025-06-24,21:30:19:065,02304,----,
2025-06-24,21:30:19:172,02219,----,
2025-06-24,21:30:19:288,02099,----,
2025-06-24,21:30:19:403,02072,----,
2025-06-24,21:30:19:504,02073,----,
2025-06-24,21:30:19:615,02032,----,
2025-06-24,21:30:19:729,02094,----,
2025-06-24,21:30:19:829,02207,----,
2025-06-24,21:30:19:940,02251,----,
2025-06-24,21:30:20:054,02156,----,
2025-06-24,21:30:20:168,02096,----,
2025-06-24,21:30:20:266,02773,----,
2025-06-24,21:30:20:378,03564,----,
2025-06-24,21:30:20:493,03998,----,
2025-06-24,21:30:20:594,04278,----,
2025-06-24,21:30:20:711,04455,----,
2025-06-24,21:30:20:822,04631,----,
2025-06-24,21:30:20:922,04745,----,
2025-06-24,21:30:21:036,04836,----,
2025-06-24,21:30:21:148,04950,----,
2025-06-24,21:30:21:259,05033,----,
2025-06-24,21:30:21:366,05143,----,
2025-06-24,21:30:21:477,05180,----,
2025-06-24,21:30:21:582,05199,----,
2025-06-24,21:30:21:692,05003,----,
2025-06-24,21:30:21:806,04737,----,
2025-06-24,21:30:21:908,02878,----,
2025-06-24,21:30:22:019,02459,----,
2025-06-24,21:30:22:132,02427,----,
2025-06-24,21:30:22:246,02391,----,
2025-06-24,21:30:22:347,02415,----,
2025-06-24,21:30:22:457,02398,----,
2025-06-24,21:30:22:571,02316,----,
