DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,15:58:19:008,03370,----,
2025-07-28,15:58:19:116,03550,----,
2025-07-28,15:58:19:225,04293,----,
2025-07-28,15:58:19:348,04822,----,
2025-07-28,15:58:19:459,05405,----,
2025-07-28,15:58:19:569,05694,----,
2025-07-28,15:58:19:677,05924,----,
2025-07-28,15:58:19:800,06124,----,
2025-07-28,15:58:19:905,06284,----,
2025-07-28,15:58:20:016,06438,----,
2025-07-28,15:58:20:127,06593,----,
2025-07-28,15:58:20:234,06738,----,
2025-07-28,15:58:20:347,06794,----,
2025-07-28,15:58:20:458,06898,----,
2025-07-28,15:58:20:552,06976,----,
2025-07-28,15:58:20:674,07025,----,
2025-07-28,15:58:20:782,07064,----,
2025-07-28,15:58:20:891,07063,----,
2025-07-28,15:58:20:997,07031,----,
2025-07-28,15:58:21:107,07090,----,
2025-07-28,15:58:21:214,03567,----,
2025-07-28,15:58:21:323,01705,----,
2025-07-28,15:58:21:431,00996,----,
2025-07-28,15:58:21:540,01112,----,
2025-07-28,15:58:21:646,02388,----,
2025-07-28,15:58:21:769,02250,----,
2025-07-28,15:58:21:878,01148,----,
2025-07-28,15:58:21:987,00871,----,
2025-07-28,15:58:22:097,00980,----,
2025-07-28,15:58:22:205,01868,----,
2025-07-28,15:58:22:314,02542,----,
2025-07-28,15:58:22:422,01002,----,
2025-07-28,15:58:22:530,01150,----,
2025-07-28,15:58:22:638,01918,----,
2025-07-28,15:58:22:749,02489,----,
2025-07-28,15:58:22:857,02916,----,
2025-07-28,15:58:22:966,03257,----,
2025-07-28,15:58:23:074,03505,----,
2025-07-28,15:58:23:183,03682,----,
2025-07-28,15:58:23:293,03988,----,
2025-07-28,15:58:23:403,04238,----,
2025-07-28,15:58:23:512,04383,----,
2025-07-28,15:58:23:620,01933,----,
2025-07-28,15:58:23:730,01386,----,
2025-07-28,15:58:23:837,01126,----,
2025-07-28,15:58:23:947,01988,----,
2025-07-28,15:58:24:054,02973,----,
2025-07-28,15:58:24:163,03554,----,
2025-07-28,15:58:24:273,01825,----,
2025-07-28,15:58:24:380,01341,----,
2025-07-28,15:58:24:504,01098,----,
2025-07-28,15:58:24:598,01187,----,
2025-07-28,15:58:24:721,02082,----,
2025-07-28,15:58:24:829,01143,----,
2025-07-28,15:58:24:939,01594,----,
2025-07-28,15:58:25:047,02308,----,
2025-07-28,15:58:25:155,02886,----,
2025-07-28,15:58:25:262,03319,----,
2025-07-28,15:58:25:371,03721,----,
2025-07-28,15:58:25:480,04057,----,
2025-07-28,15:58:25:590,04322,----,
2025-07-28,15:58:25:695,04524,----,
2025-07-28,15:58:25:802,04743,----,
2025-07-28,15:58:25:924,04951,----,
2025-07-28,15:58:26:033,02047,----,
2025-07-28,15:58:26:142,01722,----,
2025-07-28,15:58:26:252,01378,----,
2025-07-28,15:58:26:360,01592,----,
2025-07-28,15:58:26:468,02925,----,
2025-07-28,15:58:26:575,02326,----,
2025-07-28,15:58:26:685,01315,----,
2025-07-28,15:58:26:793,01072,----,
2025-07-28,15:58:26:904,01311,----,
2025-07-28,15:58:27:011,02203,----,
2025-07-28,15:58:27:115,02855,----,
2025-07-28,15:58:27:228,01323,----,
2025-07-28,15:58:27:339,01486,----,
2025-07-28,15:58:27:446,02275,----,
2025-07-28,15:58:27:557,02884,----,
2025-07-28,15:58:27:666,03333,----,
2025-07-28,15:58:27:775,03722,----,
2025-07-28,15:58:27:884,04194,----,
2025-07-28,15:58:27:993,04449,----,
2025-07-28,15:58:28:102,04677,----,
2025-07-28,15:58:28:213,04852,----,
2025-07-28,15:58:28:320,02562,----,
2025-07-28,15:58:28:429,01944,----,
2025-07-28,15:58:28:536,01622,----,
2025-07-28,15:58:28:661,01484,----,
2025-07-28,15:58:28:769,02328,----,
2025-07-28,15:58:28:875,03137,----,
2025-07-28,15:58:28:984,01531,----,
2025-07-28,15:58:29:094,01214,----,
2025-07-28,15:58:29:203,01276,----,
2025-07-28,15:58:29:312,02205,----,
2025-07-28,15:58:29:420,02834,----,
2025-07-28,15:58:29:529,01405,----,
2025-07-28,15:58:29:637,02045,----,
2025-07-28,15:58:29:746,02720,----,
2025-07-28,15:58:29:854,03243,----,
2025-07-28,15:58:29:962,03654,----,
2025-07-28,15:58:30:073,03938,----,
2025-07-28,15:58:30:182,04233,----,
2025-07-28,15:58:30:289,04473,----,
2025-07-28,15:58:30:397,04728,----,
2025-07-28,15:58:30:507,04916,----,
2025-07-28,15:58:30:615,02584,----,
2025-07-28,15:58:30:738,01574,----,
2025-07-28,15:58:30:847,01574,----,
2025-07-28,15:58:30:957,02652,----,
2025-07-28,15:58:31:066,03800,----,
2025-07-28,15:58:31:172,01595,----,
2025-07-28,15:58:31:280,01288,----,
2025-07-28,15:58:31:387,01108,----,
2025-07-28,15:58:31:497,02157,----,
2025-07-28,15:58:31:607,03011,----,
2025-07-28,15:58:31:716,01989,----,
2025-07-28,15:58:31:824,01377,----,
2025-07-28,15:58:31:932,01964,----,
2025-07-28,15:58:32:039,02641,----,
2025-07-28,15:58:32:147,03155,----,
2025-07-28,15:58:32:255,03640,----,
2025-07-28,15:58:32:364,04013,----,
2025-07-28,15:58:32:488,04299,----,
2025-07-28,15:58:32:585,04648,----,
