DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,16:04:40:103,00556,----,
2025-07-09,16:04:40:205,00557,----,
2025-07-09,16:04:40:320,00562,----,
2025-07-09,16:04:40:431,00598,----,
2025-07-09,16:04:40:546,00634,----,
2025-07-09,16:04:40:649,00392,----,
2025-07-09,16:04:40:751,00330,----,
2025-07-09,16:04:40:863,00306,----,
2025-07-09,16:04:40:978,00299,----,
2025-07-09,16:04:41:082,00290,----,
2025-07-09,16:04:41:193,00292,----,
2025-07-09,16:04:41:304,00301,----,
2025-07-09,16:04:41:408,00310,----,
2025-07-09,16:04:41:524,00311,----,
2025-07-09,16:04:41:637,00307,----,
2025-07-09,16:04:41:740,00310,----,
2025-07-09,16:04:41:853,00324,----,
2025-07-09,16:04:41:956,00377,----,
2025-07-09,16:04:42:069,00398,----,
2025-07-09,16:04:42:180,00497,----,
2025-07-09,16:04:42:283,00502,----,
2025-07-09,16:04:42:397,00544,----,
2025-07-09,16:04:42:512,00554,----,
2025-07-09,16:04:42:616,00565,----,
2025-07-09,16:04:42:729,00557,----,
2025-07-09,16:04:42:831,00568,----,
2025-07-09,16:04:42:948,00572,----,
2025-07-09,16:04:43:057,00572,----,
2025-07-09,16:04:43:160,00580,----,
2025-07-09,16:04:43:272,00607,----,
2025-07-09,16:04:43:385,00820,----,
2025-07-09,16:04:43:495,00446,----,
2025-07-09,16:04:43:601,00320,----,
2025-07-09,16:04:43:705,00296,----,
2025-07-09,16:04:43:822,00299,----,
2025-07-09,16:04:43:932,00287,----,
2025-07-09,16:04:44:036,00285,----,
2025-07-09,16:04:44:148,00290,----,
2025-07-09,16:04:44:262,00300,----,
2025-07-09,16:04:44:363,00307,----,
2025-07-09,16:04:44:483,00305,----,
2025-07-09,16:04:44:588,00303,----,
2025-07-09,16:04:44:692,00314,----,
2025-07-09,16:04:44:803,00343,----,
2025-07-09,16:04:44:921,00356,----,
2025-07-09,16:04:45:022,00391,----,
2025-07-09,16:04:45:133,00472,----,
2025-07-09,16:04:45:237,00557,----,
2025-07-09,16:04:45:349,00606,----,
2025-07-09,16:04:45:463,00552,----,
2025-07-09,16:04:45:566,00521,----,
2025-07-09,16:04:45:679,00542,----,
2025-07-09,16:04:45:782,00549,----,
2025-07-09,16:04:45:894,00559,----,
2025-07-09,16:04:46:008,00559,----,
2025-07-09,16:04:46:111,00558,----,
2025-07-09,16:04:46:224,00536,----,
2025-07-09,16:04:46:338,00528,----,
2025-07-09,16:04:46:440,00525,----,
2025-07-09,16:04:46:552,00503,----,
2025-07-09,16:04:46:664,00494,----,
2025-07-09,16:04:46:769,00501,----,
2025-07-09,16:04:46:881,00496,----,
2025-07-09,16:04:46:992,00489,----,
