DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-09,16:42:13:197,01502,----,
2025-07-09,16:42:13:306,01496,----,
2025-07-09,16:42:13:408,01491,----,
2025-07-09,16:42:13:524,01475,----,
2025-07-09,16:42:13:633,01473,----,
2025-07-09,16:42:13:735,01471,----,
2025-07-09,16:42:13:848,01471,----,
2025-07-09,16:42:13:961,01471,----,
2025-07-09,16:42:14:066,01472,----,
2025-07-09,16:42:14:180,01473,----,
2025-07-09,16:42:14:284,01479,----,
2025-07-09,16:42:14:391,01480,----,
2025-07-09,16:42:14:509,01494,----,
2025-07-09,16:42:14:612,01514,----,
2025-07-09,16:42:14:724,01530,----,
2025-07-09,16:42:14:838,01643,----,
2025-07-09,16:42:14:943,01608,----,
2025-07-09,16:42:15:056,01693,----,
2025-07-09,16:42:15:167,03875,----,
2025-07-09,16:42:15:271,02286,----,
2025-07-09,16:42:15:381,01782,----,
2025-07-09,16:42:15:495,01701,----,
2025-07-09,16:42:15:598,01727,----,
2025-07-09,16:42:15:711,01725,----,
2025-07-09,16:42:15:813,01791,----,
2025-07-09,16:42:15:926,01684,----,
2025-07-09,16:42:16:039,01679,----,
2025-07-09,16:42:16:141,01652,----,
2025-07-09,16:42:16:254,01606,----,
2025-07-09,16:42:16:360,01749,----,
2025-07-09,16:42:16:472,01567,----,
2025-07-09,16:42:16:586,01510,----,
2025-07-09,16:42:16:696,01505,----,
2025-07-09,16:42:16:799,01485,----,
2025-07-09,16:42:16:912,01471,----,
2025-07-09,16:42:17:025,01466,----,
2025-07-09,16:42:17:127,01467,----,
2025-07-09,16:42:17:240,01485,----,
2025-07-09,16:42:17:355,01489,----,
2025-07-09,16:42:17:455,01488,----,
2025-07-09,16:42:17:568,01483,----,
2025-07-09,16:42:17:681,01497,----,
2025-07-09,16:42:17:783,01497,----,
2025-07-09,16:42:17:892,01497,----,
2025-07-09,16:42:18:010,01524,----,
2025-07-09,16:42:18:113,01586,----,
2025-07-09,16:42:18:226,01663,----,
2025-07-09,16:42:18:328,01646,----,
2025-07-09,16:42:18:442,01666,----,
2025-07-09,16:42:18:553,01850,----,
2025-07-09,16:42:18:666,01676,----,
2025-07-09,16:42:18:768,01699,----,
2025-07-09,16:42:18:880,01700,----,
2025-07-09,16:42:18:992,01709,----,
2025-07-09,16:42:19:094,01772,----,
2025-07-09,16:42:19:208,01990,----,
2025-07-09,16:42:19:321,02692,----,
2025-07-09,16:42:19:422,01719,----,
2025-07-09,16:42:19:539,01685,----,
2025-07-09,16:42:19:649,01684,----,
2025-07-09,16:42:19:754,01670,----,
2025-07-09,16:42:19:862,01864,----,
2025-07-09,16:42:19:976,01533,----,
2025-07-09,16:42:20:094,01526,----,
2025-07-09,16:42:20:193,01828,----,
2025-07-09,16:42:20:306,01539,----,
2025-07-09,16:42:20:411,01497,----,
2025-07-09,16:42:20:522,01489,----,
2025-07-09,16:42:20:625,01482,----,
2025-07-09,16:42:20:739,01472,----,
2025-07-09,16:42:20:852,01482,----,
2025-07-09,16:42:20:957,01489,----,
2025-07-09,16:42:21:068,01488,----,
2025-07-09,16:42:21:183,01485,----,
2025-07-09,16:42:21:283,01480,----,
2025-07-09,16:42:21:391,01486,----,
2025-07-09,16:42:21:504,01496,----,
2025-07-09,16:42:21:617,01512,----,
2025-07-09,16:42:21:728,01555,----,
2025-07-09,16:42:21:830,02448,----,
2025-07-09,16:42:21:944,01696,----,
2025-07-09,16:42:22:048,01639,----,
2025-07-09,16:42:22:161,01689,----,
2025-07-09,16:42:22:273,01675,----,
2025-07-09,16:42:22:375,01693,----,
2025-07-09,16:42:22:488,01736,----,
2025-07-09,16:42:22:600,01691,----,
2025-07-09,16:42:22:712,01698,----,
2025-07-09,16:42:22:815,01699,----,
2025-07-09,16:42:22:927,01701,----,
2025-07-09,16:42:23:040,01708,----,
2025-07-09,16:42:23:144,01770,----,
2025-07-09,16:42:23:260,01702,----,
