DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,20:41:32:332,01893,----,
2025-07-28,20:41:32:427,01910,----,
2025-07-28,20:41:32:549,00963,----,
2025-07-28,20:41:32:659,00920,----,
2025-07-28,20:41:32:766,00921,----,
2025-07-28,20:41:32:874,00942,----,
2025-07-28,20:41:32:984,00955,----,
2025-07-28,20:41:33:092,00955,----,
2025-07-28,20:41:33:198,00967,----,
2025-07-28,20:41:33:308,00827,----,
2025-07-28,20:41:33:414,00754,----,
2025-07-28,20:41:33:521,00725,----,
2025-07-28,20:41:33:629,00726,----,
2025-07-28,20:41:33:751,00860,----,
2025-07-28,20:41:33:861,01234,----,
2025-07-28,20:41:33:968,01385,----,
2025-07-28,20:41:34:076,00906,----,
2025-07-28,20:41:34:186,00866,----,
2025-07-28,20:41:34:292,00809,----,
2025-07-28,20:41:34:399,01116,----,
2025-07-28,20:41:34:507,01298,----,
2025-07-28,20:41:34:616,01402,----,
2025-07-28,20:41:34:724,01485,----,
2025-07-28,20:41:34:833,01553,----,
2025-07-28,20:41:34:943,01589,----,
2025-07-28,20:41:35:052,01656,----,
2025-07-28,20:41:35:162,01704,----,
2025-07-28,20:41:35:286,01726,----,
2025-07-28,20:41:35:396,01771,----,
2025-07-28,20:41:35:519,01794,----,
2025-07-28,20:41:35:627,01833,----,
2025-07-28,20:41:35:735,01496,----,
2025-07-28,20:41:35:844,00889,----,
2025-07-28,20:41:35:953,00889,----,
2025-07-28,20:41:36:059,00890,----,
2025-07-28,20:41:36:167,00906,----,
2025-07-28,20:41:36:276,00921,----,
2025-07-28,20:41:36:386,00921,----,
2025-07-28,20:41:36:494,00934,----,
2025-07-28,20:41:36:601,00934,----,
2025-07-28,20:41:36:709,00890,----,
2025-07-28,20:41:36:818,00819,----,
2025-07-28,20:41:36:928,00742,----,
2025-07-28,20:41:37:038,00742,----,
2025-07-28,20:41:37:145,00958,----,
2025-07-28,20:41:37:270,01208,----,
2025-07-28,20:41:37:377,01407,----,
2025-07-28,20:41:37:487,00806,----,
2025-07-28,20:41:37:596,00763,----,
2025-07-28,20:41:37:703,00947,----,
2025-07-28,20:41:37:811,01252,----,
2025-07-28,20:41:37:918,01398,----,
2025-07-28,20:41:38:025,01492,----,
2025-07-28,20:41:38:133,01572,----,
2025-07-28,20:41:38:240,01635,----,
2025-07-28,20:41:38:350,01692,----,
2025-07-28,20:41:38:459,01763,----,
2025-07-28,20:41:38:568,01789,----,
2025-07-28,20:41:38:692,01842,----,
2025-07-28,20:41:38:816,01874,----,
2025-07-28,20:41:38:916,01906,----,
2025-07-28,20:41:39:033,01933,----,
2025-07-28,20:41:39:141,01495,----,
2025-07-28,20:41:39:249,00922,----,
2025-07-28,20:41:39:357,00884,----,
2025-07-28,20:41:39:465,00864,----,
2025-07-28,20:41:39:573,00885,----,
2025-07-28,20:41:39:683,00905,----,
2025-07-28,20:41:39:792,00917,----,
2025-07-28,20:41:39:899,00917,----,
2025-07-28,20:41:40:009,00917,----,
2025-07-28,20:41:40:117,00880,----,
2025-07-28,20:41:40:227,00785,----,
2025-07-28,20:41:40:336,00725,----,
2025-07-28,20:41:40:443,00724,----,
2025-07-28,20:41:40:552,00822,----,
2025-07-28,20:41:40:662,01048,----,
2025-07-28,20:41:40:784,01253,----,
2025-07-28,20:41:40:892,00838,----,
2025-07-28,20:41:41:000,00794,----,
2025-07-28,20:41:41:109,00854,----,
2025-07-28,20:41:41:218,01171,----,
2025-07-28,20:41:41:327,01354,----,
2025-07-28,20:41:41:433,01459,----,
2025-07-28,20:41:41:543,01516,----,
2025-07-28,20:41:41:652,01607,----,
2025-07-28,20:41:41:760,01671,----,
2025-07-28,20:41:41:870,01701,----,
2025-07-28,20:41:41:979,01754,----,
2025-07-28,20:41:42:087,01773,----,
2025-07-28,20:41:42:196,01815,----,
2025-07-28,20:41:42:305,01843,----,
2025-07-28,20:41:42:413,01865,----,
2025-07-28,20:41:42:521,01890,----,
2025-07-28,20:41:42:647,01910,----,
2025-07-28,20:41:42:768,00947,----,
2025-07-28,20:41:42:878,00872,----,
2025-07-28,20:41:42:987,00843,----,
2025-07-28,20:41:43:095,00844,----,
2025-07-28,20:41:43:203,00862,----,
2025-07-28,20:41:43:311,00875,----,
2025-07-28,20:41:43:420,00893,----,
2025-07-28,20:41:43:529,00907,----,
2025-07-28,20:41:43:637,00907,----,
2025-07-28,20:41:43:746,00820,----,
2025-07-28,20:41:43:855,00739,----,
2025-07-28,20:41:43:964,00739,----,
2025-07-28,20:41:44:071,00910,----,
2025-07-28,20:41:44:179,01163,----,
2025-07-28,20:41:44:300,01310,----,
2025-07-28,20:41:44:408,00829,----,
2025-07-28,20:41:44:516,00955,----,
2025-07-28,20:41:44:624,01227,----,
2025-07-28,20:41:44:732,01355,----,
2025-07-28,20:41:44:840,01443,----,
2025-07-28,20:41:44:949,01518,----,
2025-07-28,20:41:45:056,01614,----,
2025-07-28,20:41:45:161,01649,----,
2025-07-28,20:41:45:272,01702,----,
2025-07-28,20:41:45:380,01727,----,
2025-07-28,20:41:45:504,01773,----,
2025-07-28,20:41:45:612,01804,----,
2025-07-28,20:41:45:720,01825,----,
2025-07-28,20:41:45:829,01843,----,
2025-07-28,20:41:45:936,01860,----,
2025-07-28,20:41:46:045,01877,----,
2025-07-28,20:41:46:154,01041,----,
2025-07-28,20:41:46:261,00994,----,
2025-07-28,20:41:46:371,00968,----,
2025-07-28,20:41:46:479,00952,----,
2025-07-28,20:41:46:586,00941,----,
2025-07-28,20:41:46:696,00926,----,
2025-07-28,20:41:46:806,00941,----,
2025-07-28,20:41:46:912,00941,----,
2025-07-28,20:41:47:035,00941,----,
2025-07-28,20:41:47:143,00941,----,
2025-07-28,20:41:47:254,00882,----,
2025-07-28,20:41:47:349,00804,----,
2025-07-28,20:41:47:472,00761,----,
2025-07-28,20:41:47:580,00762,----,
2025-07-28,20:41:47:689,00962,----,
2025-07-28,20:41:47:796,01207,----,
2025-07-28,20:41:47:904,01415,----,
2025-07-28,20:41:48:011,00834,----,
2025-07-28,20:41:48:120,00823,----,
2025-07-28,20:41:48:230,00824,----,
2025-07-28,20:41:48:339,01044,----,
2025-07-28,20:41:48:447,01343,----,
2025-07-28,20:41:48:554,01445,----,
2025-07-28,20:41:48:662,01525,----,
2025-07-28,20:41:48:772,01562,----,
2025-07-28,20:41:48:880,01649,----,
2025-07-28,20:41:48:989,01707,----,
2025-07-28,20:41:49:098,01734,----,
2025-07-28,20:41:49:221,01760,----,
2025-07-28,20:41:49:332,01806,----,
2025-07-28,20:41:49:441,01830,----,
2025-07-28,20:41:49:547,01856,----,
2025-07-28,20:41:49:646,01880,----,
2025-07-28,20:41:49:764,01894,----,
2025-07-28,20:41:49:872,01551,----,
2025-07-28,20:41:49:979,00900,----,
2025-07-28,20:41:50:088,00875,----,
2025-07-28,20:41:50:193,00890,----,
2025-07-28,20:41:50:306,00891,----,
2025-07-28,20:41:50:415,00906,----,
2025-07-28,20:41:50:524,00906,----,
2025-07-28,20:41:50:633,00906,----,
2025-07-28,20:41:50:742,00918,----,
2025-07-28,20:41:50:850,00918,----,
2025-07-28,20:41:50:958,00918,----,
2025-07-28,20:41:51:068,00887,----,
2025-07-28,20:41:51:178,00796,----,
2025-07-28,20:41:51:288,00740,----,
2025-07-28,20:41:51:397,00763,----,
2025-07-28,20:41:51:507,00996,----,
2025-07-28,20:41:51:616,01233,----,
2025-07-28,20:41:51:724,01269,----,
2025-07-28,20:41:51:848,00767,----,
2025-07-28,20:41:51:973,00963,----,
2025-07-28,20:41:52:081,01241,----,
2025-07-28,20:41:52:178,01386,----,
2025-07-28,20:41:52:300,01492,----,
2025-07-28,20:41:52:407,01584,----,
2025-07-28,20:41:52:516,01664,----,
2025-07-28,20:41:52:625,01727,----,
2025-07-28,20:41:52:731,01763,----,
2025-07-28,20:41:52:839,01792,----,
2025-07-28,20:41:52:948,01851,----,
2025-07-28,20:41:53:056,01891,----,
2025-07-28,20:41:53:163,01910,----,
2025-07-28,20:41:53:271,01930,----,
2025-07-28,20:41:53:381,01895,----,
2025-07-28,20:41:53:491,00899,----,
2025-07-28,20:41:53:613,00865,----,
2025-07-28,20:41:53:709,00885,----,
2025-07-28,20:41:53:828,00909,----,
2025-07-28,20:41:53:938,00925,----,
2025-07-28,20:41:54:046,00926,----,
2025-07-28,20:41:54:153,00938,----,
2025-07-28,20:41:54:263,00938,----,
2025-07-28,20:41:54:371,00879,----,
2025-07-28,20:41:54:480,00839,----,
2025-07-28,20:41:54:589,00839,----,
2025-07-28,20:41:54:698,01097,----,
2025-07-28,20:41:54:807,01300,----,
2025-07-28,20:41:54:916,01426,----,
2025-07-28,20:41:55:024,00887,----,
