DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:34:02:341,05779,05535,05369,06705,
2025-07-27,19:34:02:585,05780,05536,05370,06705,
2025-07-27,19:34:02:838,05780,05537,05371,06705,
2025-07-27,19:34:03:096,05781,05538,05372,06706,
2025-07-27,19:34:03:338,05781,05538,05374,06706,
2025-07-27,19:34:03:595,05781,05539,05376,06706,
2025-07-27,19:34:03:840,05781,05539,05377,06706,
2025-07-27,19:34:04:085,05781,05540,05378,06706,
2025-07-27,19:34:04:345,05781,05541,05380,06706,
2025-07-27,19:34:04:589,05781,05541,05381,06707,
2025-07-27,19:34:04:863,05782,05542,05383,06707,
2025-07-27,19:34:05:108,05782,05543,05384,06707,
2025-07-27,19:34:05:351,05782,05544,05385,06707,
2025-07-27,19:34:05:605,05783,05545,05387,06701,
2025-07-27,19:34:05:849,05782,05543,05381,06670,
2025-07-27,19:34:06:112,05738,05538,05077,05849,
2025-07-27,19:34:06:359,05459,05498,05091,06142,
2025-07-27,19:34:06:603,05623,05502,05211,06161,
2025-07-27,19:34:06:851,05627,05527,05221,06347,
2025-07-27,19:34:07:099,05713,05528,05262,06355,
2025-07-27,19:34:07:375,05716,05528,03452,06318,
2025-07-27,19:34:07:616,05722,05462,03444,05645,
2025-07-27,19:34:07:879,05715,05156,03590,05669,
2025-07-27,19:34:08:124,05646,05235,03614,05864,
2025-07-27,19:34:08:372,05647,05248,04087,05881,
2025-07-27,19:34:08:629,05647,05342,04510,06111,
2025-07-27,19:34:08:872,05640,05345,04528,06251,
2025-07-27,19:34:09:117,05573,05353,04771,06266,
2025-07-27,19:34:09:376,05573,05400,04790,06374,
2025-07-27,19:34:09:627,05557,05400,04927,06379,
2025-07-27,19:34:09:868,05398,05395,04981,06434,
2025-07-27,19:34:10:146,05344,05350,04984,06440,
2025-07-27,19:34:10:407,05307,05322,04979,06442,
2025-07-27,19:34:10:648,05078,05110,04978,06449,
2025-07-27,19:34:10:906,05097,05302,04992,06455,
2025-07-27,19:34:11:150,05325,05301,05080,06501,
2025-07-27,19:34:11:407,05352,05318,05199,06567,
2025-07-27,19:34:11:655,05580,05412,05203,06571,
2025-07-27,19:34:11:907,05648,05417,05207,06609,
2025-07-27,19:34:12:154,05650,05451,05247,06610,
2025-07-27,19:34:12:399,05655,05452,05251,06613,
2025-07-27,19:34:12:657,05690,05456,05280,06618,
2025-07-27,19:34:12:900,05692,05480,05280,06625,
2025-07-27,19:34:13:150,05697,05481,05282,06648,
2025-07-27,19:34:13:413,05700,05482,05286,06648,
2025-07-27,19:34:13:674,05722,05484,05292,06650,
2025-07-27,19:34:13:921,05723,05488,05312,06653,
2025-07-27,19:34:14:167,05726,05492,05313,06656,
2025-07-27,19:34:14:412,05729,05496,05314,06659,
2025-07-27,19:34:14:667,05731,05500,05317,06661,
2025-07-27,19:34:14:921,05735,05502,05321,06664,
2025-07-27,19:34:15:172,05712,05501,05272,06497,
2025-07-27,19:34:15:418,05193,05382,04709,05457,
2025-07-27,19:34:15:676,05204,05389,04738,05760,
2025-07-27,19:34:15:922,05441,05443,05002,05767,
2025-07-27,19:34:16:167,05453,05446,05127,06026,
2025-07-27,19:34:16:423,05583,05478,05124,06043,
2025-07-27,19:34:16:668,05658,05480,05127,06212,
2025-07-27,19:34:16:925,05660,05484,05202,06355,
2025-07-27,19:34:17:169,05667,05486,05197,06355,
2025-07-27,19:34:17:421,05700,05451,03927,06223,
2025-07-27,19:34:17:669,05642,05227,03936,05849,
2025-07-27,19:34:17:912,05646,05241,04292,06085,
2025-07-27,19:34:18:170,05649,05341,04322,06098,
2025-07-27,19:34:18:420,05649,05342,04529,06226,
2025-07-27,19:34:18:665,05645,05351,04803,06239,
2025-07-27,19:34:18:941,05594,05401,04806,06343,
2025-07-27,19:34:19:184,05520,05404,04959,06424,
2025-07-27,19:34:19:444,05521,05409,04972,06426,
2025-07-27,19:34:19:703,05513,05415,05070,06436,
2025-07-27,19:34:19:950,05471,05382,05077,06483,
2025-07-27,19:34:20:193,05479,05396,05211,06494,
2025-07-27,19:34:20:465,05631,05467,05214,06562,
2025-07-27,19:34:20:711,05638,05470,05218,06568,
2025-07-27,19:34:20:972,05687,05475,05254,06572,
2025-07-27,19:34:21:217,05689,05496,05257,06608,
2025-07-27,19:34:21:463,05694,05497,05288,06611,
2025-07-27,19:34:21:713,05718,05498,05289,06616,
2025-07-27,19:34:21:972,05718,05501,05291,06622,
2025-07-27,19:34:22:213,05720,05504,05296,06625,
2025-07-27,19:34:22:473,05724,05506,05319,06633,
2025-07-27,19:34:22:714,05727,05510,05320,06640,
2025-07-27,19:34:22:972,05729,05513,05321,06645,
2025-07-27,19:34:23:219,05734,05516,05323,06650,
2025-07-27,19:34:23:470,05738,05519,05327,06652,
2025-07-27,19:34:23:711,05741,05520,05332,06655,
2025-07-27,19:34:23:989,05744,05522,05338,06658,
2025-07-27,19:34:24:250,05746,05524,05340,06660,
2025-07-27,19:34:24:495,05741,05525,05340,06529,
2025-07-27,19:34:24:752,05684,05511,05042,05823,
2025-07-27,19:34:24:994,05442,05474,05055,05841,
2025-07-27,19:34:25:252,05533,05476,05123,06027,
2025-07-27,19:34:25:492,05546,05481,05128,06239,
2025-07-27,19:34:25:743,05658,05509,05197,06257,
2025-07-27,19:34:26:016,05664,05511,05259,06393,
2025-07-27,19:34:26:269,05708,05486,05081,06344,
2025-07-27,19:34:26:515,05712,05469,04197,06068,
2025-07-27,19:34:26:756,05751,05349,04393,06083,
2025-07-27,19:34:27:034,05750,05412,04408,06230,
2025-07-27,19:34:27:278,05744,05418,04800,06366,
2025-07-27,19:34:27:521,05708,05456,04820,06370,
2025-07-27,19:34:27:777,05699,05456,04951,06447,
2025-07-27,19:34:28:021,05654,05460,05078,06453,
2025-07-27,19:34:28:280,05630,05461,05080,06495,
2025-07-27,19:34:28:525,05398,05450,05084,06499,
2025-07-27,19:34:28:782,05404,05432,05143,06503,
2025-07-27,19:34:29:027,05455,05434,05105,06537,
2025-07-27,19:34:29:280,05435,05419,05109,06537,
2025-07-27,19:34:29:585,05435,05419,05250,06544,
2025-07-27,19:34:29:847,05622,05487,05295,06599,
2025-07-27,19:34:30:091,05626,05489,05296,06603,
2025-07-27,19:34:30:335,05629,05493,05301,06636,
2025-07-27,19:34:30:587,05662,05516,05331,06636,
2025-07-27,19:34:30:845,05667,05517,05331,06638,
2025-07-27,19:34:31:085,05712,05518,05332,06641,
2025-07-27,19:34:31:343,05713,05520,05334,06646,
2025-07-27,19:34:31:587,05715,05524,05338,06648,
2025-07-27,19:34:31:838,05718,05525,05343,06654,
2025-07-27,19:34:32:094,05723,05529,05349,06659,
2025-07-27,19:34:32:339,05728,05533,05352,06663,
2025-07-27,19:34:32:585,05731,05536,05357,06666,
2025-07-27,19:34:32:845,05735,05538,05362,06669,
2025-07-27,19:34:33:087,05739,05540,05367,06670,
2025-07-27,19:34:33:345,05743,05542,05371,06672,
2025-07-27,19:34:33:591,05744,05544,05373,06674,
2025-07-27,19:34:33:842,05747,05546,05377,06676,
2025-07-27,19:34:34:087,05750,05547,05380,06676,
2025-07-27,19:34:34:340,05752,05548,05384,06678,
2025-07-27,19:34:34:588,05754,05550,05385,06655,
2025-07-27,19:34:34:834,05741,05545,05349,05458,
2025-07-27,19:34:35:111,05280,05482,04970,05499,
2025-07-27,19:34:35:354,05296,05482,05100,05799,
2025-07-27,19:34:35:601,05451,05484,05108,05818,
2025-07-27,19:34:35:861,05493,05488,05170,05970,
2025-07-27,19:34:36:110,05498,05495,05173,06155,
2025-07-27,19:34:36:355,05585,05525,05224,06174,
2025-07-27,19:34:36:603,05592,05527,05280,06324,
2025-07-27,19:34:36:854,05639,05529,05281,06335,
2025-07-27,19:34:37:107,05642,05532,05287,06424,
2025-07-27,19:34:37:353,05645,05537,05293,06491,
2025-07-27,19:34:37:602,05673,05531,05181,06409,
2025-07-27,19:34:37:861,05679,05510,04145,06100,
2025-07-27,19:34:38:105,05717,05389,04132,06102,
2025-07-27,19:34:38:358,05718,05390,04251,06200,
2025-07-27,19:34:38:605,05723,05430,04273,06211,
2025-07-27,19:34:38:880,05726,05434,04531,06318,
2025-07-27,19:34:39:144,05727,05477,04787,06404,
2025-07-27,19:34:39:388,05724,05477,04791,06405,
2025-07-27,19:34:39:646,05638,05476,04843,06412,
2025-07-27,19:34:39:905,05637,05477,05060,06497,
2025-07-27,19:34:40:146,05636,05483,05065,06503,
2025-07-27,19:34:40:412,05634,05510,05170,06558,
2025-07-27,19:34:40:689,05629,05512,05177,06561,
2025-07-27,19:34:40:932,05626,05511,05235,06563,
2025-07-27,19:34:41:185,05614,05513,05241,06571,
2025-07-27,19:34:41:429,05617,05518,05290,06614,
2025-07-27,19:34:41:684,05696,05541,05291,06617,
2025-07-27,19:34:41:938,05700,05542,05296,06622,
2025-07-27,19:34:42:183,05732,05543,05322,06625,
2025-07-27,19:34:42:440,05734,05545,05325,06632,
2025-07-27,19:34:42:688,05736,05548,05327,06640,
2025-07-27,19:34:42:933,05738,05552,05332,06647,
2025-07-27,19:34:43:188,05741,05555,05353,06653,
2025-07-27,19:34:43:439,05746,05556,05354,06655,
2025-07-27,19:34:43:689,05751,05559,05356,06660,
2025-07-27,19:34:43:935,05754,05561,05359,06663,
2025-07-27,19:34:44:177,05756,05563,05363,06666,
2025-07-27,19:34:44:466,05759,05565,05369,06669,
2025-07-27,19:34:44:715,05761,05567,05374,06670,
2025-07-27,19:34:44:964,05763,05568,05379,06672,
2025-07-27,19:34:45:213,05765,05569,05381,06674,
2025-07-27,19:34:45:472,05766,05571,05385,06675,
