DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:35:36:308,05842,05695,05587,06725,
2025-07-27,19:35:36:557,05842,05695,05587,06725,
2025-07-27,19:35:36:806,05843,05696,05588,06725,
2025-07-27,19:35:37:067,05843,05696,05588,06725,
2025-07-27,19:35:37:330,05843,05697,05589,06725,
2025-07-27,19:35:37:578,05843,05698,05590,06725,
2025-07-27,19:35:37:826,05844,05698,05591,06725,
2025-07-27,19:35:38:076,05844,05699,05592,06726,
2025-07-27,19:35:38:323,05847,05700,05593,06722,
2025-07-27,19:35:38:572,05824,05698,05567,04941,
2025-07-27,19:35:38:818,05738,05649,04557,04992,
2025-07-27,19:35:39:099,04995,05532,05183,05438,
2025-07-27,19:35:39:348,05258,05534,05188,05462,
2025-07-27,19:35:39:597,05275,05586,05300,05771,
2025-07-27,19:35:39:843,05440,05590,05305,06020,
2025-07-27,19:35:40:087,05448,05626,05388,06042,
2025-07-27,19:35:40:335,05556,05627,05393,06210,
2025-07-27,19:35:40:585,05598,05626,05313,06163,
2025-07-27,19:35:40:847,05590,05544,03241,05430,
2025-07-27,19:35:41:095,05480,04888,03187,05427,
2025-07-27,19:35:41:343,05572,04883,02965,05436,
2025-07-27,19:35:41:591,05577,04910,03012,05456,
2025-07-27,19:35:41:842,05608,05100,03632,05705,
2025-07-27,19:35:42:090,05604,05118,04128,05920,
2025-07-27,19:35:42:339,05597,05238,04181,05942,
2025-07-27,19:35:42:589,05537,05354,04651,06133,
2025-07-27,19:35:42:836,05540,05357,04672,06143,
2025-07-27,19:35:43:086,05540,05357,04931,06267,
2025-07-27,19:35:43:349,05516,05411,05072,06353,
2025-07-27,19:35:43:597,05511,05413,05076,06358,
2025-07-27,19:35:43:844,05306,05390,05055,06360,
2025-07-27,19:35:44:090,05230,04799,05055,06365,
2025-07-27,19:35:44:336,04813,04807,05064,06375,
2025-07-27,19:35:44:584,04845,05131,05179,06432,
2025-07-27,19:35:44:846,05257,05327,05267,06441,
2025-07-27,19:35:45:096,05431,05339,05275,06508,
2025-07-27,19:35:45:345,05447,05424,05319,06513,
2025-07-27,19:35:45:594,05589,05429,05320,06555,
2025-07-27,19:35:45:834,05658,05480,05324,06557,
2025-07-27,19:35:46:087,05660,05483,05356,06562,
2025-07-27,19:35:46:335,05665,05486,05356,06565,
2025-07-27,19:35:46:583,05701,05519,05359,06591,
2025-07-27,19:35:46:838,05705,05521,05364,06593,
2025-07-27,19:35:47:096,05711,05524,05388,06596,
2025-07-27,19:35:47:335,05736,05529,05390,06601,
2025-07-27,19:35:47:589,05737,05532,05391,06603,
2025-07-27,19:35:47:835,05739,05553,05396,06609,
2025-07-27,19:35:48:087,05743,05554,05401,06614,
2025-07-27,19:35:48:334,05745,05557,05420,06618,
2025-07-27,19:35:48:583,05751,05560,05421,06620,
2025-07-27,19:35:48:834,05756,05562,05423,06619,
2025-07-27,19:35:49:099,05724,05562,05380,05428,
2025-07-27,19:35:49:336,05656,05374,04693,05417,
2025-07-27,19:35:49:593,05095,05383,04981,05478,
2025-07-27,19:35:49:835,05227,05457,04992,05504,
2025-07-27,19:35:50:088,05258,05462,05193,05849,
2025-07-27,19:35:50:333,05452,05508,05201,06052,
2025-07-27,19:35:50:586,05458,05512,05244,06068,
2025-07-27,19:35:50:835,05537,05534,05239,06198,
2025-07-27,19:35:51:085,05546,05535,05241,06206,
2025-07-27,19:35:51:333,05598,05531,03564,06086,
2025-07-27,19:35:51:613,05598,05531,03490,05530,
2025-07-27,19:35:51:849,05487,05034,03424,05562,
2025-07-27,19:35:52:113,05494,05052,03807,05761,
2025-07-27,19:35:52:360,05618,05193,03826,05776,
2025-07-27,19:35:52:606,05620,05202,04332,05988,
2025-07-27,19:35:52:855,05617,05294,04358,06137,
2025-07-27,19:35:53:103,05616,05354,04615,06149,
2025-07-27,19:35:53:350,05609,05359,04868,06263,
2025-07-27,19:35:53:600,05587,05409,04875,06270,
2025-07-27,19:35:53:865,05581,05410,05005,06348,
2025-07-27,19:35:54:123,05500,05412,05016,06357,
2025-07-27,19:35:54:369,05497,05415,05098,06413,
2025-07-27,19:35:54:621,05434,05415,05103,06415,
2025-07-27,19:35:54:867,05394,05291,05104,06416,
2025-07-27,19:35:55:119,05232,05295,05116,06422,
2025-07-27,19:35:55:366,05512,05425,05226,06489,
2025-07-27,19:35:55:615,05515,05429,05267,06492,
2025-07-27,19:35:55:868,05624,05471,05267,06498,
2025-07-27,19:35:56:126,05631,05473,05269,06528,
2025-07-27,19:35:56:374,05687,05475,05274,06529,
2025-07-27,19:35:56:619,05692,05480,05301,06532,
2025-07-27,19:35:56:869,05721,05502,05304,06536,
2025-07-27,19:35:57:116,05723,05504,05306,06542,
2025-07-27,19:35:57:380,05726,05505,05312,06545,
2025-07-27,19:35:57:625,05724,05508,05343,06551,
2025-07-27,19:35:57:871,05720,05509,05324,06455,
2025-07-27,19:35:58:122,05435,05505,05105,05985,
2025-07-27,19:35:58:369,05184,05433,05073,05946,
2025-07-27,19:35:58:617,05190,05432,05004,05781,
2025-07-27,19:35:58:867,05207,05438,05032,06081,
2025-07-27,19:35:59:128,05447,05490,05216,06099,
2025-07-27,19:35:59:378,05553,05493,05226,06257,
2025-07-27,19:35:59:625,05559,05495,05286,06264,
2025-07-27,19:35:59:870,05598,05498,05194,06242,
2025-07-27,19:36:00:118,05594,05413,03337,05777,
2025-07-27,19:36:00:366,05536,05069,03724,05790,
2025-07-27,19:36:00:628,05544,05149,03753,05912,
2025-07-27,19:36:00:872,05606,05154,04030,05921,
2025-07-27,19:36:01:121,05586,05158,04036,06025,
2025-07-27,19:36:01:370,05495,05143,04111,06073,
2025-07-27,19:36:01:681,05495,05143,04156,06087,
2025-07-27,19:36:01:928,05354,05076,04557,06211,
2025-07-27,19:36:02:193,05361,05245,04827,06312,
2025-07-27,19:36:02:431,05461,05335,04848,06320,
2025-07-27,19:36:02:689,05468,05338,05021,06391,
2025-07-27,19:36:02:929,05521,05381,05032,06396,
2025-07-27,19:36:03:186,05516,05378,05099,06432,
2025-07-27,19:36:03:428,05240,05309,05102,06433,
2025-07-27,19:36:03:680,05283,05327,05187,06436,
2025-07-27,19:36:03:928,05572,05422,05190,06493,
2025-07-27,19:36:04:178,05672,05426,05233,06495,
2025-07-27,19:36:04:428,05673,05461,05236,06500,
2025-07-27,19:36:04:688,05679,05463,05269,06530,
2025-07-27,19:36:04:936,05716,05467,05270,06530,
2025-07-27,19:36:05:186,05720,05469,05273,06532,
2025-07-27,19:36:05:434,05722,05492,05300,06534,
2025-07-27,19:36:05:683,05727,05493,05301,06538,
2025-07-27,19:36:05:929,05750,05495,05303,06542,
