DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:41:42:774,03655,----,
2025-07-07,15:41:42:884,03656,----,
2025-07-07,15:41:42:994,03658,----,
2025-07-07,15:41:43:106,03659,----,
2025-07-07,15:41:43:217,03660,----,
2025-07-07,15:41:43:329,03662,----,
2025-07-07,15:41:43:441,03664,----,
2025-07-07,15:41:43:544,03665,----,
2025-07-07,15:41:43:656,03666,----,
2025-07-07,15:41:43:772,03667,----,
2025-07-07,15:41:43:869,03667,----,
2025-07-07,15:41:43:977,03668,----,
2025-07-07,15:41:44:088,03670,----,
2025-07-07,15:41:44:199,03670,----,
2025-07-07,15:41:44:310,03671,----,
2025-07-07,15:41:44:423,03672,----,
2025-07-07,15:41:44:527,03674,----,
2025-07-07,15:41:44:650,03675,----,
2025-07-07,15:41:44:768,03677,----,
2025-07-07,15:41:44:869,03678,----,
2025-07-07,15:41:44:975,03414,----,
2025-07-07,15:41:45:086,03467,----,
2025-07-07,15:41:45:198,03451,----,
2025-07-07,15:41:45:308,03552,----,
2025-07-07,15:41:45:419,03597,----,
2025-07-07,15:41:45:530,03611,----,
2025-07-07,15:41:45:638,03624,----,
2025-07-07,15:41:45:748,03569,----,
2025-07-07,15:41:45:851,03475,----,
2025-07-07,15:41:45:964,03561,----,
2025-07-07,15:41:46:073,03486,----,
2025-07-07,15:41:46:185,03472,----,
2025-07-07,15:41:46:297,03323,----,
2025-07-07,15:41:46:409,03223,----,
2025-07-07,15:41:46:520,03191,----,
2025-07-07,15:41:46:620,03299,----,
2025-07-07,15:41:46:731,03387,----,
2025-07-07,15:41:46:837,03465,----,
2025-07-07,15:41:46:953,03522,----,
2025-07-07,15:41:47:056,03548,----,
2025-07-07,15:41:47:168,03560,----,
2025-07-07,15:41:47:280,03576,----,
2025-07-07,15:41:47:392,03543,----,
2025-07-07,15:41:47:503,03580,----,
2025-07-07,15:41:47:605,03594,----,
2025-07-07,15:41:47:710,03610,----,
2025-07-07,15:41:47:827,03612,----,
2025-07-07,15:41:47:937,03618,----,
2025-07-07,15:41:48:040,03624,----,
2025-07-07,15:41:48:152,03629,----,
2025-07-07,15:41:48:264,03633,----,
2025-07-07,15:41:48:376,03625,----,
2025-07-07,15:41:48:487,03596,----,
2025-07-07,15:41:48:588,03597,----,
2025-07-07,15:41:48:699,03601,----,
2025-07-07,15:41:48:816,03604,----,
2025-07-07,15:41:48:921,03619,----,
2025-07-07,15:41:49:024,03623,----,
2025-07-07,15:41:49:133,03627,----,
2025-07-07,15:41:49:244,03629,----,
2025-07-07,15:41:49:356,03634,----,
2025-07-07,15:41:49:468,03641,----,
2025-07-07,15:41:49:589,03646,----,
2025-07-07,15:41:49:698,03651,----,
2025-07-07,15:41:49:820,03654,----,
2025-07-07,15:41:49:953,03654,----,
2025-07-07,15:41:50:040,03660,----,
2025-07-07,15:41:50:153,03662,----,
2025-07-07,15:41:50:264,03664,----,
2025-07-07,15:41:50:377,03554,----,
2025-07-07,15:41:50:487,03176,----,
2025-07-07,15:41:50:588,03425,----,
2025-07-07,15:41:50:700,03510,----,
2025-07-07,15:41:50:816,03569,----,
2025-07-07,15:41:50:921,03595,----,
2025-07-07,15:41:51:023,03609,----,
2025-07-07,15:41:51:135,03612,----,
2025-07-07,15:41:51:247,03626,----,
2025-07-07,15:41:51:360,03372,----,
2025-07-07,15:41:51:463,03574,----,
2025-07-07,15:41:51:588,03600,----,
2025-07-07,15:41:51:698,03604,----,
2025-07-07,15:41:51:815,03609,----,
2025-07-07,15:41:51:921,03622,----,
2025-07-07,15:41:52:024,03626,----,
2025-07-07,15:41:52:135,03631,----,
2025-07-07,15:41:52:247,03631,----,
2025-07-07,15:41:52:359,03631,----,
2025-07-07,15:41:52:466,03638,----,
2025-07-07,15:41:52:588,03641,----,
2025-07-07,15:41:52:700,03551,----,
2025-07-07,15:41:52:806,03188,----,
2025-07-07,15:41:52:925,03504,----,
2025-07-07,15:41:53:028,03558,----,
2025-07-07,15:41:53:139,03573,----,
2025-07-07,15:41:53:251,03588,----,
2025-07-07,15:41:53:363,03602,----,
2025-07-07,15:41:53:469,03607,----,
2025-07-07,15:41:53:588,03613,----,
2025-07-07,15:41:53:697,03598,----,
2025-07-07,15:41:53:820,03537,----,
2025-07-07,15:41:53:941,03593,----,
2025-07-07,15:41:54:050,03608,----,
2025-07-07,15:41:54:161,03622,----,
2025-07-07,15:41:54:257,03625,----,
2025-07-07,15:41:54:370,03628,----,
2025-07-07,15:41:54:480,03567,----,
2025-07-07,15:41:54:588,03576,----,
2025-07-07,15:41:54:700,03560,----,
2025-07-07,15:41:54:808,03544,----,
2025-07-07,15:41:54:925,03346,----,
2025-07-07,15:41:55:027,02680,----,
2025-07-07,15:41:55:139,02938,----,
2025-07-07,15:41:55:251,02831,----,
2025-07-07,15:41:55:362,03342,----,
2025-07-07,15:41:55:468,03426,----,
2025-07-07,15:41:55:588,03464,----,
2025-07-07,15:41:55:700,03492,----,
2025-07-07,15:41:55:807,03519,----,
2025-07-07,15:41:55:924,03533,----,
2025-07-07,15:41:56:028,03424,----,
2025-07-07,15:41:56:137,03369,----,
2025-07-07,15:41:56:248,03504,----,
2025-07-07,15:41:56:360,03529,----,
2025-07-07,15:41:56:464,03544,----,
2025-07-07,15:41:56:588,03556,----,
2025-07-07,15:41:56:700,03569,----,
2025-07-07,15:41:56:807,03575,----,
2025-07-07,15:41:56:924,03557,----,
2025-07-07,15:41:57:027,03478,----,
2025-07-07,15:41:57:139,03478,----,
2025-07-07,15:41:57:250,03422,----,
2025-07-07,15:41:57:362,03364,----,
2025-07-07,15:41:57:465,03348,----,
2025-07-07,15:41:57:575,03403,----,
2025-07-07,15:41:57:690,03416,----,
2025-07-07,15:41:57:788,03419,----,
2025-07-07,15:41:57:908,03430,----,
2025-07-07,15:41:58:012,03429,----,
2025-07-07,15:41:58:124,03507,----,
2025-07-07,15:41:58:235,03532,----,
2025-07-07,15:41:58:347,03548,----,
2025-07-07,15:41:58:458,03563,----,
