DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,19:08:09:182,01704,----,
2025-07-28,19:08:09:291,01835,----,
2025-07-28,19:08:09:400,01937,----,
2025-07-28,19:08:09:508,02027,----,
2025-07-28,19:08:09:615,02103,----,
2025-07-28,19:08:09:723,02136,----,
2025-07-28,19:08:09:835,02212,----,
2025-07-28,19:08:09:952,02291,----,
2025-07-28,19:08:10:064,02325,----,
2025-07-28,19:08:10:168,02380,----,
2025-07-28,19:08:10:281,02409,----,
2025-07-28,19:08:10:388,02458,----,
2025-07-28,19:08:10:495,02484,----,
2025-07-28,19:08:10:605,02511,----,
2025-07-28,19:08:10:714,01004,----,
2025-07-28,19:08:10:821,01005,----,
2025-07-28,19:08:10:928,01027,----,
2025-07-28,19:08:11:040,00935,----,
2025-07-28,19:08:11:148,00915,----,
2025-07-28,19:08:11:255,00914,----,
2025-07-28,19:08:11:372,00914,----,
2025-07-28,19:08:11:474,00933,----,
2025-07-28,19:08:11:583,00933,----,
2025-07-28,19:08:11:706,00918,----,
2025-07-28,19:08:11:807,00919,----,
2025-07-28,19:08:11:924,00885,----,
2025-07-28,19:08:12:023,00826,----,
2025-07-28,19:08:12:138,00792,----,
2025-07-28,19:08:12:249,00749,----,
2025-07-28,19:08:12:355,00734,----,
2025-07-28,19:08:12:464,00734,----,
2025-07-28,19:08:12:571,00812,----,
2025-07-28,19:08:12:682,01100,----,
2025-07-28,19:08:12:788,01447,----,
2025-07-28,19:08:12:901,01632,----,
2025-07-28,19:08:13:010,01778,----,
2025-07-28,19:08:13:117,01943,----,
2025-07-28,19:08:13:228,02039,----,
2025-07-28,19:08:13:335,02114,----,
2025-07-28,19:08:13:443,02151,----,
2025-07-28,19:08:13:555,02239,----,
2025-07-28,19:08:13:666,02314,----,
2025-07-28,19:08:13:772,02350,----,
2025-07-28,19:08:13:882,02420,----,
2025-07-28,19:08:14:005,02453,----,
2025-07-28,19:08:14:116,02507,----,
2025-07-28,19:08:14:226,02557,----,
2025-07-28,19:08:14:333,02582,----,
2025-07-28,19:08:14:445,02600,----,
2025-07-28,19:08:14:560,01432,----,
2025-07-28,19:08:14:676,01100,----,
2025-07-28,19:08:14:777,01124,----,
2025-07-28,19:08:14:890,01009,----,
2025-07-28,19:08:14:995,00936,----,
2025-07-28,19:08:15:106,00936,----,
2025-07-28,19:08:15:212,00936,----,
2025-07-28,19:08:15:320,00924,----,
2025-07-28,19:08:15:428,00923,----,
2025-07-28,19:08:15:538,00900,----,
2025-07-28,19:08:15:647,00885,----,
2025-07-28,19:08:15:769,00848,----,
2025-07-28,19:08:15:871,00826,----,
2025-07-28,19:08:15:987,00803,----,
2025-07-28,19:08:16:087,00769,----,
2025-07-28,19:08:16:203,00729,----,
2025-07-28,19:08:16:301,00729,----,
2025-07-28,19:08:16:417,00810,----,
2025-07-28,19:08:16:524,01086,----,
2025-07-28,19:08:16:634,01423,----,
2025-07-28,19:08:16:742,01625,----,
2025-07-28,19:08:16:850,01774,----,
2025-07-28,19:08:16:966,01882,----,
2025-07-28,19:08:17:081,02024,----,
2025-07-28,19:08:17:182,02097,----,
2025-07-28,19:08:17:298,02175,----,
2025-07-28,19:08:17:400,02241,----,
2025-07-28,19:08:17:515,02278,----,
2025-07-28,19:08:17:618,02353,----,
2025-07-28,19:08:17:732,02383,----,
2025-07-28,19:08:17:841,02441,----,
2025-07-28,19:08:17:946,02469,----,
2025-07-28,19:08:18:061,01580,----,
2025-07-28,19:08:18:165,01103,----,
2025-07-28,19:08:18:276,01084,----,
2025-07-28,19:08:18:385,01084,----,
2025-07-28,19:08:18:494,01028,----,
2025-07-28,19:08:18:600,00995,----,
2025-07-28,19:08:18:712,00995,----,
2025-07-28,19:08:18:817,00984,----,
2025-07-28,19:08:18:934,00897,----,
2025-07-28,19:08:19:040,00897,----,
2025-07-28,19:08:19:153,00897,----,
2025-07-28,19:08:19:263,00882,----,
2025-07-28,19:08:19:370,00882,----,
2025-07-28,19:08:19:477,00895,----,
2025-07-28,19:08:19:585,00856,----,
2025-07-28,19:08:19:694,00777,----,
2025-07-28,19:08:19:802,00749,----,
2025-07-28,19:08:19:913,00733,----,
2025-07-28,19:08:20:021,00758,----,
2025-07-28,19:08:20:139,00931,----,
2025-07-28,19:08:20:241,01427,----,
2025-07-28,19:08:20:355,01547,----,
2025-07-28,19:08:20:459,01725,----,
2025-07-28,19:08:20:574,01830,----,
2025-07-28,19:08:20:685,01986,----,
2025-07-28,19:08:20:792,02033,----,
2025-07-28,19:08:20:901,02113,----,
2025-07-28,19:08:21:006,02183,----,
2025-07-28,19:08:21:117,02221,----,
2025-07-28,19:08:21:225,02292,----,
2025-07-28,19:08:21:333,02322,----,
2025-07-28,19:08:21:445,02004,----,
2025-07-28,19:08:21:557,00994,----,
2025-07-28,19:08:21:673,00993,----,
2025-07-28,19:08:21:772,01020,----,
2025-07-28,19:08:21:889,01057,----,
2025-07-28,19:08:21:992,01057,----,
2025-07-28,19:08:22:107,01057,----,
2025-07-28,19:08:22:218,01045,----,
2025-07-28,19:08:22:325,01015,----,
2025-07-28,19:08:22:434,01002,----,
2025-07-28,19:08:22:540,00980,----,
2025-07-28,19:08:22:650,00937,----,
2025-07-28,19:08:22:759,00937,----,
2025-07-28,19:08:22:865,00875,----,
2025-07-28,19:08:22:973,00851,----,
2025-07-28,19:08:23:085,00787,----,
2025-07-28,19:08:23:193,00765,----,
2025-07-28,19:08:23:310,00765,----,
2025-07-28,19:08:23:414,00749,----,
2025-07-28,19:08:23:528,00781,----,
2025-07-28,19:08:23:642,00974,----,
2025-07-28,19:08:23:745,01345,----,
2025-07-28,19:08:23:858,01578,----,
2025-07-28,19:08:23:962,01807,----,
2025-07-28,19:08:24:074,01863,----,
2025-07-28,19:08:24:178,02019,----,
2025-07-28,19:08:24:291,02104,----,
2025-07-28,19:08:24:399,02138,----,
2025-07-28,19:08:24:506,02253,----,
2025-07-28,19:08:24:630,02282,----,
2025-07-28,19:08:24:740,02350,----,
2025-07-28,19:08:24:849,02405,----,
2025-07-28,19:08:24:959,02432,----,
2025-07-28,19:08:25:082,01940,----,
2025-07-28,19:08:25:181,01264,----,
2025-07-28,19:08:25:297,01233,----,
2025-07-28,19:08:25:397,01142,----,
2025-07-28,19:08:25:512,01087,----,
2025-07-28,19:08:25:620,00941,----,
2025-07-28,19:08:25:729,00941,----,
2025-07-28,19:08:25:847,00931,----,
2025-07-28,19:08:25:945,00931,----,
2025-07-28,19:08:26:066,00948,----,
2025-07-28,19:08:26:166,00949,----,
2025-07-28,19:08:26:282,00949,----,
2025-07-28,19:08:26:382,00935,----,
2025-07-28,19:08:26:500,00935,----,
2025-07-28,19:08:26:599,00896,----,
2025-07-28,19:08:26:715,00868,----,
2025-07-28,19:08:26:826,00791,----,
2025-07-28,19:08:26:933,00776,----,
2025-07-28,19:08:27:045,00763,----,
2025-07-28,19:08:27:152,00902,----,
2025-07-28,19:08:27:261,01301,----,
2025-07-28,19:08:27:370,01524,----,
2025-07-28,19:08:27:476,01693,----,
2025-07-28,19:08:27:587,01806,----,
2025-07-28,19:08:27:696,01916,----,
2025-07-28,19:08:27:805,02003,----,
2025-07-28,19:08:27:911,02089,----,
2025-07-28,19:08:28:021,02155,----,
2025-07-28,19:08:28:137,02203,----,
2025-07-28,19:08:28:251,02255,----,
2025-07-28,19:08:28:356,02324,----,
2025-07-28,19:08:28:469,02348,----,
2025-07-28,19:08:28:573,02396,----,
2025-07-28,19:08:28:687,02214,----,
2025-07-28,19:08:28:790,00991,----,
2025-07-28,19:08:28:901,01023,----,
2025-07-28,19:08:29:008,01097,----,
2025-07-28,19:08:29:119,01097,----,
2025-07-28,19:08:29:224,01039,----,
2025-07-28,19:08:29:336,01014,----,
2025-07-28,19:08:29:444,01014,----,
2025-07-28,19:08:29:552,01013,----,
2025-07-28,19:08:29:671,01001,----,
2025-07-28,19:08:29:771,00982,----,
2025-07-28,19:08:29:891,00981,----,
2025-07-28,19:08:29:992,00957,----,
2025-07-28,19:08:30:106,00943,----,
2025-07-28,19:08:30:219,00845,----,
2025-07-28,19:08:30:323,00805,----,
2025-07-28,19:08:30:434,00785,----,
2025-07-28,19:08:30:540,00769,----,
2025-07-28,19:08:30:650,00769,----,
2025-07-28,19:08:30:755,00871,----,
2025-07-28,19:08:30:867,01236,----,
2025-07-28,19:08:30:975,01491,----,
2025-07-28,19:08:31:090,01675,----,
2025-07-28,19:08:31:206,01865,----,
2025-07-28,19:08:31:306,01958,----,
2025-07-28,19:08:31:421,02034,----,
2025-07-28,19:08:31:522,02113,----,
2025-07-28,19:08:31:640,02158,----,
2025-07-28,19:08:31:741,02222,----,
2025-07-28,19:08:31:859,02267,----,
2025-07-28,19:08:31:959,02322,----,
2025-07-28,19:08:32:075,02346,----,
2025-07-28,19:08:32:178,01060,----,
2025-07-28,19:08:32:293,01082,----,
2025-07-28,19:08:32:396,01104,----,
2025-07-28,19:08:32:509,01121,----,
2025-07-28,19:08:32:631,01018,----,
2025-07-28,19:08:32:747,00980,----,
2025-07-28,19:08:32:862,00993,----,
2025-07-28,19:08:32:961,00993,----,
2025-07-28,19:08:33:076,00980,----,
2025-07-28,19:08:33:186,00939,----,
2025-07-28,19:08:33:292,00919,----,
2025-07-28,19:08:33:403,00898,----,
2025-07-28,19:08:33:508,00898,----,
2025-07-28,19:08:33:622,00876,----,
2025-07-28,19:08:33:727,00818,----,
2025-07-28,19:08:33:837,00817,----,
2025-07-28,19:08:33:947,00757,----,
2025-07-28,19:08:34:056,00758,----,
2025-07-28,19:08:34:165,00758,----,
2025-07-28,19:08:34:274,00788,----,
2025-07-28,19:08:34:382,01000,----,
2025-07-28,19:08:34:490,01338,----,
2025-07-28,19:08:34:600,01531,----,
2025-07-28,19:08:34:716,01673,----,
2025-07-28,19:08:34:829,01797,----,
2025-07-28,19:08:34:933,01929,----,
2025-07-28,19:08:35:036,01967,----,
2025-07-28,19:08:35:154,02044,----,
2025-07-28,19:08:35:256,02116,----,
2025-07-28,19:08:35:369,02194,----,
2025-07-28,19:08:35:477,02264,----,
2025-07-28,19:08:35:586,02291,----,
2025-07-28,19:08:35:694,01164,----,
2025-07-28,19:08:35:802,01014,----,
2025-07-28,19:08:35:920,01014,----,
2025-07-28,19:08:36:021,01055,----,
2025-07-28,19:08:36:137,01075,----,
2025-07-28,19:08:36:250,01075,----,
2025-07-28,19:08:36:351,01049,----,
2025-07-28,19:08:36:467,01030,----,
2025-07-28,19:08:36:569,01014,----,
2025-07-28,19:08:36:682,01014,----,
2025-07-28,19:08:36:790,00978,----,
2025-07-28,19:08:36:899,00957,----,
2025-07-28,19:08:37:006,00936,----,
2025-07-28,19:08:37:114,00936,----,
2025-07-28,19:08:37:235,00935,----,
2025-07-28,19:08:37:335,00924,----,
2025-07-28,19:08:37:451,00923,----,
2025-07-28,19:08:37:551,00821,----,
2025-07-28,19:08:37:669,00767,----,
2025-07-28,19:08:37:783,00746,----,
2025-07-28,19:08:37:884,00746,----,
2025-07-28,19:08:38:000,00765,----,
2025-07-28,19:08:38:100,00931,----,
2025-07-28,19:08:38:216,01293,----,
2025-07-28,19:08:38:327,01510,----,
2025-07-28,19:08:38:431,01672,----,
2025-07-28,19:08:38:541,01797,----,
2025-07-28,19:08:38:648,01900,----,
2025-07-28,19:08:38:758,01985,----,
2025-07-28,19:08:38:866,02071,----,
2025-07-28,19:08:38:974,02139,----,
2025-07-28,19:08:39:084,01445,----,
2025-07-28,19:08:39:208,01076,----,
2025-07-28,19:08:39:319,01048,----,
2025-07-28,19:08:39:441,00996,----,
2025-07-28,19:08:39:544,00978,----,
2025-07-28,19:08:39:655,00966,----,
2025-07-28,19:08:39:760,00966,----,
2025-07-28,19:08:39:874,00945,----,
2025-07-28,19:08:39:977,00945,----,
2025-07-28,19:08:40:087,00945,----,
2025-07-28,19:08:40:193,00945,----,
2025-07-28,19:08:40:310,00946,----,
2025-07-28,19:08:40:413,00946,----,
2025-07-28,19:08:40:526,00946,----,
2025-07-28,19:08:40:635,00919,----,
2025-07-28,19:08:40:744,00885,----,
2025-07-28,19:08:40:853,00823,----,
2025-07-28,19:08:40:962,00755,----,
2025-07-28,19:08:41:072,00755,----,
2025-07-28,19:08:41:177,00756,----,
2025-07-28,19:08:41:289,00773,----,
2025-07-28,19:08:41:396,01148,----,
2025-07-28,19:08:41:520,01410,----,
2025-07-28,19:08:41:620,01593,----,
2025-07-28,19:08:41:735,01734,----,
2025-07-28,19:08:41:839,01845,----,
2025-07-28,19:08:41:952,01941,----,
2025-07-28,19:08:42:054,02016,----,
2025-07-28,19:08:42:169,02078,----,
2025-07-28,19:08:42:270,02143,----,
2025-07-28,19:08:42:385,01265,----,
2025-07-28,19:08:42:496,01125,----,
2025-07-28,19:08:42:604,01151,----,
2025-07-28,19:08:42:712,01061,----,
2025-07-28,19:08:42:821,01061,----,
2025-07-28,19:08:42:940,01043,----,
2025-07-28,19:08:43:036,01024,----,
2025-07-28,19:08:43:159,01010,----,
2025-07-28,19:08:43:259,01010,----,
2025-07-28,19:08:43:374,01011,----,
2025-07-28,19:08:43:476,01024,----,
2025-07-28,19:08:43:591,01024,----,
2025-07-28,19:08:43:693,01005,----,
2025-07-28,19:08:43:811,00985,----,
2025-07-28,19:08:43:918,00949,----,
2025-07-28,19:08:44:028,00881,----,
