DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,18:00:14:585,05840,03814,05967,06951,
2025-07-27,18:00:14:838,05841,03816,05969,06952,
2025-07-27,18:00:15:084,05842,03817,05970,06952,
2025-07-27,18:00:15:346,05842,03818,05970,06952,
2025-07-27,18:00:15:593,05842,03819,05971,06768,
2025-07-27,18:00:15:835,05777,03807,05706,03921,
2025-07-27,18:00:16:093,04863,03817,04510,03933,
2025-07-27,18:00:16:339,04876,03899,04551,04186,
2025-07-27,18:00:16:586,04957,03902,04552,04199,
2025-07-27,18:00:16:843,04976,03932,04580,04630,
2025-07-27,18:00:17:087,05508,03827,05356,05722,
2025-07-27,18:00:17:337,05520,03828,05377,05739,
2025-07-27,18:00:17:583,05656,03829,05548,06147,
2025-07-27,18:00:17:841,05710,03832,05556,06175,
2025-07-27,18:00:18:086,05714,03835,05654,06407,
2025-07-27,18:00:18:342,05717,03839,06059,05621,
2025-07-27,18:00:18:586,05243,03321,06908,05640,
2025-07-27,18:00:18:847,03042,03324,12430,05926,
2025-07-27,18:00:19:093,03058,03367,12582,05936,
2025-07-27,18:00:19:338,03178,03368,14189,06016,
2025-07-27,18:00:19:596,03183,03374,07105,06034,
2025-07-27,18:00:19:843,04340,03602,06820,06466,
2025-07-27,18:00:20:089,05238,03605,05742,06486,
2025-07-27,18:00:20:339,05258,03684,05747,06644,
2025-07-27,18:00:20:588,05409,03689,05799,06732,
2025-07-27,18:00:20:833,05416,03731,05805,06734,
2025-07-27,18:00:21:096,05502,03737,05844,06744,
2025-07-27,18:00:21:341,05564,03770,05847,06797,
2025-07-27,18:00:21:584,05413,03307,04203,06954,
2025-07-27,18:00:21:846,04876,01155,04217,06965,
2025-07-27,18:00:22:089,04884,01242,04298,07050,
2025-07-27,18:00:22:335,04934,01243,04301,07055,
2025-07-27,18:00:22:598,04946,01247,04322,07034,
2025-07-27,18:00:22:843,05393,02515,05211,06883,
2025-07-27,18:00:23:095,05405,02557,05235,06885,
2025-07-27,18:00:23:339,05541,02893,05431,06886,
2025-07-27,18:00:23:587,05600,02908,05548,06891,
2025-07-27,18:00:23:834,05604,03108,05552,06897,
2025-07-27,18:00:24:096,05608,03251,05632,06904,
2025-07-27,18:00:24:343,05651,03262,05639,06911,
2025-07-27,18:00:24:585,05656,03362,05695,06914,
2025-07-27,18:00:24:847,07770,03346,05458,06774,
2025-07-27,18:00:25:093,08363,03062,02505,06177,
2025-07-27,18:00:25:349,11013,03181,02513,06249,
2025-07-27,18:00:25:608,11025,03187,02565,06253,
2025-07-27,18:00:25:849,11098,03236,02682,06266,
2025-07-27,18:00:26:110,10213,03250,04564,06644,
2025-07-27,18:00:26:356,05646,03423,04595,06659,
2025-07-27,18:00:26:601,05647,03510,04932,06793,
2025-07-27,18:00:26:859,05663,03522,05187,06874,
2025-07-27,18:00:27:109,05741,03587,05194,06872,
2025-07-27,18:00:27:351,05734,03587,05295,06874,
2025-07-27,18:00:27:609,05734,03596,05310,06938,
