DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:12:40:609,03340,----,
2025-07-13,20:12:40:722,03315,----,
2025-07-13,20:12:40:834,03307,----,
2025-07-13,20:12:40:937,03307,----,
2025-07-13,20:12:41:050,03725,----,
2025-07-13,20:12:41:163,03741,----,
2025-07-13,20:12:41:267,03773,----,
2025-07-13,20:12:41:381,03773,----,
2025-07-13,20:12:41:485,03685,----,
2025-07-13,20:12:41:598,03628,----,
2025-07-13,20:12:41:703,03561,----,
2025-07-13,20:12:41:817,02900,----,
2025-07-13,20:12:41:927,02900,----,
2025-07-13,20:12:42:031,02906,----,
2025-07-13,20:12:42:144,02908,----,
2025-07-13,20:12:42:256,02858,----,
2025-07-13,20:12:42:360,02851,----,
2025-07-13,20:12:42:473,02851,----,
2025-07-13,20:12:42:586,02841,----,
2025-07-13,20:12:42:688,02716,----,
2025-07-13,20:12:42:802,02834,----,
2025-07-13,20:12:42:914,02834,----,
2025-07-13,20:12:43:019,02943,----,
2025-07-13,20:12:43:123,03660,----,
2025-07-13,20:12:43:236,03665,----,
2025-07-13,20:12:43:349,03639,----,
2025-07-13,20:12:43:452,03639,----,
2025-07-13,20:12:43:565,02796,----,
2025-07-13,20:12:43:677,02808,----,
2025-07-13,20:12:43:780,02749,----,
2025-07-13,20:12:43:893,02749,----,
2025-07-13,20:12:44:005,02285,----,
2025-07-13,20:12:44:119,02286,----,
2025-07-13,20:12:44:223,02274,----,
2025-07-13,20:12:44:326,02179,----,
2025-07-13,20:12:44:440,02179,----,
2025-07-13,20:12:44:554,02221,----,
2025-07-13,20:12:44:655,02275,----,
2025-07-13,20:12:44:768,05462,----,
2025-07-13,20:12:44:874,05482,----,
2025-07-13,20:12:44:992,05482,----,
2025-07-13,20:12:45:094,05433,----,
2025-07-13,20:12:45:206,04549,----,
2025-07-13,20:12:45:319,04465,----,
2025-07-13,20:12:45:421,04465,----,
2025-07-13,20:12:45:534,04378,----,
2025-07-13,20:12:45:644,03685,----,
2025-07-13,20:12:45:754,03678,----,
2025-07-13,20:12:45:866,03668,----,
2025-07-13,20:12:45:969,03668,----,
2025-07-13,20:12:46:078,03460,----,
2025-07-13,20:12:46:188,03425,----,
2025-07-13,20:12:46:299,03351,----,
2025-07-13,20:12:46:406,02655,----,
2025-07-13,20:12:46:523,02655,----,
2025-07-13,20:12:46:626,02654,----,
2025-07-13,20:12:46:737,02663,----,
2025-07-13,20:12:46:849,02625,----,
2025-07-13,20:12:46:961,02625,----,
2025-07-13,20:12:47:063,02621,----,
2025-07-13,20:12:47:176,02618,----,
2025-07-13,20:12:47:289,02617,----,
2025-07-13,20:12:47:389,02616,----,
2025-07-13,20:12:47:501,02616,----,
2025-07-13,20:12:47:613,02613,----,
2025-07-13,20:12:47:724,02610,----,
2025-07-13,20:12:47:828,02598,----,
2025-07-13,20:12:47:940,02598,----,
2025-07-13,20:12:48:052,02598,----,
2025-07-13,20:12:48:163,02598,----,
2025-07-13,20:12:48:265,02599,----,
2025-07-13,20:12:48:378,02599,----,
2025-07-13,20:12:48:491,02599,----,
2025-07-13,20:12:48:594,02565,----,
2025-07-13,20:12:48:708,02576,----,
2025-07-13,20:12:48:812,02154,----,
2025-07-13,20:12:48:925,02154,----,
2025-07-13,20:12:49:040,02235,----,
2025-07-13,20:12:49:141,02310,----,
2025-07-13,20:12:49:254,02180,----,
2025-07-13,20:12:49:370,02176,----,
2025-07-13,20:12:49:471,02176,----,
2025-07-13,20:12:49:583,02197,----,
2025-07-13,20:12:49:686,02451,----,
2025-07-13,20:12:49:799,02442,----,
2025-07-13,20:12:49:908,02437,----,
2025-07-13,20:12:50:016,02437,----,
2025-07-13,20:12:50:132,02426,----,
2025-07-13,20:12:50:233,02430,----,
2025-07-13,20:12:50:347,02439,----,
2025-07-13,20:12:50:464,02439,----,
2025-07-13,20:12:50:561,02577,----,
2025-07-13,20:12:50:675,02587,----,
2025-07-13,20:12:50:790,02606,----,
2025-07-13,20:12:50:893,02675,----,
2025-07-13,20:12:51:007,02675,----,
2025-07-13,20:12:51:109,02692,----,
2025-07-13,20:12:51:221,02751,----,
2025-07-13,20:12:51:339,03988,----,
2025-07-13,20:12:51:437,03983,----,
2025-07-13,20:12:51:551,03983,----,
2025-07-13,20:12:51:670,03955,----,
2025-07-13,20:12:51:766,04599,----,
2025-07-13,20:12:51:879,04763,----,
2025-07-13,20:12:51:993,04763,----,
2025-07-13,20:12:52:094,04975,----,
2025-07-13,20:12:52:206,06332,----,
2025-07-13,20:12:52:320,06300,----,
2025-07-13,20:12:52:422,06253,----,
2025-07-13,20:12:52:535,06253,----,
2025-07-13,20:12:52:649,05324,----,
2025-07-13,20:12:52:750,05338,----,
2025-07-13,20:12:52:863,05216,----,
2025-07-13,20:12:52:977,05216,----,
2025-07-13,20:12:53:080,02489,----,
2025-07-13,20:12:53:196,02687,----,
2025-07-13,20:12:53:296,02659,----,
2025-07-13,20:12:53:409,02179,----,
2025-07-13,20:12:53:523,02179,----,
2025-07-13,20:12:53:628,02178,----,
2025-07-13,20:12:53:740,02179,----,
2025-07-13,20:12:53:848,02227,----,
2025-07-13,20:12:53:955,02215,----,
2025-07-13,20:12:54:068,02215,----,
2025-07-13,20:12:54:172,02212,----,
2025-07-13,20:12:54:285,02257,----,
2025-07-13,20:12:54:389,03798,----,
2025-07-13,20:12:54:502,03798,----,
2025-07-13,20:12:54:615,03969,----,
2025-07-13,20:12:54:717,04035,----,
2025-07-13,20:12:54:831,05350,----,
2025-07-13,20:12:54:942,05366,----,
2025-07-13,20:12:55:050,05366,----,
2025-07-13,20:12:55:161,05178,----,
2025-07-13,20:12:55:265,02719,----,
2025-07-13,20:12:55:379,02732,----,
2025-07-13,20:12:55:489,02732,----,
2025-07-13,20:12:55:594,02777,----,
2025-07-13,20:12:55:704,03771,----,
2025-07-13,20:12:55:818,03790,----,
2025-07-13,20:12:55:920,03852,----,
2025-07-13,20:12:56:033,03852,----,
2025-07-13,20:12:56:147,04274,----,
2025-07-13,20:12:56:249,04232,----,
2025-07-13,20:12:56:363,04196,----,
2025-07-13,20:12:56:477,04121,----,
