DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,20:06:36:119,06010,----,
2025-07-13,20:06:36:221,06012,----,
2025-07-13,20:06:36:336,06013,----,
2025-07-13,20:06:36:447,06014,----,
2025-07-13,20:06:36:549,06016,----,
2025-07-13,20:06:36:673,06016,----,
2025-07-13,20:06:36:781,06017,----,
2025-07-13,20:06:36:892,06018,----,
2025-07-13,20:06:37:006,06020,----,
2025-07-13,20:06:37:115,06021,----,
2025-07-13,20:06:37:223,06021,----,
2025-07-13,20:06:37:334,06022,----,
2025-07-13,20:06:37:439,06023,----,
2025-07-13,20:06:37:555,06025,----,
2025-07-13,20:06:37:664,06026,----,
2025-07-13,20:06:37:769,06026,----,
2025-07-13,20:06:37:883,06028,----,
2025-07-13,20:06:37:986,06029,----,
2025-07-13,20:06:38:097,06031,----,
2025-07-13,20:06:38:203,06031,----,
2025-07-13,20:06:38:316,06032,----,
2025-07-13,20:06:38:430,06033,----,
2025-07-13,20:06:38:532,06035,----,
2025-07-13,20:06:38:645,06036,----,
2025-07-13,20:06:38:749,06036,----,
2025-07-13,20:06:38:864,06037,----,
2025-07-13,20:06:38:977,06026,----,
2025-07-13,20:06:39:079,05995,----,
2025-07-13,20:06:39:189,05779,----,
2025-07-13,20:06:39:303,05779,----,
2025-07-13,20:06:39:406,05784,----,
2025-07-13,20:06:39:519,05788,----,
2025-07-13,20:06:39:624,05767,----,
2025-07-13,20:06:39:738,05767,----,
2025-07-13,20:06:39:850,05752,----,
2025-07-13,20:06:39:953,05727,----,
2025-07-13,20:06:40:065,05401,----,
2025-07-13,20:06:40:178,05383,----,
2025-07-13,20:06:40:281,05383,----,
2025-07-13,20:06:40:396,05279,----,
2025-07-13,20:06:40:500,03416,----,
2025-07-13,20:06:40:612,03375,----,
2025-07-13,20:06:40:725,03375,----,
2025-07-13,20:06:40:830,03321,----,
2025-07-13,20:06:40:943,02799,----,
2025-07-13,20:06:41:055,02798,----,
2025-07-13,20:06:41:159,02801,----,
2025-07-13,20:06:41:271,02801,----,
2025-07-13,20:06:41:374,02807,----,
2025-07-13,20:06:41:488,02897,----,
2025-07-13,20:06:41:601,02900,----,
2025-07-13,20:06:41:705,02906,----,
2025-07-13,20:06:41:819,02906,----,
2025-07-13,20:06:41:923,03003,----,
2025-07-13,20:06:42:038,03003,----,
2025-07-13,20:06:42:139,03001,----,
2025-07-13,20:06:42:255,03001,----,
2025-07-13,20:06:42:366,03006,----,
2025-07-13,20:06:42:468,03131,----,
2025-07-13,20:06:42:583,03133,----,
2025-07-13,20:06:42:695,03138,----,
2025-07-13,20:06:42:796,03138,----,
2025-07-13,20:06:42:910,03201,----,
2025-07-13,20:06:43:024,03206,----,
2025-07-13,20:06:43:126,03216,----,
2025-07-13,20:06:43:244,03216,----,
2025-07-13,20:06:43:343,03381,----,
2025-07-13,20:06:43:460,03385,----,
2025-07-13,20:06:43:561,03391,----,
2025-07-13,20:06:43:675,03473,----,
2025-07-13,20:06:43:788,03473,----,
2025-07-13,20:06:43:890,03477,----,
2025-07-13,20:06:44:002,03484,----,
2025-07-13,20:06:44:109,03573,----,
2025-07-13,20:06:44:222,03573,----,
2025-07-13,20:06:44:333,03578,----,
2025-07-13,20:06:44:436,03494,----,
2025-07-13,20:06:44:553,02322,----,
2025-07-13,20:06:44:664,02325,----,
2025-07-13,20:06:44:766,02325,----,
2025-07-13,20:06:44:882,02337,----,
2025-07-13,20:06:44:993,02466,----,
2025-07-13,20:06:45:093,02461,----,
2025-07-13,20:06:45:206,02457,----,
2025-07-13,20:06:45:317,02457,----,
2025-07-13,20:06:45:428,02525,----,
2025-07-13,20:06:45:532,02580,----,
2025-07-13,20:06:45:642,02664,----,
2025-07-13,20:06:45:752,02664,----,
2025-07-13,20:06:45:866,03209,----,
2025-07-13,20:06:45:968,03226,----,
2025-07-13,20:06:46:081,03256,----,
2025-07-13,20:06:46:194,03597,----,
2025-07-13,20:06:46:295,03597,----,
2025-07-13,20:06:46:407,03603,----,
2025-07-13,20:06:46:519,03615,----,
2025-07-13,20:06:46:633,03763,----,
2025-07-13,20:06:46:734,03768,----,
2025-07-13,20:06:46:847,03768,----,
2025-07-13,20:06:46:957,03776,----,
2025-07-13,20:06:47:069,03886,----,
2025-07-13,20:06:47:171,03890,----,
2025-07-13,20:06:47:283,03890,----,
2025-07-13,20:06:47:395,03896,----,
2025-07-13,20:06:47:507,03974,----,
2025-07-13,20:06:47:617,03976,----,
2025-07-13,20:06:47:720,03981,----,
2025-07-13,20:06:47:830,03981,----,
2025-07-13,20:06:47:942,04040,----,
2025-07-13,20:06:48:054,04014,----,
2025-07-13,20:06:48:157,03882,----,
2025-07-13,20:06:48:270,03882,----,
2025-07-13,20:06:48:383,02503,----,
2025-07-13,20:06:48:485,02520,----,
2025-07-13,20:06:48:596,02548,----,
2025-07-13,20:06:48:709,02796,----,
2025-07-13,20:06:48:812,02796,----,
2025-07-13,20:06:48:927,02792,----,
2025-07-13,20:06:49:032,02781,----,
2025-07-13,20:06:49:143,02857,----,
2025-07-13,20:06:49:257,02870,----,
2025-07-13,20:06:49:358,02870,----,
2025-07-13,20:06:49:471,02880,----,
2025-07-13,20:06:49:578,02989,----,
2025-07-13,20:06:49:687,03002,----,
