DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:45:09:895,02150,----,
2025-06-24,21:45:10:007,01893,----,
2025-06-24,21:45:10:111,01799,----,
2025-06-24,21:45:10:222,01800,----,
2025-06-24,21:45:10:336,01808,----,
2025-06-24,21:45:10:439,01814,----,
2025-06-24,21:45:10:553,01786,----,
2025-06-24,21:45:10:666,01753,----,
2025-06-24,21:45:10:768,01740,----,
2025-06-24,21:45:10:881,01740,----,
2025-06-24,21:45:10:994,01739,----,
2025-06-24,21:45:11:106,01738,----,
2025-06-24,21:45:11:208,01745,----,
2025-06-24,21:45:11:314,01810,----,
2025-06-24,21:45:11:424,02642,----,
2025-06-24,21:45:11:538,03553,----,
2025-06-24,21:45:11:646,04074,----,
2025-06-24,21:45:11:760,04365,----,
2025-06-24,21:45:11:861,04626,----,
2025-06-24,21:45:11:973,04828,----,
2025-06-24,21:45:12:086,05031,----,
2025-06-24,21:45:12:190,05158,----,
2025-06-24,21:45:12:303,05257,----,
2025-06-24,21:45:12:415,05368,----,
2025-06-24,21:45:12:518,05422,----,
2025-06-24,21:45:12:631,05395,----,
2025-06-24,21:45:12:744,04284,----,
2025-06-24,21:45:12:844,04092,----,
2025-06-24,21:45:12:960,04128,----,
2025-06-24,21:45:13:067,02222,----,
2025-06-24,21:45:13:178,01983,----,
2025-06-24,21:45:13:290,01811,----,
2025-06-24,21:45:13:393,01803,----,
2025-06-24,21:45:13:507,01816,----,
2025-06-24,21:45:13:618,01830,----,
2025-06-24,21:45:13:722,01823,----,
2025-06-24,21:45:13:837,01794,----,
2025-06-24,21:45:13:949,01766,----,
2025-06-24,21:45:14:052,01753,----,
2025-06-24,21:45:14:157,01739,----,
2025-06-24,21:45:14:267,01733,----,
2025-06-24,21:45:14:380,01738,----,
2025-06-24,21:45:14:492,01752,----,
2025-06-24,21:45:14:603,02117,----,
2025-06-24,21:45:14:705,03343,----,
2025-06-24,21:45:14:814,03877,----,
2025-06-24,21:45:14:927,04215,----,
2025-06-24,21:45:15:036,04481,----,
2025-06-24,21:45:15:152,04692,----,
2025-06-24,21:45:15:252,04859,----,
2025-06-24,21:45:15:365,04993,----,
2025-06-24,21:45:15:480,05103,----,
2025-06-24,21:45:15:580,05184,----,
2025-06-24,21:45:15:693,05220,----,
2025-06-24,21:45:15:808,05262,----,
2025-06-24,21:45:15:911,05208,----,
2025-06-24,21:45:16:023,04303,----,
2025-06-24,21:45:16:134,04047,----,
2025-06-24,21:45:16:235,02270,----,
2025-06-24,21:45:16:349,02163,----,
2025-06-24,21:45:16:457,02050,----,
2025-06-24,21:45:16:571,01854,----,
2025-06-24,21:45:16:682,01840,----,
2025-06-24,21:45:16:782,01838,----,
2025-06-24,21:45:16:895,01838,----,
2025-06-24,21:45:17:008,01797,----,
2025-06-24,21:45:17:119,01767,----,
2025-06-24,21:45:17:225,01759,----,
2025-06-24,21:45:17:331,01752,----,
2025-06-24,21:45:17:438,01745,----,
2025-06-24,21:45:17:555,01742,----,
2025-06-24,21:45:17:667,01748,----,
2025-06-24,21:45:17:767,01865,----,
2025-06-24,21:45:17:878,02776,----,
2025-06-24,21:45:17:988,03766,----,
2025-06-24,21:45:18:102,04153,----,
2025-06-24,21:45:18:204,04487,----,
2025-06-24,21:45:18:320,04689,----,
2025-06-24,21:45:18:433,04899,----,
2025-06-24,21:45:18:535,05049,----,
2025-06-24,21:45:18:648,05171,----,
2025-06-24,21:45:18:750,05282,----,
2025-06-24,21:45:18:864,05365,----,
2025-06-24,21:45:18:976,05388,----,
2025-06-24,21:45:19:079,04961,----,
2025-06-24,21:45:19:194,04078,----,
2025-06-24,21:45:19:302,03980,----,
2025-06-24,21:45:19:417,03219,----,
2025-06-24,21:45:19:517,02097,----,
2025-06-24,21:45:19:629,01897,----,
2025-06-24,21:45:19:750,01806,----,
2025-06-24,21:45:19:863,01807,----,
2025-06-24,21:45:19:976,01813,----,
2025-06-24,21:45:20:078,01814,----,
2025-06-24,21:45:20:193,01821,----,
2025-06-24,21:45:20:300,01773,----,
2025-06-24,21:45:20:409,01754,----,
2025-06-24,21:45:20:526,01733,----,
2025-06-24,21:45:20:635,01727,----,
2025-06-24,21:45:20:737,01727,----,
2025-06-24,21:45:20:846,01727,----,
2025-06-24,21:45:20:957,01734,----,
2025-06-24,21:45:21:074,01742,----,
2025-06-24,21:45:21:181,02074,----,
2025-06-24,21:45:21:286,03077,----,
2025-06-24,21:45:21:399,03811,----,
2025-06-24,21:45:21:508,04223,----,
2025-06-24,21:45:21:622,04500,----,
2025-06-24,21:45:21:723,04736,----,
2025-06-24,21:45:21:828,04915,----,
2025-06-24,21:45:21:941,05064,----,
2025-06-24,21:45:22:058,05212,----,
2025-06-24,21:45:22:161,05311,----,
2025-06-24,21:45:22:274,05408,----,
2025-06-24,21:45:22:382,05492,----,
2025-06-24,21:45:22:494,05516,----,
2025-06-24,21:45:22:607,05454,----,
2025-06-24,21:45:22:707,04343,----,
2025-06-24,21:45:22:822,04067,----,
2025-06-24,21:45:22:933,03394,----,
2025-06-24,21:45:23:034,02129,----,
2025-06-24,21:45:23:149,01976,----,
2025-06-24,21:45:23:250,01840,----,
2025-06-24,21:45:23:363,01834,----,
2025-06-24,21:45:23:476,01827,----,
2025-06-24,21:45:23:581,01827,----,
2025-06-24,21:45:23:695,01813,----,
2025-06-24,21:45:23:809,01762,----,
2025-06-24,21:45:23:911,01742,----,
2025-06-24,21:45:24:022,01727,----,
2025-06-24,21:45:24:133,01726,----,
2025-06-24,21:45:24:244,01723,----,
2025-06-24,21:45:24:344,01722,----,
2025-06-24,21:45:24:457,01734,----,
2025-06-24,21:45:24:571,01736,----,
2025-06-24,21:45:24:673,01756,----,
2025-06-24,21:45:24:782,01984,----,
2025-06-24,21:45:24:894,03172,----,
2025-06-24,21:45:25:009,03815,----,
2025-06-24,21:45:25:121,04289,----,
2025-06-24,21:45:25:223,04601,----,
2025-06-24,21:45:25:330,04804,----,
2025-06-24,21:45:25:441,04963,----,
2025-06-24,21:45:25:554,05110,----,
2025-06-24,21:45:25:664,05256,----,
2025-06-24,21:45:25:777,05374,----,
2025-06-24,21:45:25:877,05500,----,
2025-06-24,21:45:25:987,05561,----,
2025-06-24,21:45:26:102,05583,----,
2025-06-24,21:45:26:212,05535,----,
2025-06-24,21:45:26:322,04289,----,
2025-06-24,21:45:26:423,04114,----,
2025-06-24,21:45:26:538,03911,----,
2025-06-24,21:45:26:654,02140,----,
2025-06-24,21:45:26:754,01932,----,
2025-06-24,21:45:26:865,01808,----,
2025-06-24,21:45:26:981,01800,----,
2025-06-24,21:45:27:082,01799,----,
2025-06-24,21:45:27:197,01806,----,
2025-06-24,21:45:27:297,01745,----,
2025-06-24,21:45:27:411,01723,----,
2025-06-24,21:45:27:522,01708,----,
2025-06-24,21:45:27:632,01706,----,
2025-06-24,21:45:27:745,01703,----,
2025-06-24,21:45:27:845,01702,----,
2025-06-24,21:45:27:964,01709,----,
2025-06-24,21:45:28:067,01722,----,
2025-06-24,21:45:28:180,01728,----,
2025-06-24,21:45:28:286,01760,----,
2025-06-24,21:45:28:397,02031,----,
2025-06-24,21:45:28:510,03302,----,
2025-06-24,21:45:28:610,03866,----,
2025-06-24,21:45:28:730,04231,----,
2025-06-24,21:45:28:831,04481,----,
2025-06-24,21:45:28:943,04673,----,
2025-06-24,21:45:29:057,04850,----,
2025-06-24,21:45:29:158,05040,----,
2025-06-24,21:45:29:270,05164,----,
2025-06-24,21:45:29:384,05320,----,
2025-06-24,21:45:29:494,05430,----,
2025-06-24,21:45:29:601,05541,----,
2025-06-24,21:45:29:713,05640,----,
2025-06-24,21:45:29:816,05745,----,
2025-06-24,21:45:29:928,05814,----,
