DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-06-24,21:47:12:076,05347,----,
2025-06-24,21:47:12:180,05555,----,
2025-06-24,21:47:12:281,05093,----,
2025-06-24,21:47:12:393,05023,----,
2025-06-24,21:47:12:508,05332,----,
2025-06-24,21:47:12:621,05465,----,
2025-06-24,21:47:12:721,05530,----,
2025-06-24,21:47:12:835,05478,----,
2025-06-24,21:47:12:938,05549,----,
2025-06-24,21:47:13:054,05698,----,
2025-06-24,21:47:13:167,05617,----,
2025-06-24,21:47:13:269,05656,----,
2025-06-24,21:47:13:381,05284,----,
2025-06-24,21:47:13:495,05114,----,
2025-06-24,21:47:13:595,05096,----,
2025-06-24,21:47:13:708,04881,----,
2025-06-24,21:47:13:823,04673,----,
2025-06-24,21:47:13:923,04366,----,
2025-06-24,21:47:14:038,04299,----,
2025-06-24,21:47:14:153,04208,----,
2025-06-24,21:47:14:255,04220,----,
2025-06-24,21:47:14:368,04193,----,
2025-06-24,21:47:14:471,04090,----,
2025-06-24,21:47:14:585,02176,----,
2025-06-24,21:47:14:688,01938,----,
2025-06-24,21:47:14:802,01860,----,
2025-06-24,21:47:14:914,01719,----,
2025-06-24,21:47:15:020,01719,----,
2025-06-24,21:47:15:130,01739,----,
2025-06-24,21:47:15:245,01747,----,
2025-06-24,21:47:15:345,01723,----,
2025-06-24,21:47:15:456,01702,----,
2025-06-24,21:47:15:570,01695,----,
2025-06-24,21:47:15:672,01690,----,
2025-06-24,21:47:15:785,01659,----,
2025-06-24,21:47:15:894,01645,----,
2025-06-24,21:47:16:007,01651,----,
2025-06-24,21:47:16:113,01662,----,
2025-06-24,21:47:16:226,01702,----,
2025-06-24,21:47:16:334,02518,----,
2025-06-24,21:47:16:447,03268,----,
2025-06-24,21:47:16:550,03551,----,
2025-06-24,21:47:16:661,03688,----,
2025-06-24,21:47:16:774,03837,----,
2025-06-24,21:47:16:875,03932,----,
2025-06-24,21:47:16:988,04006,----,
2025-06-24,21:47:17:101,04061,----,
2025-06-24,21:47:17:217,03793,----,
2025-06-24,21:47:17:314,03656,----,
2025-06-24,21:47:17:425,02775,----,
2025-06-24,21:47:17:534,01938,----,
2025-06-24,21:47:17:646,01797,----,
2025-06-24,21:47:17:758,01711,----,
2025-06-24,21:47:17:862,01703,----,
2025-06-24,21:47:17:975,01709,----,
2025-06-24,21:47:18:081,01716,----,
2025-06-24,21:47:18:195,01718,----,
2025-06-24,21:47:18:306,01686,----,
2025-06-24,21:47:18:411,01662,----,
2025-06-24,21:47:18:522,01648,----,
2025-06-24,21:47:18:627,01635,----,
2025-06-24,21:47:18:741,01624,----,
2025-06-24,21:47:18:854,01622,----,
2025-06-24,21:47:18:965,01621,----,
2025-06-24,21:47:19:065,01632,----,
2025-06-24,21:47:19:176,01674,----,
2025-06-24,21:47:19:292,02303,----,
2025-06-24,21:47:19:392,03260,----,
2025-06-24,21:47:19:505,03567,----,
2025-06-24,21:47:19:617,03757,----,
2025-06-24,21:47:19:728,03871,----,
2025-06-24,21:47:19:834,03962,----,
2025-06-24,21:47:19:946,04010,----,
2025-06-24,21:47:20:058,03719,----,
2025-06-24,21:47:20:158,03483,----,
2025-06-24,21:47:20:272,03225,----,
2025-06-24,21:47:20:384,02038,----,
2025-06-24,21:47:20:503,01896,----,
2025-06-24,21:47:20:599,01752,----,
2025-06-24,21:47:20:712,01741,----,
2025-06-24,21:47:20:813,01740,----,
2025-06-24,21:47:20:932,01746,----,
2025-06-24,21:47:21:035,01716,----,
2025-06-24,21:47:21:150,01683,----,
2025-06-24,21:47:21:252,01663,----,
2025-06-24,21:47:21:367,01656,----,
2025-06-24,21:47:21:479,01639,----,
2025-06-24,21:47:21:588,01632,----,
2025-06-24,21:47:21:690,01631,----,
2025-06-24,21:47:21:804,01642,----,
2025-06-24,21:47:21:908,01643,----,
2025-06-24,21:47:22:023,01645,----,
2025-06-24,21:47:22:126,01877,----,
2025-06-24,21:47:22:240,02857,----,
2025-06-24,21:47:22:348,03370,----,
2025-06-24,21:47:22:453,03565,----,
2025-06-24,21:47:22:564,03725,----,
2025-06-24,21:47:22:676,03835,----,
2025-06-24,21:47:22:791,03961,----,
2025-06-24,21:47:22:900,04035,----,
2025-06-24,21:47:23:008,03921,----,
2025-06-24,21:47:23:126,03638,----,
2025-06-24,21:47:23:227,03602,----,
2025-06-24,21:47:23:330,02136,----,
2025-06-24,21:47:23:441,01924,----,
2025-06-24,21:47:23:558,01754,----,
2025-06-24,21:47:23:658,01746,----,
2025-06-24,21:47:23:772,01740,----,
2025-06-24,21:47:23:875,01740,----,
2025-06-24,21:47:23:988,01713,----,
2025-06-24,21:47:24:102,01676,----,
2025-06-24,21:47:24:207,01663,----,
2025-06-24,21:47:24:322,01644,----,
2025-06-24,21:47:24:426,01630,----,
2025-06-24,21:47:24:536,01623,----,
2025-06-24,21:47:24:650,01622,----,
2025-06-24,21:47:24:753,01640,----,
2025-06-24,21:47:24:865,01640,----,
2025-06-24,21:47:24:978,01646,----,
2025-06-24,21:47:25:081,01735,----,
2025-06-24,21:47:25:193,02451,----,
2025-06-24,21:47:25:300,03185,----,
2025-06-24,21:47:25:411,03253,----,
2025-06-24,21:47:25:524,03285,----,
2025-06-24,21:47:25:634,03318,----,
