2025-07-28,21:24:58:568,00555,----,
2025-07-28,21:24:58:682,00554,----,
2025-07-28,21:24:58:788,00554,----,
2025-07-28,21:24:58:897,00554,----,
2025-07-28,21:24:59:005,00574,----,
2025-07-28,21:24:59:128,00589,----,
2025-07-28,21:24:59:235,00645,----,
2025-07-28,21:24:59:345,00669,----,
2025-07-28,21:24:59:453,00670,----,
2025-07-28,21:24:59:561,00719,----,
2025-07-28,21:24:59:670,00757,----,
2025-07-28,21:24:59:778,00872,----,
2025-07-28,21:24:59:885,00990,----,
2025-07-28,21:24:59:994,01075,----,
2025-07-28,21:25:00:099,01169,----,
2025-07-28,21:25:00:222,01208,----,
2025-07-28,21:25:00:327,01261,----,
2025-07-28,21:25:00:434,01334,----,
2025-07-28,21:25:00:539,00886,----,
2025-07-28,21:25:00:647,00566,----,
2025-07-28,21:25:00:769,00468,----,
2025-07-28,21:25:00:868,00447,----,
2025-07-28,21:25:00:986,00433,----,
2025-07-28,21:25:01:085,00486,----,
2025-07-28,21:25:01:203,00774,----,
2025-07-28,21:25:01:313,01066,----,
2025-07-28,21:25:01:420,01186,----,
2025-07-28,21:25:01:530,01235,----,
2025-07-28,21:25:01:630,01333,----,
2025-07-28,21:25:01:746,01418,----,
2025-07-28,21:25:01:853,01461,----,
2025-07-28,21:25:01:963,01488,----,
2025-07-28,21:25:02:071,01517,----,
2025-07-28,21:25:02:179,01583,----,
2025-07-28,21:25:02:289,01622,----,
2025-07-28,21:25:02:396,01646,----,
2025-07-28,21:25:02:506,01674,----,
2025-07-28,21:25:02:627,01694,----,
2025-07-28,21:25:02:734,01743,----,
2025-07-28,21:25:02:843,01744,----,
2025-07-28,21:25:02:951,01789,----,
2025-07-28,21:25:03:061,01789,----,
2025-07-28,21:25:03:168,01809,----,
2025-07-28,21:25:03:274,01837,----,
2025-07-28,21:25:03:382,01865,----,
2025-07-28,21:25:03:491,01882,----,
2025-07-28,21:25:03:613,01907,----,
2025-07-28,21:25:03:722,01921,----,
2025-07-28,21:25:03:830,01933,----,
2025-07-28,21:25:03:939,01947,----,
2025-07-28,21:25:04:047,01947,----,
2025-07-28,21:25:04:148,01948,----,
2025-07-28,21:25:04:262,01971,----,
2025-07-28,21:25:04:371,01998,----,
2025-07-28,21:25:04:478,01093,----,
2025-07-28,21:25:04:588,00565,----,
2025-07-28,21:25:04:694,00546,----,
2025-07-28,21:25:04:803,00534,----,
2025-07-28,21:25:04:911,00533,----,
2025-07-28,21:25:05:035,00521,----,
2025-07-28,21:25:05:143,00520,----,
2025-07-28,21:25:05:252,00520,----,
2025-07-28,21:25:05:358,00509,----,
2025-07-28,21:25:05:465,00508,----,
2025-07-28,21:25:05:574,00508,----,
2025-07-28,21:25:05:683,00507,----,
2025-07-28,21:25:05:790,00494,----,
2025-07-28,21:25:05:899,00493,----,
